 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband sibling paternal maternal
intercept 0.00012914730879044328 5.214126824727995e-06 -2.2245466839232152e-07 2.3838066083664033e-09 -3.71935213497243e-05 2.634217491052743e-06 -6.167275952284453e-08 5.090843942794599e-10 6.42786141086707e-07 7.453067890470717e-08 -2.3648881578140948e-07 -4.142279425086893e-08 2.7974819824604093e-08 1.140208591096481e-07 -1.8363314562286296e-07 1.7374082022770493e-07 4.929501478090227e-08 -2.3332391897527418e-07 -1.6097325927001153e-07 -4.167063165080866e-08 -9.28075041221827e-08 4.5377254989812664e-08 1.556640480912878e-08 -8.8885651677799e-08 8.0454975247629e-08 -1.9851631824334168e-07 1.146283831581809e-08 2.549849360003089e-08 -2.3520811855630152e-05 -2.7798851214874947e-05 3.82556175761712e-05 3.1399308935440234e-05
age 5.214126824415245e-06 0.0004402191238554948 -9.816511179004167e-06 6.83799804653819e-08 0.005544853508292518 -0.00040478798125259755 9.033074161845025e-06 -6.293256623049003e-08 3.33047343380378e-07 6.596035081162524e-08 -3.918209123653218e-08 2.1602768446348536e-07 2.1659194470682927e-07 7.071126757877088e-08 8.949414120585445e-08 2.396119812619468e-07 3.838924400350009e-07 -5.398344471908955e-07 7.658003413960583e-08 1.8118090418696657e-08 -2.2674776748263979e-07 -3.6387141254430573e-07 -2.8198613132530686e-07 2.2910485556212128e-07 4.995880103580933e-07 -1.2658603464567258e-07 2.746599329126093e-07 4.004419180368668e-07 6.212739715098981e-07 -1.2484882549981406e-06 2.091719713099598e-06 8.608350649675023e-06
age2 -2.2245466838800475e-07 -9.816511179001326e-06 2.2308058519182958e-07 -1.5799183828543303e-09 -0.00012114662835400944 9.039436797657928e-06 -2.0558193462739272e-07 1.4562123811362423e-09 -4.146797972665086e-09 -1.4460350418722174e-09 -1.8282945093150795e-10 -5.139585138027016e-09 -5.273207933751502e-09 -3.214060261869192e-09 -5.798447139354929e-10 -3.7702481575836205e-09 -8.960506953442061e-09 1.1943020110115156e-08 -1.3287891495800657e-09 8.090387421016449e-11 4.480688068518683e-09 6.584060768959238e-09 5.3063404669148086e-09 -4.7387933795680315e-09 -1.2509189149057775e-08 2.8990633200561937e-09 -6.9173117562182675e-09 -9.745043180847046e-09 -7.2645017845457805e-09 4.330725391556197e-08 -7.716835894394935e-08 -1.7217463067254003e-07
age3 2.3838066083723855e-09 6.837998046535047e-08 -1.5799183828540242e-09 1.1366188079122275e-11 8.300118275445448e-07 -6.302379844356018e-08 1.4573730087593363e-09 -1.0486022789900717e-11 6.922542964809334e-12 1.513993184567028e-11 3.267615111015843e-12 3.6250572219168927e-11 3.579247333199162e-11 3.2073754411020684e-11 -2.738380333421786e-12 1.8466286716351242e-11 6.61682305119743e-11 -8.260848646872877e-11 1.876126658883727e-12 -4.605263310970869e-12 -2.8555830459109228e-11 -3.54131712293755e-11 -3.247677905696329e-11 2.8529776919962157e-11 9.519546530688134e-11 -2.0717299205964818e-11 5.23163259516035e-11 6.991422302479444e-11 -2.8648121024072843e-11 -4.3467355997718816e-10 7.00863690410958e-10 1.1480260869543396e-09
sex -3.719352136002894e-05 0.005544853508292587 -0.00012114662835401138 8.30011827544554e-07 0.20137487217603264 -0.01454607041393376 0.0003229842603208043 -2.247734807544318e-06 -3.248181320274607e-06 7.114565685372382e-08 -1.336805795269613e-06 5.529438283755361e-07 1.0815391528112154e-06 -7.682587893719356e-06 6.440095319353898e-06 1.7175883430033168e-06 -3.7768045554274045e-06 1.593725514210013e-06 -3.367027001925544e-06 1.451451871106679e-06 2.7383583743087183e-08 4.5586520200558277e-07 -1.7737430574058898e-06 1.8541279594317599e-06 -4.665370269445533e-06 -5.5911397688270235e-06 6.475252526353777e-06 -1.5078546868108049e-06 7.140205778440478e-05 9.471711902224614e-05 -6.52350738080103e-05 3.752844280653778e-05
agesex 2.6342174908846097e-06 -0.000404787981252377 9.039436797652768e-06 -6.302379844352345e-08 -0.014546070413933227 0.0010796670629742333 -2.4470080229077052e-05 1.7310177212693234e-07 2.9546198575407243e-07 7.663486226202114e-09 7.999608767027802e-08 5.173403860923111e-08 -9.568780187234602e-08 4.7269873794651846e-07 -3.180858760093038e-07 -7.198257969483048e-08 2.0145810758659037e-07 -1.1303241611567838e-07 1.8841983763999777e-07 -1.2251064612413317e-07 -8.081033608854476e-08 -1.3857479661324498e-07 1.6790100240314893e-07 -5.4466732149734614e-08 2.0855099109642662e-07 3.7323955741131333e-07 -5.637951299496393e-07 6.866825070139321e-08 -4.833478971867602e-06 -4.505910837925448e-06 1.8291597432277964e-06 -4.64473309445978e-06
age2sex -6.167275953712466e-08 9.033074161843836e-06 -2.0558193462736503e-07 1.457373008759125e-09 0.0003229842603207798 -2.4470080229076127e-05 5.646682210893972e-07 -4.057779049415518e-09 -8.178485913025846e-09 -6.300965303404142e-10 -1.3177428993214955e-09 -2.3817958865571306e-09 2.139555119620695e-09 -9.26951255238061e-09 5.240268156711449e-09 3.492847787291075e-10 -3.059561319902014e-09 2.4418228551814203e-09 -4.187075768222363e-09 2.9032499632766706e-09 3.4456611213109095e-09 5.17954025718067e-09 -4.861579230431893e-09 -1.0065696458778584e-09 -2.5812654162685266e-09 -8.633150811255943e-09 1.394220382408023e-08 -1.6253458295863564e-09 1.0493587891101459e-07 5.394046550860801e-08 4.793298131430317e-09 1.4594743835965035e-07
age3sex 5.09084394323267e-10 -6.293256623040887e-08 1.456212381134473e-09 -1.048602278988864e-11 -2.247734807544058e-06 1.7310177212691924e-07 -4.057779049415369e-09 2.959316523660437e-11 6.380274998011525e-11 8.974221223545028e-12 7.1720908124041796e-12 2.0455695968331545e-11 -1.147568498250621e-11 6.012098665829108e-11 -2.8610215413153716e-11 2.99876900603808e-12 1.2201896414500074e-11 -1.6477789045749745e-11 3.02476961677305e-11 -2.0948361321751878e-11 -3.4120229024415816e-11 -4.735499935611406e-11 4.166641590917204e-11 2.3793079960935433e-11 7.438336006859577e-12 6.530474003430051e-11 -1.0425221881810191e-10 1.293818647703069e-11 -7.756968522913593e-10 -1.3070540851333122e-10 -2.4865090968610645e-10 -1.2906341403307196e-09
pcs.V3 6.427861410868609e-07 3.330473433816011e-07 -4.1467979726930805e-09 6.922542965009178e-12 -3.248181320233686e-06 2.954619857509716e-07 -8.178485912954264e-09 6.380274997960042e-11 1.4618416805290478e-06 1.5035181776156488e-07 -4.324988734100945e-08 1.1896388734108578e-08 3.281209906386247e-08 3.122191404004669e-08 -3.325897122920511e-08 2.2921411721613165e-08 2.1713006415774923e-08 -1.5246071274122228e-08 -4.2777326159801255e-09 2.3196005332199552e-08 -1.0766601307857614e-08 -2.0306634401504632e-08 -3.6375972791573086e-08 -3.3187529279860373e-09 -1.120887917003817e-08 -2.4984485515974212e-08 1.4622026150855375e-08 2.607082461273129e-08 5.830121248712532e-07 6.153845103489746e-07 4.63040976839919e-07 4.561531332571266e-07
pcs.V4 7.453067890472423e-08 6.596035081166689e-08 -1.446035041873237e-09 1.513993184567804e-11 7.114565685444924e-08 7.663486226140343e-09 -6.300965303388581e-10 8.974221223532923e-12 1.50351817761565e-07 1.5846706485568794e-06 6.119666420018619e-08 -2.09092221869156e-08 3.070609594057692e-08 -5.58552390424988e-08 -1.805724016841982e-08 3.5733459694491846e-08 -7.689719826145953e-09 -7.324120564588495e-09 1.2300953483873681e-08 -1.95386466702199e-08 -2.2114460052554708e-08 1.5388868757077347e-08 2.884444259763642e-09 1.2617863353981882e-08 1.0987319113574242e-08 1.4316125589572516e-08 3.703432773711153e-09 1.0659405067580613e-08 2.0041024003866176e-07 3.572223180981681e-07 -1.2941830354619186e-06 -1.0432362966241589e-06
