 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 9.498934912331871e-05 7.902964894276725e-06 -2.2495607535875376e-07 2.1717134175937313e-09 -3.015771825762678e-05 2.3521325491780193e-06 -6.220186137636358e-08 5.607733555462016e-10 2.400716210410102e-07 3.342754674629692e-07 -2.433992338917496e-07 -2.0710457631775295e-07 -3.8366004594430116e-08 5.475749858504915e-08 -7.588265745662897e-08 7.178943400636739e-08 1.518520306302541e-08 -1.1625648974234415e-07 -1.283964486266374e-07 -2.7440501040900353e-08 -3.55697664845201e-08 2.403701620089047e-08 -2.008731270153112e-08 -2.4447782577586398e-08 6.353169331431794e-08 -1.1600189304695827e-08 3.5569525610333406e-08 -6.728452240348962e-09 1.2181801907304414e-06 5.23425601475348e-07 -5.55547620285788e-07
age 7.902964894480828e-06 0.00031444885883694974 -7.220673736627323e-06 5.149440097377914e-08 0.004084814706674379 -0.00030877261794206207 7.084142329976043e-06 -5.046020075641691e-08 -1.1932312450093842e-07 2.6640616875490343e-07 8.780773138061806e-09 2.55120912168859e-07 -1.900395237113463e-08 2.8713831871188865e-08 9.097324753819982e-09 1.0342466095488903e-07 1.5730101961866098e-07 -4.0691659015983423e-07 -1.5497026913384848e-07 4.6312545460793616e-08 -1.213003429077331e-07 -1.5384122130191247e-07 -1.9617731524820977e-07 2.084941300987838e-07 2.7561695550085746e-07 -3.883855191512633e-07 1.7366934452288558e-07 3.294297053451052e-07 1.5490257942075805e-06 1.4483148546300465e-06 -6.7459838944099145e-06
age2 -2.249560753639777e-07 -7.220673736629117e-06 1.6901364109036034e-07 -1.2258515417827038e-09 -9.177519304702805e-05 7.088152348087391e-06 -1.657869265991232e-07 1.2011103489790469e-09 5.4081371202079225e-09 -6.031675284335371e-09 -1.1228809664502495e-09 -6.290597503834455e-09 3.605077255141896e-10 -1.5199399020131392e-09 4.983374172750223e-10 -1.4193761124472415e-09 -3.770570748840404e-09 8.772367484822457e-09 4.075060419334052e-09 -9.02993977359146e-10 2.3703573894189323e-09 2.2975867493064077e-09 3.6957717743759916e-09 -3.7089575275169655e-09 -7.0467804334232315e-09 8.645307274141397e-09 -4.457300331677445e-09 -7.621145725798039e-09 -2.1398798146478162e-08 -3.4580997021771387e-08 1.3486233068581334e-07
age3 2.1717134176227475e-09 5.149440097379182e-08 -1.2258515417827362e-09 9.035478831342858e-12 6.429093393240417e-07 -5.0516119890073354e-08 1.201785524843537e-09 -8.84882914698869e-12 -5.407659308972525e-11 4.6109718068354996e-11 1.0039994125801036e-11 4.6367729591483256e-11 -4.07792377145779e-12 1.539285442420788e-11 -7.56976767118373e-12 5.646954770962484e-12 2.992380239070721e-11 -5.859375467544564e-11 -3.54169653165678e-11 5.259358463447054e-12 -1.542845768520888e-11 -8.282802426877948e-12 -2.301923996624155e-11 1.90038799936916e-11 5.4812709631509645e-11 -6.022348750365112e-11 3.444399314636831e-11 5.357240857566635e-11 5.1371543776745845e-11 2.6806256359438347e-10 -8.147464888639842e-10
sex -3.0157718252993952e-05 0.004084814706690159 -9.177519304739295e-05 6.42909339326672e-07 0.1383923115666381 -0.010352988540863516 0.00023634978739762587 -1.6817477975181665e-06 -2.4591540757865705e-06 -2.6500105916982485e-07 2.152876106032906e-06 1.6020264779017484e-06 -4.496702048461974e-06 -1.6300193268558881e-06 2.914523020327259e-06 6.077562421757865e-07 -6.388450069001902e-07 -3.115409491103159e-06 -3.6158640481723263e-06 3.1323328655165094e-06 1.5054758205001164e-06 -2.1431093117985628e-07 -3.464061403034347e-06 1.0094759427059634e-06 1.5199630000423227e-06 -4.487734322688175e-06 3.6289438222541163e-06 3.835583750711343e-07 1.9887994741385344e-05 4.162971647134664e-05 -7.45693878821006e-05
agesex 2.3521325484740117e-06 -0.00030877261794269535 7.088152348102071e-06 -5.051611989018104e-08 -0.010352988540864463 0.00079554644313913 -1.8539034723536082e-05 1.341037202122758e-07 2.6345669760601606e-07 3.087288916102823e-08 -1.6949627783684115e-07 -7.891083404168051e-08 2.911955374872669e-07 5.841029467648255e-08 -1.218840914109557e-07 -8.627897031234588e-09 4.898501912093251e-08 2.4120418593198877e-07 2.5784959572896927e-07 -2.2360639091896606e-07 -1.7358377421663416e-07 -3.3624454359531906e-08 2.405939819357896e-07 7.019689372723508e-09 -1.9645653132067428e-07 3.59329575505885e-07 -3.2027430822542284e-07 -4.651107873897541e-08 -1.2053832388422621e-06 -2.6789885776105228e-06 5.538944321811673e-06
age2sex -6.22018613593067e-08 7.084142329994258e-06 -1.6578692659954635e-07 1.2017855248466377e-09 0.00023634978739766946 -1.853903472353772e-05 4.401750059195445e-07 -3.2368321359860886e-09 -7.796941711428994e-09 -1.0333400546257713e-09 4.1055320137859495e-09 1.5326261084855036e-09 -6.091778505741221e-09 -5.447763527398092e-10 1.4097691837613278e-09 -7.939836252328041e-10 -6.940192825829951e-10 -5.157966580960019e-09 -6.1988086651542425e-09 4.834839515859748e-09 5.101098532618356e-09 2.1836219153217905e-09 -5.667682827361655e-09 -2.211763495199274e-09 5.604424463588881e-09 -9.105412138366288e-09 8.098671348033812e-09 7.778248266604753e-10 1.336876981328501e-08 5.3177392323112443e-08 -1.1064254180959863e-07
age3sex 5.607733554290057e-10 -5.04602007565264e-08 1.2011103489816217e-09 -8.848829147007795e-12 -1.6817477975186245e-06 1.3410372021229873e-07 -3.236832135986347e-09 2.4175524871414298e-11 6.405984391736116e-11 1.1817396570226874e-11 -2.9921053953742993e-11 -1.196962099540833e-11 4.267941471352491e-11 1.7787793761925887e-12 -3.2139437446827946e-12 1.0502275147286861e-11 1.0255872635635775e-12 3.3172989098767304e-11 4.613254111773075e-11 -3.285405558056821e-11 -4.230846474607632e-11 -2.370801621443463e-11 4.307914869032961e-11 3.088135773024563e-11 -4.5682967671881916e-11 7.135738564443104e-11 -6.181647942628003e-11 -3.2498957452388276e-12 5.560486504877482e-11 -3.535150612789274e-10 6.462193778001755e-10
pcs.V3 2.400716210409762e-07 -1.1932312450230233e-07 5.408137120239291e-09 -5.407659308994928e-11 -2.4591540758140957e-06 2.6345669760810903e-07 -7.79694171147727e-09 6.405984391770664e-11 1.0743841230637902e-06 1.1474138738067636e-07 -2.8424593368790678e-08 -7.971084699466213e-09 6.274067753883098e-09 1.6507242296572878e-08 -5.274941928355514e-09 1.4523863593723485e-08 8.626417840586793e-09 -5.010004160244172e-10 -2.4086709744406655e-09 1.0088789389994234e-08 -2.649247365847911e-09 -1.679920844959933e-08 -1.228222580219584e-08 -6.127879164016306e-09 5.544528861946973e-10 -1.516542082596051e-08 6.842434418716082e-09 3.2100823766454302e-09 -6.271318168850587e-08 2.6171968067560565e-07 4.1334033074778747e-07
pcs.V4 3.342754674629549e-07 2.6640616875339974e-07 -6.031675284300386e-09 4.610971806810257e-11 -2.650010592181125e-07 3.087288916478011e-08 -1.0333400547141115e-09 1.1817396570871682e-11 1.1474138738067776e-07 1.1607021818429915e-06 4.968588525524177e-08 3.918083763578952e-09 1.6437685332177278e-08 -3.155647766470066e-08 -1.0438738380529569e-08 3.086534986629671e-08 -1.0712135044260995e-09 -8.802207999972316e-10 9.55336234246501e-09 -9.52784768727942e-09 -9.865988610498403e-09 1.7199815350826673e-08 1.6314484674451035e-08 5.8530933825413584e-09 1.498040205679063e-08 7.64588992925489e-09 -4.9579392625343416e-09 -7.789518550183939e-10 -2.432371854412684e-07 -7.43762484622075e-08 1.3014065011402985e-07
