 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0030821954240909453 0.0010341727361730282 -3.284071980948812e-05 3.203492857085358e-07 -0.018241772225427277 0.0014324346797415157 -3.6781223720492373e-05 3.082001112015797e-07 -4.624404793297158e-06 6.933837838831529e-06 1.4549005243576118e-06 2.3582406837739687e-06 2.891284686794646e-06 -1.2180136409305622e-06 4.383979655436785e-06 7.438613213862896e-07 -2.442297977159689e-07 -7.841389389493075e-07 -9.947887176528911e-07 -2.633254124424592e-06 -3.846815987201104e-07 1.767061736451332e-06 2.6085120041327436e-06 -9.458575783156107e-07 -3.358373358291164e-06 -6.820129089063749e-07 -2.5608159016395934e-06 -4.923591952177202e-06 -5.3279639341445024e-06 -3.8268598524815085e-05 0.00011597537986966091 -7.604745957142048e-05
age 0.0010341727361782575 0.032504920612778744 -0.000733382163653216 5.367783527628079e-06 0.43474045293531355 -0.030139476715439515 0.0006782819500176474 -4.953652747032935e-06 -1.7459188376549595e-05 -2.408715044268698e-06 5.317828213183058e-06 -3.0962904485357526e-06 -1.3439895399502616e-05 -7.2503803917596824e-06 9.710321329127527e-06 6.454792708029961e-06 6.078801189301335e-06 -1.1161759308034198e-06 7.110513430673368e-06 -2.978933433343874e-06 4.782485862426748e-06 -6.709213170550704e-06 2.5607930857737772e-06 3.3532877435723654e-06 -5.040566877865846e-06 6.5864582365461966e-06 -8.563006120709797e-06 1.913013631364193e-06 -6.46415665756828e-05 8.573422454330425e-05 -0.00020632125728008407 0.000227356590542558
age2 -3.284071980959692e-05 -0.0007333821636529962 1.6640932877132794e-05 -1.2248415819964592e-07 -0.00972080934253787 0.0006775502597093214 -1.5331743620259586e-05 1.1257696348049703e-07 4.0368891406655526e-07 4.4096730725961136e-08 -1.201098049669593e-07 5.006540259094753e-08 2.8277407100339833e-07 1.6773434289978942e-07 -2.2445238083242635e-07 -1.504969731678922e-07 -1.4045220466533063e-07 3.436908193209176e-08 -1.6768746647888038e-07 6.901610794563847e-08 -1.0247820502744641e-07 1.3226343812019797e-07 -7.678689638906756e-08 -6.262641544630552e-08 1.2952647464203643e-07 -1.4790930664289216e-07 2.0163588954216688e-07 -2.619696427395185e-08 1.3933890155118283e-06 -2.010956794305017e-06 3.907484155454705e-06 -4.290128759836319e-06
age3 3.203492857101127e-07 5.367783527618876e-06 -1.2248415819947675e-07 9.067383534655761e-10 7.055303227819418e-05 -4.943040538477175e-06 1.124591016731836e-07 -8.303419308789422e-10 -3.0197432427015935e-09 -2.324585067691698e-10 8.923445495913448e-10 -2.2654413244676814e-10 -1.922985568920382e-09 -1.2671057595129481e-09 1.684309627800582e-09 1.124899229100672e-09 1.0570621476454241e-09 -2.82493829235007e-10 1.2684434793939864e-09 -5.355892767619933e-10 7.182464427781387e-10 -8.273834025969056e-10 6.864452352758695e-10 3.5134838900658203e-10 -1.0624882036744016e-09 1.0828157347702096e-09 -1.5437261101044744e-09 5.6591931819878616e-11 -9.5261187643185e-09 1.4813093305677032e-08 -2.2395297762895552e-08 2.506794879487227e-08
sex -0.018241772225337977 0.4347404529372156 -0.009720809342584482 7.055303227856109e-05 17.980077788229952 -1.2558441123790878 0.0284959997838896 -0.00021006439732056925 -0.0001313385454027217 3.661027919540457e-05 0.00019462092312328368 -0.00011077880392305878 -0.0002598051639580041 -9.142498321327754e-05 0.00010526820792066835 0.0001499660918623998 -0.00012721753830741513 0.00023370975001083382 -9.249584449910196e-05 -3.170392676026916e-05 0.00021738404296478775 0.00011315466741899761 -0.0003056341413536808 0.00026355588108258255 0.00010060288398705116 0.00016940324433641716 3.2885961523863494e-05 2.830422379426056e-05 -0.0013583384970961663 0.0013667997268902027 0.005120560641486509 -0.0013062191018523325
agesex 0.0014324346797585771 -0.03013947671561551 0.0006775502597134067 -4.9430405385077965e-06 -1.2558441123787962 0.08817332001037927 -0.002010987977375106 1.4897512041980923e-05 9.081756055682238e-06 -2.199955879436697e-06 -1.3540955398977538e-05 7.062199240320152e-06 1.7713010353595583e-05 5.713933013472285e-06 -5.4272319726427776e-06 -1.0501657934008324e-05 8.891441984888779e-06 -1.62432332226817e-05 5.460900356630728e-06 1.7919994356291158e-06 -1.4724312447189557e-05 -8.84304270377573e-06 2.041198455635878e-05 -1.75486623385131e-05 -7.549747023960848e-06 -1.1969309460628472e-05 -3.3790525513042287e-06 -2.6889489321594847e-06 8.72662359054902e-05 -0.00011450598246365576 -0.00036537762389840013 0.00013147620556944767
age2sex -3.678122371975714e-05 0.0006782819500176912 -1.5331743620267277e-05 1.1245910167329235e-07 0.028495999783876295 -0.002010987977374639 4.6105157798882e-05 -3.4331877770345185e-07 -2.0135634832405663e-07 4.199496451447912e-08 3.0594370866372877e-07 -1.417709603550757e-07 -3.942942135184169e-07 -1.1559803170088265e-07 7.879338475326526e-08 2.3648137781898208e-07 -1.9623999971849343e-07 3.7056564022061834e-07 -1.052523416230041e-07 -2.667294943564691e-08 3.2378585098589817e-07 2.2148464756040504e-07 -4.4570717077095847e-07 3.7355851078564054e-07 1.8292132621398648e-07 2.7823400952536303e-07 9.680314009292591e-08 7.772321395405963e-08 -1.749490078582226e-06 3.0619861733158715e-06 8.464317766334444e-06 -3.895379817110407e-06
age3sex 3.0820011119849185e-07 -4.953652747044618e-06 1.1257696348080937e-07 -8.303419308815824e-10 -0.00021006439732042291 1.4897512041974103e-05 -3.4331877770337514e-07 2.5700675988043183e-09 1.4142523826263617e-09 -2.292650389781117e-10 -2.249853708838179e-09 9.023396453069102e-10 2.8558866431986446e-09 7.884375753801044e-10 -2.3825189912687634e-10 -1.731592772823538e-09 1.3841835662745072e-09 -2.7736586593736737e-09 6.604387533337468e-10 7.912058717752249e-11 -2.303165186208604e-09 -1.7423642914767166e-09 3.177988547655904e-09 -2.558987052357845e-09 -1.4397543845137924e-09 -2.1258630492552964e-09 -8.492905176957869e-10 -7.10759909113228e-10 1.0704408033879831e-08 -2.5371707835476397e-08 -6.403207000729576e-08 3.518825148880474e-08
pcs.V3 -4.624404793301122e-06 -1.7459188376530534e-05 4.0368891406612205e-07 -3.0197432426984233e-09 -0.00013133854540179745 9.081756055616888e-06 -2.013563483225546e-07 1.4142523826151402e-09 4.606959351300099e-06 2.5027822142999166e-07 -6.756347709982877e-08 -3.933978866203117e-08 -5.501064286949928e-09 2.1533248058690037e-07 -7.404590395849393e-09 1.120666751635694e-07 -1.385979274475974e-07 2.611499212696688e-08 -3.43713603851947e-08 -3.4918806493641685e-09 1.959332780034367e-07 5.222119191918541e-08 -2.8055137862465808e-08 3.7719614930987166e-08 -6.008049282873212e-08 -7.278072000279437e-08 1.341414310759367e-07 -1.3693378430740357e-07 8.247263597448332e-08 -1.6209385550631415e-07 5.568732835033047e-07 3.1078489298241923e-06
pcs.V4 6.933837838830722e-06 -2.408715044255836e-06 4.4096730725665945e-08 -2.3245850676697264e-10 3.6610279195800577e-05 -2.199955879465289e-06 4.199496451514935e-08 -2.292650389832104e-10 2.502782214299897e-07 4.566878962938745e-06 2.2486445546661756e-07 1.8146872120482272e-07 -4.599811222988132e-08 -1.082071568517594e-08 -2.134787904434326e-08 6.437713509288085e-08 1.005293390865363e-08 -1.147993320705601e-07 7.834842317652136e-08 -5.436139572063079e-08 -1.3752817618632736e-07 5.630796183679144e-09 1.354847953926077e-07 -3.4090583230531366e-08 1.7463023040825652e-07 7.527736488717319e-08 -5.214998235248063e-08 -8.477209194482724e-08 -1.3584357191166318e-06 -5.444185990353355e-07 6.253027278070503e-07 2.7208282317828377e-07
