 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.06845874114345289 0.09921139094831961 -0.002533944316450609 2.1222893921453015e-05 0.8294325739357374 -0.0639899060222302 0.001621051598048193 -1.3483639904114537e-05 -2.764482129506525e-05 4.230157799115556e-05 1.226103475284654e-06 -1.6380376931639895e-05 2.048925022886484e-05 -4.957475033631166e-05 5.2976196521466405e-06 1.2669434772178078e-05 -1.0556082222659806e-05 -1.5536688900413916e-05 -5.5423270886771464e-05 -2.241509254060332e-05 -1.0658473691135436e-05 -3.6537967978625898e-06 1.6493608147327598e-05 -2.7969739467909706e-06 -2.1572219771618196e-06 -4.613213856540577e-06 5.935710102148449e-05 -3.773069075536859e-05 -0.00039378943870650653 0.0004425497053005339 0.0001242552522384481 0.0061238626569902945 -0.006833281843024942 -0.0013004165506986885 0.0012752526574244985
age 0.0992113909472103 0.278557587022308 -0.00682000725320488 5.4640447649851966e-05 3.5681321636813625 -0.26619755368608083 0.00650091649646278 -5.19583154322754e-05 -0.00011328166364006105 6.164267254099362e-05 1.0600151161224016e-05 -2.4664045454515224e-06 2.7959678717668935e-06 -5.80031552090995e-05 1.7308536177851654e-05 3.3234989679338346e-05 6.941049697416017e-06 -3.2172675805938876e-05 -1.5166661357639398e-05 -7.546464524039877e-06 -4.547203993605424e-06 -3.072075914837888e-05 1.7828497595960153e-05 2.949758106759644e-05 -2.5391336485691552e-05 2.6275674727217083e-05 5.473730055503653e-05 -2.312470317621483e-05 -0.0010261646272122947 0.0017136608027972392 0.000436634228880763 0.01911841199321218 -0.021768457920460955 -0.0025706563441923362 0.002878882057304689
age2 -0.0025339443164221014 -0.006820007253195235 0.00016759141942192008 -1.3477047527776503e-06 -0.08702999967598689 0.00651578258321241 -0.00015970157993247874 1.2810858548224853e-06 2.5990330025688623e-06 -1.4994131284063382e-06 -2.052269037364477e-07 8.627831294838966e-08 -1.6052498852702922e-07 1.453577876763923e-06 -3.7086993088014055e-07 -8.284824593898685e-07 -1.4954869771060378e-07 7.83778665934882e-07 5.471737943568787e-07 1.7113412431834267e-07 9.849688153415494e-08 6.985542023834684e-07 -4.746375655709546e-07 -6.675829451215262e-07 5.944850130630902e-07 -5.49906222575121e-07 -1.444856894828088e-06 6.853920080783169e-07 2.4372087267061504e-05 -4.0550470286614545e-05 -1.0730754933891255e-05 -0.000430198847198977 0.0004933442256828454 6.263592363788808e-05 -6.876801819199818e-05
age3 2.122289392120033e-05 5.464044764973107e-05 -1.34770475277644e-06 1.087961168160389e-08 0.0006948863447194496 -5.220664822261508e-05 1.284268386452682e-06 -1.0341194281511773e-08 -1.9420023191569093e-08 1.1946199814937953e-08 1.2842269557411857e-09 -9.93877863495883e-10 1.9244609019638067e-09 -1.198562176291091e-08 2.4770451527448483e-09 6.771991880782639e-09 1.0352947641236322e-09 -6.134909192731467e-09 -5.985741798764704e-09 -1.3279988128404016e-09 -7.228738794000725e-10 -5.290065940712332e-09 4.0456136754245645e-09 4.808601619981722e-09 -4.382991636470409e-09 3.73018902856925e-09 1.261910336562499e-08 -6.4875018774431064e-09 -1.9059010356410183e-07 3.140493961603579e-07 8.381148823727478e-08 3.1957794979290736e-06 -3.688110748481559e-06 -5.059263737105018e-07 5.460026600360524e-07
sex 0.8294325738695715 3.5681321635345657 -0.08702999967245156 0.0006948863446916253 87.2637765172249 -6.44084912494731 0.15536655625874193 -0.0012246024053954876 -0.0009674635210884255 0.0010892624068978955 0.0006151695696285101 1.2139920542652645e-05 -0.0007288184297878391 -0.0005276884732741802 0.0001878774816722942 0.0011063607249102944 3.863570711818977e-05 0.0003476347964935312 -0.00023817055556261965 0.00024248333249755254 0.00025035552248058897 -0.0005614552789666556 -0.00027616608904918084 0.0008167431982669107 0.00017661541866669615 0.0006719629954513868 0.00010687251323928757 -0.0003243973368626761 -0.015447182167218541 0.03130070913148926 -0.00444606294294818 0.07029097014013004 -0.11976205044001527 -0.02754853782717797 0.052375375204155646
agesex -0.06398990601718173 -0.26619755367486586 0.006515782582941682 -5.220664822048073e-05 -6.4408491249451885 0.4772080572226248 -0.011555352877478057 9.142429941264013e-05 6.645570939813605e-05 -7.76096992650626e-05 -4.1033478321036105e-05 -1.8014101803741174e-06 5.050378832143188e-05 3.5353211018657726e-05 -1.0958913289362479e-05 -8.27780330113652e-05 -6.009329566219217e-06 -2.5558706304578658e-05 1.7769805336060848e-05 -2.1141164949033554e-05 -1.925405752027357e-05 4.032967617798198e-05 1.7945013797085892e-05 -5.555276410031857e-05 -1.4274462666830198e-05 -4.5451857822433626e-05 -1.1886471209360867e-05 2.4876597260472735e-05 0.0010543729888491747 -0.002148829764200721 0.00025434192671347 -0.0038434764389234204 0.007283242109448314 0.002033793233836345 -0.0036092981121670503
age2sex 0.001621051597922406 0.00650091649617756 -0.0001597015799256233 1.2842683863988102e-06 0.15536655625864604 -0.011555352877474761 0.00028091287167267406 -2.2314434460042243e-06 -1.4749815815196419e-06 1.7879213003036758e-06 8.866520254918942e-07 7.421081687077127e-08 -1.1483606022419422e-06 -7.608739825386211e-07 1.8275635880777228e-07 2.013590443060583e-06 2.272010880552044e-07 6.21686176022382e-07 -4.6873875381488966e-07 6.037900260410605e-07 4.933611667108706e-07 -9.546508799689584e-07 -3.8383499600684676e-07 1.214950944670572e-06 3.8132213617896837e-07 9.950173435418696e-07 3.7958041181207354e-07 -6.281645063090022e-07 -2.349756235839155e-05 4.8545558877158274e-05 -4.596158681076226e-06 6.161675907236974e-05 -0.0001403037291386962 -4.971589529470174e-05 8.212946075216228e-05
age3sex -1.3483639903134976e-05 -5.195831543007564e-05 1.2810858547694581e-06 -1.0341194281094121e-08 -0.0012246024053944498 9.142429941259342e-05 -2.231443446003725e-06 1.7799610286785575e-08 1.0504587453850038e-08 -1.3289546139573688e-08 -6.202826451314309e-09 -8.3333329763869e-10 8.538272138216753e-09 5.264938158834585e-09 -6.362207640667045e-10 -1.5959973488683873e-08 -2.436220675314582e-09 -5.0239519990600685e-09 4.268584349481838e-09 -5.57924042263736e-09 -4.175471003404694e-09 7.545753104537975e-09 2.606645170894397e-09 -8.556294124200471e-09 -3.4271255266029873e-09 -7.097142866686962e-09 -3.838329509548398e-09 5.192106474114539e-09 1.7158797192161485e-07 -3.610736766338914e-07 2.9389788354886912e-08 -2.4011894979627583e-07 8.321802073044994e-07 4.0282390094047107e-07 -6.223176808172747e-07
pcs.V3 -2.7644821295703993e-05 -0.00011328166364318537 2.5990330026469325e-06 -1.942002319220778e-08 -0.0009674635211923893 6.64557094059134e-05 -1.4749815817097838e-06 1.050458745536859e-08 8.521145350430858e-06 3.8333334825904936e-07 1.4561339052057036e-07 -2.013661670107844e-07 6.300486064120126e-08 5.238517164936542e-07 -3.2722906687834235e-07 2.033340907075469e-07 -4.2241242408963915e-07 2.321245179499728e-07 2.8898087821940175e-08 -4.271586458742744e-08 4.962009420647134e-07 1.7013782421876345e-07 -5.745105884445195e-08 6.598921261339591e-08 -1.1853495435670425e-07 -2.3228344476036537e-07 3.353550738913555e-07 -2.503173538266135e-07 6.544527221799751e-07 -6.395963791448901e-06 -9.5205276499894e-06 -0.00015704889849791094 0.00017150639191810727 1.7101385485799193e-05 5.13262607134738e-06
pcs.V4 4.230157799074432e-05 6.164267254061953e-05 -1.4994131283980303e-06 1.1946199814878996e-08 0.0010892624069302002 -7.760969926749468e-05 1.787921300363438e-06 -1.3289546140052655e-08 3.8333334825997194e-07 7.906138006956811e-06 2.356332842722132e-07 3.5270131122230265e-07 -2.3576134880627836e-07 -1.6091964976173632e-07 -3.7687738154968975e-08 2.4996651395448793e-07 1.856555955542833e-07 -2.9229692378155995e-07 1.1461558430702418e-07 -1.3680522441688278e-07 -5.089147899527534e-07 1.412530585694422e-07 3.359234372493937e-07 -6.485817206970177e-08 4.0503218491229096e-07 2.2042506755368532e-07 -3.5097374097969816e-08 -3.0017732982813615e-07 -1.4136996136837465e-06 -1.0876919763872492e-05 1.0029831264640823e-06 5.416931062396976e-05 -3.803858010074514e-05 -4.127585337636167e-06 9.396646912235087e-07
