 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.01722954621309352 0.022740991463875877 -0.0005807269624298759 4.849220858498135e-06 0.1824245006018404 -0.013621795908585765 0.00033202356884443025 -2.640485955086429e-06 -5.97925795350589e-06 1.610032999651363e-05 6.26179342692148e-06 -3.5478387956756066e-06 4.193908867025306e-07 -1.994573732829857e-05 -8.761064241407146e-06 -1.558057846227512e-06 -4.630961382804265e-06 -8.088272317369019e-06 -2.3359851942551788e-05 -1.36693396439559e-05 2.4524348843454623e-06 1.2095913260270978e-05 1.0609374978641036e-05 -4.07676431868336e-06 -5.671557173557133e-06 -7.480220277601844e-06 1.8879282601110864e-05 -7.674355544934292e-06 -0.00010991689317149118 0.00010733633961882126 -0.0006913427224065271 0.0007320196500647626
age 0.022740991463128288 0.11683535499581872 -0.002767643068293445 2.13507858807068e-05 1.5128619931765444 -0.10970031269936982 0.002592886663559884 -1.996168689594402e-05 -6.728351420882117e-05 2.0412125898655894e-05 1.765024248534659e-05 -6.148480442799026e-06 -1.4027399475823285e-05 -1.3172268748962624e-05 3.959826075460294e-06 1.2197942125368876e-05 8.18791740308223e-06 -1.1699775961772297e-05 1.2636391116111512e-05 -2.1502054881902447e-05 8.014766418889441e-06 6.732529010035814e-06 3.3664533527454733e-06 1.1283058269030379e-05 -1.6838426613624497e-05 2.558467514154036e-05 1.199590896729925e-05 2.916679293918728e-05 -0.00022642271351222082 0.0001293915654402644 -0.002430671099640948 0.002374589431673762
age2 -0.0005807269624133989 -0.002767643068295785 6.585264025277962e-05 -5.10295874495524e-07 -0.03560201597563843 0.0025924295244509057 -6.153967622442098e-05 4.758344598915339e-07 1.5250616544987883e-06 -4.759606272694635e-07 -4.0389990072717616e-07 1.3703495054315491e-07 3.0520821731845104e-07 3.489542000146131e-07 -4.826786677075412e-08 -2.5925762045276537e-07 -1.7223016054074012e-07 3.178371821906738e-07 -2.132029552216098e-07 5.045109550188943e-07 -2.131576313553726e-07 -2.1756906949084862e-07 -1.1889821528722397e-07 -2.439130149014246e-07 4.28899542094682e-07 -5.516880692925747e-07 -3.241591312585674e-07 -6.367506544147497e-07 5.649773554632787e-06 -2.975114112481232e-06 5.496258358360782e-05 -5.4658048046269394e-05
age3 4.849220858372036e-06 2.1350785880732073e-05 -5.102958744958384e-07 3.972876521015255e-09 0.00027285819811411524 -1.995059481519944e-05 4.7565529912502943e-07 -3.694563921114094e-09 -1.1199216900493638e-08 3.6237121862362233e-09 3.063224220439945e-09 -1.0343725969349104e-09 -2.1628096857867687e-09 -3.0510728366216783e-09 -8.136331114450931e-11 1.7023612445690533e-09 1.1727333617974713e-09 -2.75303387633069e-09 8.601182408458434e-10 -3.8982097928507916e-09 1.8389280296950275e-09 2.094196980009408e-09 1.220642462147918e-09 1.6266241623324945e-09 -3.420776340892312e-09 3.8042402801233216e-09 2.92493635293698e-09 4.432593804467016e-09 -4.5960174564717625e-08 2.414485121819837e-08 -4.0963144272272434e-07 4.120582129610947e-07
sex 0.1824245005708781 1.5128619930774205 -0.035602015973260445 0.00027285819809551136 39.23289486337964 -2.8181577883238194 0.06587439648199149 -0.000500815585394144 -0.000816385515110501 0.0005538790368416657 0.0005864780662648506 -0.00015456344135884287 -0.00045193447577136526 -0.00018857049710612213 0.000196287327268187 0.00040919520473139704 -3.83784861101153e-05 0.0001646990925416415 5.1630247840313944e-05 -0.0005010837418385257 -6.074926977092987e-06 -0.00019529093282523932 -0.0003729589336820953 0.0005015830742493862 -0.00017006627578595011 0.0004730790352752745 -5.578057044448784e-05 0.00026444529161236 -0.007579705202269532 0.0014915755917482192 -0.02967868036598693 0.03080703039250695
agesex -0.013621795906395954 -0.10970031269246078 0.002592429524284305 -1.9950594813891183e-05 -2.818157788326282 0.20338215256271847 -0.004776650503993316 3.648679141054931e-05 5.703133383438968e-05 -3.8580147417900376e-05 -4.082179421134176e-05 9.885943014406215e-06 3.146329114607179e-05 1.2199240740700613e-05 -1.2841185173574656e-05 -2.770244681138496e-05 2.4958123455082775e-06 -1.0522231618438654e-05 -3.7418852499150233e-06 3.410861180312861e-05 -7.322496516940163e-07 1.260666830043299e-05 2.603187277023677e-05 -3.3760262719620454e-05 1.2705033673657361e-05 -3.197378157578658e-05 3.119171491753415e-06 -1.939801059998075e-05 0.0005506652912412689 -9.640691012618564e-05 0.0019788636526688465 -0.002110222618599233
age2sex 0.0003320235687936457 0.0025928866634010246 -6.15396762205918e-05 4.756552990949651e-07 0.06587439648211531 -0.004776650503998071 0.00011274327271932611 -8.656009558501309e-07 -1.294585005329639e-06 8.620744490082352e-07 9.272015862037244e-07 -1.96807577154366e-07 -7.163175959339528e-07 -2.510616464030339e-07 2.6320910056282603e-07 5.967076714482916e-07 -4.214452291234741e-08 2.1404039390716342e-07 8.145262738603682e-08 -7.409671142298002e-07 5.415883949256457e-08 -2.6121187724594494e-07 -5.937689770003734e-07 7.266086272372787e-07 -2.9904140834218827e-07 6.970734171786501e-07 -5.75916065945319e-08 4.620362374063375e-07 -1.2958381018188366e-05 2.2172487351816466e-06 -4.2427625021700607e-05 4.633292293247678e-05
age3sex -2.6404859547100436e-06 -1.9961686894757834e-05 4.758344598630297e-07 -3.6945639208908034e-09 -0.0005008155853956439 3.6486791410625574e-05 -8.656009558510685e-07 6.681935279562165e-09 9.494745603116094e-09 -6.140723308382055e-09 -6.872382750132995e-09 1.2352120114040458e-09 5.311386808735724e-09 1.6330661506094136e-09 -1.6145332263116038e-09 -4.072761322520043e-09 1.2917734647551462e-10 -1.3980407320173374e-09 -5.383067201332323e-10 5.115369246802577e-09 -7.834599158795985e-10 1.7820173327934476e-09 4.360873786455748e-09 -5.001493370605361e-09 2.1421914837623417e-09 -4.928718168356499e-09 2.9177092441373554e-10 -3.5793076171663504e-09 9.911795360219502e-08 -1.765662815338143e-08 2.9089606307819713e-07 -3.262513437129311e-07
pcs.V3 -5.979257953093651e-06 -6.728351420883987e-05 1.5250616544979226e-06 -1.1199216900476624e-08 -0.0008163855151656282 5.703133383828618e-05 -1.2945850054190268e-06 9.494745603781431e-09 7.677476407842952e-06 6.60168917458076e-07 1.527823035152527e-07 -7.358564079725801e-08 4.2362412908683656e-08 2.484754454356984e-07 -2.5229274380497823e-07 1.6431998716612194e-07 -4.1716184044639887e-07 3.539316104472683e-08 5.74477902604278e-08 -3.35781370522118e-09 1.919274597517325e-07 9.307746450614268e-08 4.8468148732976905e-08 4.0973729970000065e-08 -7.187257653557412e-08 -6.392288285686902e-08 4.0872265294750033e-07 -1.7302912246154187e-07 1.7481238202902194e-06 3.2285499741717977e-06 1.2344288986458482e-05 -4.78876858111402e-06
pcs.V4 1.610032999609296e-05 2.0412125897272896e-05 -4.759606272360352e-07 3.623712185973488e-09 0.0005538790368419699 -3.858014741788705e-05 8.620744490069776e-07 -6.140723308364496e-09 6.601689174588629e-07 7.35395339709438e-06 2.7802254826055975e-07 2.438154539928168e-07 -2.156972587377739e-07 -1.9363618095130362e-07 -4.287291082080591e-08 2.827401974855429e-07 1.4956928397277232e-07 -2.7409744413783825e-07 1.4615143366845728e-07 -4.570563910939334e-08 -3.420260764879141e-07 1.74260718564402e-07 1.7252312864675902e-07 -9.105946890578197e-08 1.817962671305663e-07 9.868827324685931e-08 3.583757491377613e-08 -1.6905518879050207e-07 -1.5221006784546487e-06 3.400447286837473e-06 -1.775666270755824e-05 6.957203730030303e-06
