(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband paternal maternal gpp gmp gpm gmm
(Intercept) 0.0124463666226693 0.00898461508478515 1.58015827816464e-05 -0.000216366627516816 0.000563670333886952 -0.000100455341171486 0.000275245792054993 0.00055657975156597 -0.000103164382492909 0.000176795617425919 -0.000886227102648499 -0.000446568109505164
covarage 0.00898461508478515 0.00896530926526934 0.00023592960352717 -9.17105156387207e-05 0.000453883580193171 0.000557553769469286 0.000387959576042756 0.000188039024227667 -0.000928690167241224 0.000266074682217185 -0.00085336756507465 3.52812790392263e-05
covarsex 1.58015827816464e-05 0.00023592960352717 0.00249926090998628 -2.61810610556145e-05 -2.64523705201515e-06 3.72223864768952e-05 5.16403811322252e-05 0.000104957272627735 0.000275943879619378 -0.000343256546350884 0.000180766636034907 -0.000209145758388527
covarpcs.V3 -0.000216366627516816 -9.17105156387207e-05 -2.61810610556145e-05 0.00243400966370076 0.000218689155940717 1.64173424429426e-05 5.12498264849175e-05 -0.000247783303716687 0.000217649883913723 1.90337263123548e-05 0.000424650867903313 0.000223862535019298
covarpcs.V4 0.000563670333886952 0.000453883580193171 -2.64523705201515e-06 0.000218689155940717 0.0021293303922799 -3.8530138887494e-05 0.000294484056689433 0.00021560041406192 -0.00057981897849112 -0.000309077511477907 -0.000604319725455963 -6.4064784163552e-05
proband -0.000100455341171486 0.000557553769469286 3.72223864768952e-05 1.64173424429426e-05 -3.8530138887494e-05 0.00567840463467866 -0.00266208239505389 -0.00280617177370762 -6.98168184438554e-05 0.000114826243606451 0.000449914986359403 8.85527379745621e-05
paternal 0.000275245792054993 0.000387959576042756 5.16403811322252e-05 5.12498264849175e-05 0.000294484056689433 -0.00266208239505389 0.017686573286999 0.00178846463621604 -0.0123778646066977 -0.0136407847366991 -0.000791137498247924 -1.76180476751053e-05
maternal 0.00055657975156597 0.000188039024227667 0.000104957272627735 -0.000247783303716687 0.00021560041406192 -0.00280617177370762 0.00178846463621604 0.0161670313584897 -0.00101321491592713 -0.00011895687440014 -0.0129720966350833 -0.00980345057054945
gpp -0.000103164382492909 -0.000928690167241224 0.000275943879619378 0.000217649883913723 -0.00057981897849112 -6.98168184438554e-05 -0.0123778646066977 -0.00101321491592713 0.0482213281523651 -0.0239066177138111 0.00156760655805154 3.70888075224643e-05
gmp 0.000176795617425919 0.000266074682217185 -0.000343256546350884 1.90337263123548e-05 -0.000309077511477907 0.000114826243606451 -0.0136407847366991 -0.00011895687440014 -0.0239066177138111 0.0493764007735257 -7.35230536634233e-05 0.000169503307225548
gpm -0.000886227102648499 -0.00085336756507465 0.000180766636034907 0.000424650867903313 -0.000604319725455963 0.000449914986359403 -0.000791137498247924 -0.0129720966350833 0.00156760655805154 -7.35230536634233e-05 0.0407524036916771 -0.0155227903111429
gmm -0.000446568109505164 3.52812790392263e-05 -0.000209145758388527 0.000223862535019298 -6.4064784163552e-05 8.85527379745621e-05 -1.76180476751053e-05 -0.00980345057054945 3.70888075224643e-05 0.000169503307225548 -0.0155227903111429 0.0340320856035047
