 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00011340432506023184 6.85602592535032e-06 -1.9011078915841113e-07 1.863574672441729e-09 -1.661134550576392e-05 1.4878483428614287e-06 -4.118490096218727e-08 3.812970360571219e-10 1.9763495065883923e-07 2.3579328328431835e-07 -1.4828145671021298e-07 -5.141176911786192e-08 -7.464968009543356e-08 7.116073396879766e-08 -5.2441933766713236e-08 6.216904377149832e-08 -4.007593014304353e-08 -8.405798554069968e-08 -8.728957763189461e-08 -5.751774031220627e-08 2.8885244373728554e-08 4.392744919556835e-08 -2.8655842136029016e-08 -3.459199209905124e-08 6.04413048264376e-09 -2.0265690204834945e-08 4.0520554830351275e-08 -3.499274794020693e-08 -3.219695059419469e-07 -2.2970206944936577e-06 2.201736462825707e-06
age 6.856025925307203e-06 0.00024263669052028585 -5.586578808147981e-06 3.995071102584736e-08 0.0029506271415765083 -0.00022329332311700877 5.12251117130454e-06 -3.646268868828067e-08 -5.474107928142825e-08 2.0049397021360553e-07 -1.221081135527665e-07 1.9584737217583212e-07 1.1022688258429124e-07 9.147813065576636e-08 1.1166015136998502e-07 5.9294856291865395e-08 7.206757030949498e-08 -3.5698905531518264e-07 -2.4110335894494043e-08 4.877170597086203e-08 -1.4737233693718053e-07 -2.4900330129785514e-07 -2.0186866281289157e-07 2.343815516117578e-07 1.7250626899431275e-07 -1.5398543570361436e-07 1.2301443612373003e-07 3.035391037020752e-07 4.448743894434025e-07 -2.930383073461292e-07 -2.588304083240193e-06
age2 -1.901107891573099e-07 -5.586578808148758e-06 1.3107729390285282e-07 -9.531387505612258e-10 -6.636574303729419e-05 5.131272102078476e-06 -1.2000301656818888e-07 8.688069121875749e-10 3.0942179353742245e-09 -4.21345536691826e-09 2.1759009641094796e-09 -4.730604809046132e-09 -2.775974430146088e-09 -2.91181920533612e-09 -2.0378213597578985e-09 -7.674387645894013e-10 -1.5698856738459692e-09 8.196590932305852e-09 1.0231514151362974e-09 -9.769847580387568e-10 3.1380734480092033e-09 4.958827287591493e-09 3.5210111595170483e-09 -4.844430755693289e-09 -4.477354515188556e-09 3.2207933876266335e-09 -3.303066416338166e-09 -7.048805948783167e-09 -1.0861326961932866e-08 1.1897275481921973e-08 5.5656953528604134e-08
age3 1.8635746724366507e-09 3.995071102585061e-08 -9.531387505611938e-10 7.043013784728794e-12 4.6516024154591934e-07 -3.6589464006468394e-08 8.704285722489925e-10 -6.405191278806148e-12 -3.267219142061043e-11 3.080962490771489e-11 -1.490048072488622e-11 3.43861636252564e-11 1.9446181975135727e-11 2.5651072738529968e-11 1.1888789602757712e-11 3.2252263731517327e-12 1.2446252897203116e-11 -5.844530485513468e-11 -1.2359029806196987e-11 4.895619979862133e-12 -2.1906090076934395e-11 -2.9838073704451653e-11 -1.938203507788187e-11 3.0953333827587507e-11 3.4979791026322335e-11 -2.1009489060157117e-11 2.6470443257815415e-11 5.004859266009431e-11 9.108140357847758e-11 -1.0314711045455814e-10 -3.980854769010241e-10
sex -1.661134550601192e-05 0.0029506271415799404 -6.636574303737851e-05 4.6516024154655774e-07 0.10258337548523193 -0.007682119246325863 0.00017544985958586665 -1.2487133307464712e-06 -6.430240138515551e-07 -9.709302046122636e-07 2.6745952823122874e-07 1.1904351722173368e-06 -1.7746360316165446e-06 -5.048815773713719e-07 1.9126713223982676e-06 -4.258193167078557e-07 -2.1769235413342e-06 -3.0529292882077822e-06 -1.8175190824238532e-07 3.0416514632777466e-06 -8.550985853319648e-08 -2.6404579594920804e-06 -4.492088465418462e-06 1.963380294397261e-06 1.3126244151627435e-07 -1.9038730188631938e-06 3.1858994756952893e-06 4.3548065470438357e-07 -1.9315077022688053e-06 7.705962607756224e-06 -4.997563470462883e-05
agesex 1.487848342743537e-06 -0.00022329332311716085 5.131272102082414e-06 -3.658946400649985e-08 -0.007682119246325429 0.0005908550356846594 -1.3772983265651139e-05 9.964181658628827e-08 1.0283585772881806e-07 8.3090396412785e-08 -1.9017895508658252e-08 -6.255918600059504e-08 1.0444934755989183e-07 -7.096510972852401e-09 -7.254887802883299e-08 4.6534550961951385e-08 1.5781917099427938e-07 2.3428190856229837e-07 -5.271401309934515e-10 -2.203190775276744e-07 -2.7976143429412698e-08 1.8219881470903314e-07 2.93047127733245e-07 -9.743546021932376e-08 -8.560216318621204e-08 1.4908500265369937e-07 -2.7595499138759034e-07 -4.8175229963244395e-08 4.262402630685024e-08 -6.34790739480046e-07 3.1898839293406828e-06
age2sex -4.118490095283618e-08 5.122511171307745e-06 -1.2000301656827305e-07 8.704285722496904e-10 0.0001754498595858461 -1.377298326565035e-05 3.270795948678212e-07 -2.4053976221234017e-09 -3.6734387916014873e-09 -2.0920059509507515e-09 2.463376073165528e-10 1.3692143639578612e-09 -2.13087577512557e-09 9.966701675039736e-10 6.74321091393426e-10 -1.5546731551085311e-09 -3.110341088994749e-09 -5.201922265636438e-09 -2.2459315700628836e-10 4.6667217690275665e-09 1.2186718335034939e-09 -3.437274391412644e-09 -6.264389860284052e-09 1.056666155502473e-09 3.1176726672326223e-09 -3.840405175639826e-09 6.878323372987638e-09 9.053896092801164e-10 4.748209015173996e-09 1.5795869615721328e-08 -6.462596903931104e-08
age3sex 3.8129703607251043e-10 -3.646268868830363e-08 8.688069121881796e-10 -6.405191278810952e-12 -1.2487133307462543e-06 9.964181658627728e-08 -2.4053976221232772e-09 1.7967112050903312e-11 3.2606404476084276e-11 1.7705568430044712e-11 9.056562271047805e-13 -1.194183345399932e-11 1.6547408678064266e-11 -1.087125298970535e-11 -7.438827586018623e-13 1.259459740094935e-11 1.7728202892301084e-11 3.5184268023824886e-11 3.524476544540819e-12 -3.0062720108102144e-11 -1.0722903528958135e-11 1.971058454859743e-11 4.314185363271991e-11 1.0952454013693353e-12 -2.8304044463062454e-11 3.076958378138008e-11 -5.278332132300387e-11 -5.20199908715229e-12 -1.001204557294677e-10 -1.0986009831817806e-10 4.3386922255850765e-10
pcs.V3 1.976349506589545e-07 -5.4741079281563885e-08 3.0942179353774376e-09 -3.2672191420633736e-11 -6.430240138552488e-07 1.0283585772910703e-07 -3.673438791608356e-09 3.2606404476134876e-11 1.188319409061143e-06 7.461424975608984e-08 -2.7774275300533582e-08 -4.648430021337252e-09 6.676669573548597e-09 1.6221882619813216e-08 -5.025331332482324e-09 8.719042814259934e-09 6.53173724343431e-09 2.5927715828055236e-09 -7.302835948389352e-09 8.720280794828774e-09 2.5101974954255158e-09 -1.2994662775445547e-08 -8.394051034143055e-09 -1.0743074251536889e-08 -4.065111700697468e-09 -7.75529873308749e-09 1.1905146426203922e-08 2.6155229459599843e-09 -1.3045690155723865e-07 -3.85752691533319e-07 -4.507173017541929e-07
pcs.V4 2.3579328328432563e-07 2.0049397021337638e-07 -4.213455366912948e-09 3.080962490767671e-11 -9.70930204619105e-07 8.309039641331389e-08 -2.092005950963142e-09 1.7705568430134707e-11 7.461424975608982e-08 1.2595101449431205e-06 2.6428469900982796e-08 7.661347751636987e-10 1.4512868596431335e-08 -2.1497343524434187e-08 -5.0088943577034625e-09 2.114429035761496e-08 -3.218122543940787e-09 -5.458139913451826e-09 1.1377918372173222e-08 -6.196909275154123e-09 -5.8487618456837006e-09 1.5587010628073265e-08 1.2515834556476512e-08 4.469092715741655e-09 7.4160714635463345e-09 -7.150014998173046e-09 -5.086710657264389e-09 1.1615341546806715e-09 1.0504412488351968e-07 5.998223556663719e-07 4.969555500390439e-07
pcs.V5 -1.4828145671021276e-07 -1.2210811355269271e-07 2.1759009641077918e-09 -1.490048072487423e-11 2.674595282333403e-07 -1.9017895508818884e-08 2.4633760732025597e-10 9.056562270782453e-13 -2.7774275300533546e-08 2.6428469900982812e-08 1.2670937078397195e-06 5.353166362509839e-09 -4.1525386360054667e-10 -1.9702506059229225e-08 1.6269841472789995e-09 -9.010307177240398e-09 1.643226795477231e-08 1.2733599682186348e-08 1.1177353679828585e-08 2.426484410051048e-09 1.0679550984298404e-08 1.004570651886931e-08 -8.063890818558783e-09 -4.441701297247623e-09 9.098713092919177e-09 8.374101188081668e-09 5.038297170509776e-09 5.160543220932469e-10 1.8929072216294626e-07 1.4620521466020544e-07 5.237977781914667e-08
