 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.0724575095117889 0.10415660782250219 -0.0026623777282377935 2.2312447074752696e-05 0.8602080627886027 -0.06646897274233614 0.00168605070742457 -1.4038216925041765e-05 -2.6718436335659692e-05 4.3667003139468124e-05 -3.043489690476944e-07 -2.1332766691663304e-05 2.061980472324429e-05 -4.927872376913134e-05 7.382403297064519e-06 1.5131357006318562e-05 -1.5167330465868238e-05 -1.4708398427804841e-05 -5.7439854133227826e-05 -2.5627284120153105e-05 -1.0718756422520195e-05 -1.953461144060816e-06 2.1590328917613044e-05 -1.8429708176934486e-06 -1.5608168582077733e-06 -5.929066430516898e-06 6.196048379456306e-05 -4.094238715978728e-05 0.00017950550928346238 0.0008805846466714889 -0.00015248571320503184 -0.0012186262747299595 -0.0007033629745795695 0.0006165066228091286 -0.0005141864240307527
age 0.1041566078221318 0.2938352455892239 -0.007194113799827527 5.76303992262754e-05 3.7569099908754313 -0.2803773574245319 0.006849133219480919 -5.4753053007256634e-05 -0.00011174724817470901 5.90273100252986e-05 1.0268402255491793e-05 -1.2274960003747266e-05 -6.963201179527994e-06 -4.91776494612243e-05 1.6975520016170904e-05 3.6642786827684474e-05 -1.3558158252523766e-06 -3.052346293104705e-05 -7.921601132797385e-06 -1.3769900687432114e-05 -8.645747573049562e-07 -3.0430237544290006e-05 2.1293390764637934e-05 3.817921049469758e-05 -2.3296468926227633e-05 2.3253980728171687e-05 5.8547943115620946e-05 -2.7723940587034104e-05 0.000691397149309175 -0.000601738099550139 -0.0006155333605456375 0.004119434021990371 -0.004631412284101185 0.0013286211123121068 -0.001739300606915493
age2 -0.0026623777282228215 -0.007194113799802719 0.00017678961598972757 -1.421521837995818e-06 -0.09162200385921106 0.006861908045082991 -0.00016823090908374346 1.3497726268599074e-06 2.5609583747570384e-06 -1.4365751609015681e-06 -1.90573091115192e-07 3.279912497982295e-07 6.029601993384103e-08 1.247850308923313e-06 -3.6763511617604536e-07 -9.102792654436106e-07 5.366830064234961e-08 7.471336254356242e-07 3.867213148006604e-07 3.205850557499933e-07 1.0130703478703811e-08 6.891931538550044e-07 -5.678447241259519e-07 -8.717838767042908e-07 5.46409056831324e-07 -4.732409219194231e-07 -1.546282013795371e-06 8.037247859342888e-07 -1.727163866319757e-05 1.1787105581630994e-05 1.4962898603310192e-05 -9.077242635112864e-05 0.0001087794625988749 -3.0950462744665015e-05 4.070835042039497e-05
age3 2.2312447074658397e-05 5.763039922619254e-05 -1.4215218379983484e-06 1.147453840230594e-08 0.0007313724191845297 -5.4966647077643314e-05 1.3525285456919364e-06 -1.0892898214535114e-08 -1.910342788601386e-08 1.1455745303756576e-08 1.1044644409586042e-09 -2.9477164658229447e-09 2.7979360758099273e-10 -1.0408129649395948e-08 2.493256783029102e-09 7.431982396507676e-09 -6.042255327745026e-10 -5.858257596068116e-09 -4.8350339038783025e-09 -2.514492817885469e-09 -3.011295091974643e-11 -5.189202114998946e-09 4.858148719444154e-09 6.396039095076791e-09 -4.0115792915273235e-09 3.0896999026252824e-09 1.3494710334527142e-08 -7.496800774734035e-09 1.3988389543730673e-07 -7.339973012394764e-08 -1.1754915803394243e-07 6.55935019431997e-07 -8.375246749312569e-07 2.4273583058920303e-07 -3.170241768583429e-07
sex 0.8602080627685342 3.7569099908386825 -0.09162200385832257 0.0007313724191775037 92.23394314772403 -6.8083811426837215 0.16424479096518357 -0.001294628990833602 -0.0010019242314637884 0.0010830190318186182 0.0006233924259062964 -0.00013681703518568 -0.00097635331160817 -0.00039938602566805503 0.00016900382550579104 0.0012013422999903281 -4.1785629779535055e-05 0.0003858591002504752 -0.00010079929893857719 0.00015968497554892766 0.0002957438821115929 -0.0005879144655118073 -0.00032266354579770293 0.000995423389786119 0.00021053029871562613 0.0005942867864723774 0.00010729894357744303 -0.0004166841048252455 0.016997796840600654 -0.03530300618335079 -0.013688045840798397 0.06703699128863204 -0.03606891533209437 -0.004076149386597515 0.002780956021251204
agesex -0.06646897274053544 -0.2803773574212212 0.006861908045002138 -5.496664707699926e-05 -6.808381142682462 0.5044784215578316 -0.01221634163929825 9.665530915532699e-05 6.931439986494359e-05 -7.687102621611233e-05 -4.12783116564665e-05 9.101161581223197e-06 6.766894016744237e-05 2.5913962114647707e-05 -9.640989323519987e-06 -8.952563917402657e-05 -9.11983520313413e-08 -2.7884847376469702e-05 7.778768885790976e-06 -1.5068579138899449e-05 -2.275981012262053e-05 4.225667100646603e-05 2.1357216193372834e-05 -6.863629874811044e-05 -1.681718903077717e-05 -3.9953306139029724e-05 -1.2458082068849758e-05 3.177514590118501e-05 -0.001240453375084208 0.002511910396812175 0.0009345718702427297 -0.004793623371329259 0.0027258209672193254 0.0002936663154933567 -0.00015962622757513967
age2sex 0.001686050707385727 0.006849133219407689 -0.00016823090908196396 1.3525285456778172e-06 0.16424479096512293 -0.012216341639296026 0.0002969904251064638 -2.3591356042107752e-06 -1.5505827305509651e-06 1.7628162914706793e-06 8.843804107952628e-07 -1.860806445979687e-07 -1.5397318106326722e-06 -5.321134168823159e-07 1.5127204527090042e-07 2.170822999594543e-06 8.385793777432609e-08 6.674276077442649e-07 -2.3195390687757933e-07 4.60454190075645e-07 5.809744277098061e-07 -1.000696253634148e-06 -4.671819082706791e-07 1.5280833235914384e-06 4.443080689657794e-07 8.659383670385414e-07 4.0525331905548037e-07 -7.972356248149936e-07 2.9681212292373404e-05 -5.892710614023814e-05 -2.089722112455034e-05 0.00011377310092872505 -6.81602257552189e-05 -6.288992369298167e-06 2.2473809542087153e-06
age3sex -1.4038216924712874e-05 -5.475305300676979e-05 1.3497726268479903e-06 -1.089289821443936e-08 -0.001294628990832905 9.665530915529323e-05 -2.3591356042103835e-06 1.8817600404349433e-08 1.1141087865779341e-08 -1.3020413410805609e-08 -6.111971130270697e-09 1.194906661821806e-09 1.1483371431235811e-08 3.4283580820755604e-09 -3.853371276681457e-10 -1.7156087396226967e-08 -1.2944739997266952e-09 -5.319352368379364e-09 2.428664446817242e-09 -4.482782672956476e-09 -4.887821662378414e-09 7.907742681797561e-09 3.2765002159569452e-09 -1.1023391376380345e-08 -3.943907455366143e-09 -6.0936614462691246e-09 -4.135121889885625e-09 6.553447956421616e-09 -2.326311510808788e-07 4.5735184286700404e-07 1.5267238428257334e-07 -8.974138103464662e-07 5.616371509341378e-07 3.7868353338257044e-08 6.036992874003812e-10
pcs.V3 -2.6718436335623283e-05 -0.00011174724817515958 2.5609583747681535e-06 -1.9103427886103463e-08 -0.0010019242314825499 6.931439986635382e-05 -1.550582730585603e-06 1.1141087866057082e-08 9.260320412028557e-06 3.4501717656262785e-07 1.5132212190343166e-07 -1.647719509827062e-07 8.180371543506435e-08 5.425037618979678e-07 -3.6525785643861783e-07 1.776651380217083e-07 -4.064661566520295e-07 2.43973029844493e-07 -1.7138869042943373e-08 1.205596749517522e-08 5.069965911685755e-07 1.1699277037047491e-07 -7.41012372687583e-08 2.2229355315820534e-10 -9.294841820286042e-08 -2.5142133983413803e-07 3.700768976201554e-07 -2.2354325305898745e-07 -5.91181215695829e-07 2.2219508945040736e-06 -4.231562728043179e-06 -3.8725104841154454e-05 4.015974619255624e-05 1.79348209481759e-05 -2.3543424133057795e-05
pcs.V4 4.3667003139355435e-05 5.9027310025396186e-05 -1.4365751609039392e-06 1.1455745303775654e-08 0.0010830190318294043 -7.687102621692782e-05 1.7628162914908181e-06 -1.3020413410967887e-08 3.4501717656270085e-07 8.624567114553525e-06 2.1107546231223298e-07 4.2742477773521037e-07 -2.11728146321992e-07 -1.688028969254663e-07 1.9004560072973425e-09 2.8260047730453856e-07 1.7908837284371628e-07 -3.707473740490508e-07 9.268157380308959e-08 -1.6741196381033897e-07 -5.293165275057915e-07 1.8562847435132775e-07 4.3139293614637323e-07 -6.502020053160552e-08 4.090583715436045e-07 2.0998409471789428e-07 -5.4977781976490516e-08 -3.868399610442201e-07 1.7996905474251248e-06 6.702049238015398e-06 2.0938821093674117e-06 2.1818906848794693e-05 -2.4081333286371068e-05 -4.508729515764133e-06 9.196629535995112e-06
