 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
intercept 0.025958048596321715 0.009827322287573582 -0.00031603510719207026 3.229070374015891e-06 0.04708313427962104 -0.004808600361471107 0.00015533626205177815 -1.5993433416639064e-06 2.2781268387080026e-06 2.9983251526541613e-06 1.5591277238247567e-06 -6.893061819430248e-06 1.8677381181113043e-06 -1.4835811129982872e-05 3.809559123919541e-06 -2.40772193862445e-07 -3.9054492173844115e-06 -1.3896970285201223e-06 -1.980016731849697e-05 -5.003937330234271e-06 -5.044070633222585e-06 -1.056217635195941e-06 9.620285664600873e-07 -2.426922779457289e-07 5.764270835168989e-06 -8.64561851486327e-07 1.4142191918091048e-05 -8.415966232642082e-06 -5.586165825733539e-05 0.0002582175062575334 0.0001962909810145354 -0.0003398670013042724 -4.3780655311407797e-05 -0.00011619327985251348 -6.560245208344699e-05
age 0.009827322287669183 0.007691530573953612 -0.00023105645216680288 2.1974951617539646e-06 0.07513780472390125 -0.007181634733358328 0.00021544412517344715 -2.047346949786543e-06 2.211934491605503e-06 -1.1969232212928373e-06 -5.061724994536291e-06 2.739763699255124e-07 -1.2172341343815487e-07 -2.085791807393417e-06 1.2711876672518928e-06 -4.091061275134275e-07 -5.25103105861854e-07 -1.9164160788550337e-06 -6.027424426429659e-06 1.8204312688265728e-06 -2.5530937626791815e-07 -2.3879541405399127e-06 1.4777765345592282e-06 -4.787451776620318e-08 6.986921196197808e-07 -4.088725557528066e-06 2.563634623410446e-06 -7.046673709526912e-07 -2.263204014288575e-06 1.4269999496044816e-05 4.691420783039206e-05 2.0570798815379513e-05 2.6947651284255538e-05 -3.6509315533623656e-05 -6.273177467448396e-05
age2 -0.00031603510719457103 -0.00023105645216642444 7.018798858085434e-06 -6.746380685683517e-08 -0.0022344358845372532 0.00021593479798883694 -6.5492167558572226e-06 6.289024396531533e-08 -8.613689334809537e-08 6.297419549597236e-08 1.4193380598545133e-07 1.0433623783985168e-09 -2.192107308397321e-10 6.405792887328086e-08 -2.591919871692749e-08 2.2026558571671735e-08 1.8181016773001468e-08 4.733745659633982e-08 2.094642500731019e-07 -5.39852469498734e-08 4.9136078685237115e-09 5.863088794062039e-08 -3.6056114276503713e-08 1.7048720857308767e-08 -3.415758521444972e-08 1.0944984970865082e-07 -9.857720918468837e-08 3.7942483180931646e-08 2.0439632469995686e-07 -6.26448472823119e-07 -1.6777637515478139e-06 -1.1392487216017553e-07 -9.631124138988182e-07 1.1546694376367468e-06 1.927061200106674e-06
age3 3.229070374034431e-06 2.1974951617433115e-06 -6.746380685662835e-08 6.554397473499176e-10 2.108546312253013e-05 -2.0577843571133994e-06 6.306496402671722e-08 -6.120165247005843e-10 9.87749930104018e-10 -7.587782624384744e-10 -1.2628239982944026e-09 -1.1689482766859597e-10 6.681795534151292e-12 -6.614229614272155e-10 1.421199600020555e-10 -2.4132340713814496e-10 -1.839440124749122e-10 -3.3375065726322006e-10 -2.276023803090301e-09 4.948784849790895e-10 -3.0077291418590265e-11 -4.92804610558704e-10 2.6781159485666935e-10 -2.885907561675149e-10 4.719154652178662e-10 -9.187148919417618e-10 1.19132031494677e-09 -5.020634736965517e-10 -3.169955319033457e-09 7.21461473635019e-09 1.8311528986258807e-08 -1.8108243229172387e-09 9.970532232068279e-09 -1.0475499444176247e-08 -1.9030834549295175e-08
sex 0.047083134281952876 0.07513780472512775 -0.0022344358845743004 2.108546312288419e-05 1.560566970121698 -0.1462028436575518 0.004292673978489883 -3.985167871564107e-05 5.7698515813969664e-05 -3.414631304649996e-05 -3.9738317689857776e-05 1.856172118841786e-05 -5.3768203024570846e-05 9.410746602797372e-05 -2.3219985140234155e-05 1.2895140555772863e-05 -7.236279685391159e-07 3.365035732352026e-05 -5.669650235828086e-07 7.32321905333232e-05 3.086404429475035e-05 -3.840123710612183e-05 -2.1109212772866956e-05 -6.141984227578985e-05 5.276643687073768e-06 -2.373060508831652e-05 3.363222493085542e-05 3.779150654318413e-05 -0.00027826910219524336 -9.605770215620364e-05 -0.0005619224452318188 0.002122547609099857 -0.00020544883553901713 0.0017180623920819136 -0.0006474496102595932
agesex -0.004808600361668689 -0.007181634733441225 0.00021593479799141493 -2.0577843571388345e-06 -0.14620284365752945 0.01387332532718471 -0.0004119998939277963 3.86368669022287e-06 -5.875469640066914e-06 3.914112285573042e-06 4.435098208612504e-06 -1.8146530741365076e-06 4.636203428554495e-06 -9.2371317092014e-06 2.6300804970701084e-06 -8.896983387890337e-07 -4.7512011843572046e-07 -3.153010745518732e-06 9.076624085343365e-07 -7.156611953290147e-06 -3.4512727745319007e-06 3.3121629867529594e-06 1.7528404239562644e-06 6.426418613448091e-06 -1.1994133863207038e-06 2.225183548642978e-06 -3.1829169639723263e-06 -3.43268248245219e-06 2.7397600918419105e-05 8.31380915654091e-06 3.601548803073769e-05 -0.0001734474628717596 4.765271361443068e-06 -0.00014442232500851864 5.71989082243019e-05
age2sex 0.0001553362620571675 0.00021544412517524465 -6.549216755914817e-06 6.306496402730493e-08 0.004292673978488358 -0.0004119998939277145 1.237508806372553e-05 -1.1731573554016352e-07 1.8676400565049892e-07 -1.401320759826161e-07 -1.5003992091105454e-07 5.8409620381999236e-08 -1.298916554008393e-07 2.8145365639333716e-07 -8.993187366986349e-08 1.942347525549921e-08 3.0533878057073253e-08 9.717230558524798e-08 -5.994825855468936e-08 2.2056134926609194e-07 1.1482829376046686e-07 -8.9965308943558e-08 -4.9035424938538676e-08 -2.0720533938413084e-07 5.347986119369364e-08 -6.696281172336467e-08 9.75263355763984e-08 9.508475628575757e-08 -7.849618740192848e-07 -4.432797948558496e-07 -6.438140249290896e-07 4.785303389441715e-06 1.9019127980039435e-07 3.906831083857163e-06 -1.759226853491265e-06
age3sex -1.599343341722932e-06 -2.047346949815978e-06 6.28902439662074e-08 -6.12016524709143e-10 -3.985167871561638e-05 3.863686690221115e-06 -1.1731573554013414e-07 1.1245093290590409e-09 -1.9014010085870546e-09 1.5455045151390675e-09 1.580918298249286e-09 -5.814929003267288e-10 1.174720550099106e-09 -2.686708590118361e-09 9.708537936426322e-10 -1.4533772107704371e-10 -4.219175050825198e-10 -9.747427016722682e-10 8.933967828797807e-10 -2.1367709916567074e-09 -1.1812853281979678e-09 8.206487546638584e-10 4.0000431151848113e-10 2.058479833400169e-09 -6.808456113670544e-10 6.284451372086185e-10 -1.0263033763017262e-09 -8.336041639735396e-10 6.979931531323948e-09 7.959609035441719e-09 2.2624560993820444e-09 -4.448236006642259e-08 -5.114759905887764e-09 -3.417994744404763e-08 1.880610611137621e-08
pcs.V3 2.278126838808233e-06 2.211934491667763e-06 -8.613689334995065e-08 9.877499301214739e-10 5.769851581405488e-05 -5.875469640075813e-06 1.8676400565079482e-07 -1.901401008590213e-09 3.5757613254571237e-06 1.4490074013790056e-07 -4.662994962443728e-08 -4.32313467929758e-08 1.2584128950171806e-07 1.0053809282469548e-07 2.9995187566677317e-09 8.583759501805628e-08 -7.319567251605566e-08 1.1750839176135015e-07 -9.206735842550507e-08 -5.029454142161631e-08 2.619726287348829e-08 -2.477866314096395e-08 -1.0864214661706274e-07 4.892670277114181e-08 6.359019447836697e-08 -1.2419735953088271e-08 1.243695706340357e-07 6.446012655976594e-08 -7.349636426484759e-07 2.012114266819663e-06 4.5787161363863715e-07 -4.344619222354458e-06 1.6509607920964904e-06 -2.44701942201039e-06 -5.600770371595793e-07
pcs.V4 2.99832515259287e-06 -1.1969232213309711e-06 6.297419549711821e-08 -7.587782624493602e-10 -3.414631304664244e-05 3.914112285587006e-06 -1.4013207598304869e-07 1.54550451514335e-09 1.4490074013789696e-07 3.4516947271797696e-06 7.04622353740935e-08 4.4451553315634645e-08 6.904711659499855e-08 -4.2632409876500994e-08 -8.575650733254538e-08 1.7654215739194668e-08 8.434476684334975e-08 -3.216409126595975e-08 7.062341166231809e-09 -1.2831543730207698e-07 -1.6948453772897942e-07 6.672527281877666e-08 1.209406341497927e-07 6.187996650796065e-08 1.1314934656608206e-07 6.55028674561839e-08 -7.271453128182146e-08 -1.3500328491640828e-08 5.634552404790292e-08 5.537649210049637e-07 -2.4416132219321093e-07 5.945496173567189e-06 -2.730327038670077e-06 -1.9344069931428203e-06 4.364649168050734e-06
