 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0025033886957347416 0.0009097544291462987 -2.7674010048479013e-05 2.66744881776067e-07 -0.0029939543672354058 0.0003057321669396901 -9.767125582663915e-06 9.802837176132976e-08 -2.5698113699166866e-06 2.1204019717705587e-06 8.405517986013555e-07 6.449033420045304e-07 1.8477660441745527e-06 -8.7701129255842e-07 2.4685999757451755e-06 4.5729702502316313e-07 3.462999856546844e-08 -2.989240853381861e-07 3.794861877131255e-08 -1.5819684620742842e-06 -1.4738612554545997e-07 1.5947600173902237e-06 1.578130181406507e-06 7.227290691566414e-08 -1.6893441487684055e-06 4.535688614218804e-08 -1.6659922476617673e-06 -2.3503087076253167e-06 -8.915972937081305e-06 1.2069498101342784e-05 1.6416786975741643e-05 -1.3060097943220835e-05
age 0.0009097544291475174 0.0019237102027263176 -5.281743369660291e-05 4.5325026212004554e-07 0.020777260219248906 -0.0018446446638735784 5.06083999131646e-05 -4.3395245918148604e-07 -2.044976113612639e-06 7.571544685077551e-07 -1.4142335225978596e-06 1.322875220026148e-06 1.7294740127155076e-07 -4.875999626128706e-08 1.6360016783196557e-06 1.317609544832832e-06 6.870631491223777e-07 -2.4780088786153293e-06 1.311753440931743e-06 4.2694683431548017e-07 -4.617585969447567e-07 1.1157539137287107e-07 1.0612585792878674e-06 7.372858957043413e-07 -1.6965981684849699e-06 -1.377079771128095e-07 -8.282635593803217e-07 6.638479292092624e-07 1.9510907004070713e-06 -4.109612313605986e-05 5.100357195688693e-05 -5.5644114956981655e-06
age2 -2.76740100484987e-05 -5.281743369657468e-05 1.4690576333599399e-06 -1.2758514963665583e-08 -0.0005618078705012497 5.055153875885517e-05 -1.4049546182784727e-06 1.219158604719435e-08 5.7954770853232896e-08 -1.8441323542564463e-08 3.3365371355178455e-08 -3.491750130179619e-08 -8.084974432661706e-09 2.0629435906540343e-09 -4.457414546837654e-08 -3.071537885327338e-08 -1.8880810248205834e-08 6.028872223485693e-08 -3.9102996080493536e-08 -9.04295951702588e-09 9.540195704445744e-09 -9.807466554915235e-09 -3.097474705842733e-08 -1.2103075943488414e-08 4.8128482427606777e-08 2.446192613776161e-09 2.848102850544334e-08 -1.237553148358131e-08 -3.516758273877725e-08 1.060166440849644e-06 -1.205730201887803e-06 4.255336828986813e-08
age3 2.667448817764671e-07 4.53250262120305e-07 -1.275851496367886e-08 1.1214989301834321e-10 4.757720875861314e-06 -4.3298621860030793e-07 1.2178560272476046e-08 -1.0695743307204234e-10 -5.091456868909968e-10 1.5737211883932488e-10 -2.472229058954512e-10 2.8932020120391273e-10 9.372924741326819e-11 -2.8609270573564268e-11 3.798367425104775e-10 2.2716908798961492e-10 1.6727982032469113e-10 -4.487839741922491e-10 3.424848479671294e-10 4.976123632836246e-11 -6.194201483087405e-11 1.3210136273263585e-10 2.7705745422028023e-10 5.057061478584924e-11 -4.2529050118386424e-10 -1.058209677980371e-11 -2.83852087417518e-10 5.922119101343314e-11 1.395285688630604e-10 -8.506298317671934e-09 9.104085575773356e-09 1.4419411078176796e-10
sex -0.0029939543672146073 0.02077726021928255 -0.0005618078705021682 4.757720875869063e-06 0.6021080879741262 -0.05320817240391971 0.0014588521406640673 -1.2541161606081733e-05 -8.65802546037482e-06 2.7125883486911663e-06 -4.759287965118452e-06 5.323775901116462e-06 -2.5819637617247878e-05 2.3463016804314846e-05 -1.2528702235740558e-05 1.291087415086527e-05 -1.7818318396202236e-06 -2.482365818170717e-05 1.8002167050329517e-05 2.347020174677747e-05 6.48507269152347e-06 -1.7776809485476376e-06 -9.933660310272853e-06 -2.0592200948466784e-06 -1.2032507861332349e-07 7.496985310194226e-06 1.3192778522079213e-05 3.6982807214362796e-05 2.3987687280936202e-05 -0.0005562600934256516 -4.577213689648076e-05 0.0008508475500021039
agesex 0.0003057321669364224 -0.001844644663875612 5.055153875890938e-05 -4.3298621860077417e-07 -0.053208172403921644 0.0047763224702409785 -0.00013271493058784038 1.1538993197754977e-06 8.750332222962921e-07 -3.262703844373378e-07 3.5659766937774034e-07 -2.978612098517349e-07 2.202818946096849e-06 -2.203904243861294e-06 1.5429002857268908e-06 -1.0359115363153536e-06 -1.9368537479065583e-08 1.9613001099708726e-06 -1.7771217979198832e-06 -2.14889309197449e-06 -6.410622213677349e-07 1.0890006707114593e-07 6.4515539461091e-07 6.87807987910014e-07 -2.008829851952679e-07 -7.559776712904993e-07 -1.0155228305071585e-06 -3.3018626743124446e-06 -2.2259867923906612e-06 4.9664422440865143e-05 -4.50132929801576e-07 -7.38039382694348e-05
age2sex -9.76712558258559e-06 5.0608399913221415e-05 -1.4049546182800357e-06 1.2178560272489673e-08 0.0014588521406641744 -0.00013271493058784512 3.735722361127903e-06 -3.287151104643214e-08 -2.553991398958146e-08 1.0663682328256966e-08 -9.103414598932673e-09 7.665103519199374e-09 -6.028163056289367e-08 6.216746767240823e-08 -5.221594736903816e-08 2.5749833934616457e-08 5.492468483308692e-09 -4.49178016340622e-08 5.010172457333383e-08 6.09144994483087e-08 1.784317048657262e-08 -4.980873518720523e-10 -1.5277410695037094e-08 -2.9896877774635066e-08 8.783885333764288e-09 2.3043435314100565e-08 2.3292351394592655e-08 9.134133563582897e-08 7.02480056143386e-08 -1.3353447133520388e-06 3.5109536598655913e-08 1.9453431529886082e-06
age3sex 9.80283717603817e-08 -4.3395245918287083e-07 1.2191586047231326e-08 -1.0695743307235152e-10 -1.2541161606083119e-05 1.1538993197755805e-06 -3.287151104643329e-08 2.927340175728395e-10 2.0891266502810213e-10 -8.68122491475573e-11 7.863024221461991e-11 -7.204732471809598e-11 5.28559699209514e-10 -5.301748411077966e-10 5.316944321552411e-10 -2.0597003484545228e-10 -8.820621926207128e-11 3.045451159946826e-10 -4.2718011832610344e-10 -5.381609428849646e-10 -1.446860732726483e-10 9.747001623315179e-12 1.2032664466097766e-10 3.2553986131166654e-10 -9.735579034777435e-11 -2.1685396426488233e-10 -1.7219449479044526e-10 -8.041755770663132e-10 -6.095983294609904e-10 1.1311760555004302e-08 -1.6420638694343456e-10 -1.591089012423376e-08
pcs.V3 -2.5698113699166785e-06 -2.0449761136098014e-06 5.795477085315006e-08 -5.091456868902442e-10 -8.65802546029603e-06 8.750332222889891e-07 -2.5539913989371644e-08 2.0891266502621673e-10 2.1057912435289555e-06 1.0430816931894633e-07 -7.280296646462133e-08 1.4010420308320121e-08 5.2320388432310865e-08 5.5274490710669735e-08 5.026589960489721e-08 5.719887107662911e-08 -3.3351362685764136e-08 3.4741806889122205e-08 -2.8421304051528827e-08 8.959042431046063e-09 2.0514643394380377e-08 -1.5813932369883532e-08 -4.462038821759159e-08 2.6493589308629656e-08 1.5641121135427767e-08 -3.5841445520366925e-08 4.224870205478861e-08 1.1596607752482165e-08 -6.416247201047016e-07 8.390404573137504e-07 -1.6795830182115575e-06 -9.031681995181297e-07
pcs.V4 2.1204019717700513e-06 7.571544685080115e-07 -1.844132354257004e-08 1.5737211883935892e-10 2.712588348701278e-06 -3.262703844382206e-07 1.0663682328280619e-08 -8.681224914775454e-11 1.043081693189463e-07 2.1381900697311254e-06 4.467710102067199e-08 8.995069626955051e-09 2.3478821225036885e-08 -1.5804481584852426e-08 -5.318557764479857e-08 3.628990162774916e-08 9.597568300694422e-10 -2.6347972148213977e-08 5.472945034997672e-08 -6.194716929296496e-08 -5.521502135247547e-08 4.239089507899608e-08 4.847721414486961e-08 2.9184077931607257e-09 6.979494496236323e-08 4.7700490600187435e-09 -7.852621714123203e-09 2.0175575886492614e-08 6.420559096263754e-07 -4.580378901423834e-07 1.1429765346060444e-06 7.709804989621119e-07
