 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.01774326950178005 -1.2213047906797905e-05 0.002564718538680628 0.005765345475935235 -0.0007059592199030338 -9.082115872801596e-05 9.675513717935582e-07 2.552504098628527e-05 -2.7438778465172125e-07 -0.006600333017776115 0.0007497797222698952 -0.000587111737649731 0.00041613239548798393 -0.005423876119330392 0.000629866316584037 0.007504628430103965 0.0025612848547312936 -0.001776580910837699 -0.007452983302380921 -0.0039312816411495735 -0.007533246239870616 -0.006839828561218615 -0.014305195960269773 -0.002284505558488189 -0.008136867773603739 -0.007471934234154031 -0.0030434652577892058 0.015618534645013725 0.012203875269155383 2.8650237351088872e-05 -4.3028880023603924e-05 5.723656846166041e-06 0.0002900000981376121 -0.00018097494916735572 -6.407495660699327e-05 1.9561020768544082e-05
yob -1.2213047906781635e-05 3.948908487784602e-06 3.4403272519896506e-06 3.0163749104065785e-05 -3.593128181511032e-06 -6.5896422372097875e-09 -6.401302515670028e-11 9.450877476211546e-08 -7.140389144064938e-10 1.6988211035464275e-05 0.0006861822727601132 0.00010866877919054256 -0.00044429816056312083 0.00022727791353293508 -0.0005192713238751106 -0.00013079509567134748 -0.00021230346852991178 0.0004822692544051415 -0.0001996629996423507 -0.000432279958037367 0.0003048665233018166 -0.0002596389547221455 -0.00010045263575190114 0.00026121883478952924 0.00023328479206526358 -6.114553294761563e-05 -0.00011877501402243893 0.00011727985980202964 -0.0005236301607064334 1.192078227919431e-06 -1.6071123453142478e-06 -9.038235383050162e-07 -6.883702102545809e-07 9.511114350592871e-07 -1.6912913519299984e-06 3.5629070002401515e-07
age 0.0025647185386830293 3.4403272519953948e-06 0.0015340301297777882 0.015409192715323726 -0.0015219431895909115 -4.588333971523572e-05 4.2362357805655304e-07 4.5609968617729796e-05 -4.2122443052539816e-07 -0.0012329429594049978 0.0008822547995937962 -0.0005685913367382055 -0.00038395303375336027 -0.004069036852270929 0.001240332442698074 0.00037112164528749176 -0.0010719801616740393 -0.000657335750952833 0.0009167665646734787 -0.0039572155908391355 -0.0008131742012144693 0.0003723902861014026 0.0007245994821236406 0.0002933525792442246 -0.001358459562621528 -0.003457595554734564 0.0007962892501140776 0.002434943771484672 0.0034840228593556 2.931259984003336e-05 1.4800189850226459e-05 1.1218114916990622e-05 5.6104911194403435e-05 -0.00010659460078689665 -5.3966714983431995e-05 6.041765631533282e-06
sex 0.005765345475975495 3.01637491037633e-05 0.015409192715328772 0.26741762014398224 -0.024893296077129916 -0.00044122921682006934 3.940213515176699e-06 0.000713873971939177 -6.381261506859516e-06 -0.001957953176593224 0.010728735224729056 -0.002474403186140292 -0.007730440235793642 -0.04898708049034188 -0.002398344405451972 0.005890306299833277 0.002910309690509269 -0.015453755968743035 0.01709001999779569 -0.041799206001441463 0.0016205565388529785 0.004242350704775391 0.011963271807404722 -0.031146615497901577 -0.015520900483953168 -0.028170786668553698 0.03372343643162243 0.01285854064531207 0.01501385546572058 0.00023628614669958395 0.00016348113154020659 0.00010217176694051596 -0.00031832854848978874 -0.00036587639000286285 -0.00041102460845497267 1.3942822394779197e-05
age_sex -0.0007059592199073973 -3.5931281814909644e-06 -0.0015219431895915122 -0.02489329607713102 0.002455941436441655 4.554897605003682e-05 -4.2077412448115543e-07 -7.360688005644291e-05 6.80486517484502e-07 0.0001589313011813732 -0.0013023366804126393 2.1273746988794697e-05 0.0007595742869034795 0.004663104641274912 -7.860287797077208e-05 -0.0006607318119490539 -0.0001791238485252045 0.001820654937385428 -0.001607189331755342 0.003624893698038173 -0.0007936682573995897 -9.616975650663844e-05 -0.0008570973510368721 0.0031475394291638893 0.0017930462991744564 0.0038235444217072905 -0.0027873979142850297 -0.001964347522547214 -0.0019739867235571804 -2.573785987678212e-05 -1.2273047117439515e-05 -1.3080770860455077e-05 2.3016732229315085e-05 4.253208184905338e-05 4.036475900960487e-05 1.2222709928352085e-05
age2 -9.082115872810117e-05 -6.5896422366517094e-09 -4.588333971523371e-05 -0.00044122921681989235 4.554897605001612e-05 1.4265004081769664e-06 -1.3566047192903205e-08 -1.4167893321980687e-06 1.3478824848064888e-08 3.53294090617959e-05 -1.6622448844171805e-05 1.5970795428810022e-05 -3.3240759809148093e-06 0.00013605748113577505 -5.210473834221209e-05 -1.8604562335096253e-05 9.209776495016887e-06 2.7755511727493063e-05 -3.0255734278043852e-05 9.87357923748754e-05 2.6226757154219465e-05 -5.611706079198134e-06 -2.46283601117589e-06 -8.078441607284822e-07 5.941254563844865e-05 0.00012029556723191718 -3.1050060205099745e-05 -9.830909664343833e-05 -0.00010726874176094012 -8.584474569920878e-07 -2.676012234738803e-07 -3.418556974951541e-07 -1.811174891423751e-06 3.076999567247324e-06 1.4593841431990793e-06 8.698986648561105e-09
age3 9.675513717943352e-07 -6.401302516303479e-11 4.2362357805651657e-07 3.940213515174886e-06 -4.2077412448094256e-07 -1.3566047192902722e-08 1.3224051499326566e-10 1.3478877900475333e-08 -1.3144299070701414e-10 -3.2064693055617574e-07 2.1830599570455785e-07 -1.3910467589704724e-07 5.792442639654643e-08 -1.2797312564093063e-06 4.89887059928747e-07 2.3075055382932587e-07 4.949524555826909e-08 -2.1111297783153882e-07 2.4477246951517814e-07 -8.574044412087561e-07 -2.184103621343858e-07 -3.4137533860456214e-08 -2.1106432277321037e-07 -1.3952852881379705e-08 -6.403360740283783e-07 -1.2246868330096984e-06 3.2025945430243075e-07 1.1378714653185192e-06 9.863221379945928e-07 8.003997951590822e-09 5.499953122915041e-10 2.7219497357814365e-09 1.724198138267134e-08 -2.6270026704802793e-08 -1.2634132323834415e-08 -9.468708446972585e-10
age2_sex 2.552504098640849e-05 9.450877476150576e-08 4.560996861774801e-05 0.0007138739719392374 -7.360688005644502e-05 -1.416789332198705e-06 1.3478877900481883e-08 2.288054144330733e-06 -2.1777627388275766e-08 -3.678881446400383e-06 4.586944866120305e-05 2.0603966625291764e-06 -1.9443806863671376e-05 -0.00013605593067649363 1.2911325541599529e-05 2.500859724450694e-05 5.4748867599034e-06 -5.191764853336816e-05 4.685231981807769e-05 -0.00010032006003626127 3.469197890195241e-05 1.0153917567640697e-06 1.4245092187471246e-05 -8.890948946895869e-05 -5.9261402318776276e-05 -0.00013762962318129585 7.775082250220943e-05 7.471176015843718e-05 7.397926779496886e-05 8.383513335712898e-07 1.513362012629243e-07 3.944246851636278e-07 -5.878533306295327e-07 -1.197497528557266e-06 -1.173182112346021e-06 -5.690966890356134e-07
age3_sex -2.743877846529739e-07 -7.14038914390107e-10 -4.2122443052556143e-07 -6.381261506860165e-06 6.804865174845309e-07 1.3478824848070711e-08 -1.314429907070743e-10 -2.1777627388276053e-08 2.124470063654717e-10 1.1799497542651045e-08 -4.704061665309027e-07 -6.586521212219847e-09 1.065243418857232e-07 1.236129091236927e-06 -2.0625745445005706e-07 -2.614943894829912e-07 -7.260870214470351e-08 4.169650844452363e-07 -4.339478984129083e-07 8.924137129548997e-07 -3.8858528190332283e-07 -1.5847830432761874e-08 -1.2583874002721171e-08 7.512107194444639e-07 5.865223691145475e-07 1.3948975452383937e-06 -7.102439244424106e-07 -8.571326744278779e-07 -8.372624934923608e-07 -8.538091969732986e-09 7.373204064850248e-10 -2.9560574623768755e-09 4.783721344512912e-09 9.387293525187426e-09 1.0441072514303232e-08 6.070879763514912e-09
PC_3 -0.006600333017776688 1.6988211035462696e-05 -0.0012329429594048946 -0.00195795317659147 0.0001589313011812133 3.532940906179408e-05 -3.2064693055617796e-07 -3.678881446397055e-06 1.1799497542643933e-08 0.8755068876726769 -0.1532924562304755 0.0572056869454616 0.13421499908841483 0.03958497250407317 0.05696473815772398 0.06826684406506914 -0.16755751757882348 -0.10253936395806251 -0.05289924456251776 0.1846538252104475 0.03768121406402239 0.27299920861317145 0.07248226732166882 -0.5023904936760798 -0.12390004222750892 -0.05384670558371453 0.1564591130019383 -0.1581593768612541 0.3978516969746769 0.0003503740048183127 -0.0002275773231859086 -0.0008017674336472477 0.00046727029617284974 -0.00020348534947963056 0.0006390375466924671 0.0006154538552628946
