 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.8013154121761084e-05 1.8541774467114208e-07 -4.540926399558469e-06 -3.4803221254956785e-05 2.239633026486881e-06 8.777847499018856e-08 -4.85680018730753e-10 -4.460963430379917e-08 2.806773643224277e-10 1.037956584111914e-06 3.7680403059652994e-05 -0.00015773785750354804 2.0178931221919392e-05 0.0002274321543763357 -8.761386648030552e-05 8.890979888172673e-06 -0.000133751315164353 6.871535186066868e-05 -0.0002550876475926718 -9.903302372872027e-05 -4.765738589731915e-06 -0.0001237381406430167 1.9778030518926232e-05 -0.0001241096177735054 0.00011609759767957914 7.283689910857113e-05 -1.0033391081498776e-05 -7.65610891933592e-05 2.547490391210392e-05 4.752589664113835e-09
yob 1.854177446711564e-07 1.3123627887074519e-07 3.021431888076134e-07 1.3232597167962244e-06 -9.753376083606703e-08 -2.118744034761253e-09 3.323552269864816e-12 1.2971254641770767e-09 -3.277479117508386e-12 -6.652841299602859e-07 1.0674182474058976e-05 -5.023345872070573e-06 -1.085316539439967e-06 5.9367148291793065e-06 -5.7128371104697635e-06 -2.587383604897051e-06 -5.6449339217917866e-06 5.549446255324085e-06 -8.804905813065987e-06 -5.948849347841614e-06 5.575902868364377e-06 -4.608488717822049e-06 -2.7619480267754368e-06 9.363940549157453e-06 5.3549288212134045e-06 1.8667108373002682e-06 -1.3243156108281361e-06 2.6669062470471837e-06 -1.659179296120232e-05 -1.0155929045509552e-08
age -4.540926399547427e-06 3.0214318880728487e-07 6.64197222243295e-05 0.0009789262073128073 -6.531271056773988e-05 -1.3368960268293688e-06 8.415705405533312e-09 1.3224801982773376e-06 -8.337923626588212e-09 -6.973478341583954e-07 2.074312799976412e-05 -6.707075918809072e-06 3.884178371160233e-06 7.382724842884347e-05 -2.7140554841365653e-05 1.4648752380872093e-05 -2.492299028175147e-05 9.447805785637182e-06 1.337838208111226e-05 -1.1112535230284824e-05 -1.565031269172459e-05 -8.39041530692021e-06 -4.923476145392936e-05 -1.704796354759514e-05 3.320384677926749e-05 -1.0670237951102e-05 -2.400547398964703e-05 -2.836349977731701e-05 2.9137082202773047e-05 4.867785453929625e-08
sex -3.4803221255067895e-05 1.323259716792976e-06 0.000978926207311025 0.025588374133490157 -0.0016714506779130847 -1.9355143066722704e-05 1.199556053818033e-07 3.338457580179681e-05 -2.0829627349317563e-07 7.542601921067707e-05 0.0003478882166633723 0.0005982794680080167 0.0001615772338147953 0.00025801396445894736 -0.0002964913615721338 0.00048220616581623823 -0.0005681821670819938 7.596538533561271e-05 0.000271782488506998 -0.0005127922055488033 4.225059979386079e-05 -0.00025758338858891655 -6.445089550067869e-05 -0.00034901176680215035 0.0002464674351609981 0.0005492848288360425 0.0002748326415974669 -0.00011639045180154605 8.569831330083999e-05 2.167959290841743e-06
age_sex 2.239633026484808e-06 -9.753376083512709e-08 -6.531271056761618e-05 -0.0016714506779130312 0.0001125707784165652 1.3210494389298047e-06 -8.332786824393789e-09 -2.299039440660065e-06 1.459438402651861e-08 -8.483574423259021e-06 -7.6882725440741e-06 -2.405378222229306e-05 -7.83798474888056e-06 -1.3856780637927636e-05 1.2080883079684852e-05 -3.4630757483877515e-05 2.592406917933733e-05 -4.946783409852502e-06 -2.1811072232658513e-05 3.3421760380729177e-05 9.778930955402036e-07 1.1381398992504991e-05 4.525247080255511e-06 3.3136924406183046e-05 -1.4552497868177753e-05 -4.0538231277783414e-05 -1.663547696950042e-05 1.8302602697212906e-05 -2.3457707204237634e-05 -2.1682457003707208e-07
age2 8.77784749898897e-08 -2.1187440347576575e-09 -1.3368960268293467e-06 -1.9355143066758696e-05 1.3210494389322963e-06 2.7553464774500207e-08 -1.7661016182356189e-10 -2.728419130395966e-08 1.749781980371287e-10 5.285544804503992e-08 2.46804216748275e-07 3.905682443960254e-07 2.486224903241716e-08 -1.179424476096072e-06 2.2893949997879005e-07 -3.7263192491491127e-07 2.0753389017090444e-07 -8.71698532119541e-08 -5.270676554402457e-07 2.42100545533262e-08 3.64817623357852e-07 -3.856107739393818e-08 1.0970870305171016e-06 7.451949050510824e-07 -5.122600363085385e-07 2.7385116829020993e-07 4.798498695011054e-07 6.720985119495483e-07 -1.3709225452489167e-06 -1.7889314446068326e-09
age3 -4.856800187286165e-10 3.323552269846984e-12 8.415705405533068e-09 1.1995560538203067e-07 -8.332786824409538e-09 -1.766101618235596e-10 1.1498148488197263e-12 1.7495417732623895e-10 -1.1391017366835227e-12 -9.50630537098679e-10 -3.3183222332697502e-09 -4.479412879520167e-09 -5.799769362834912e-10 7.50782781023159e-09 -8.629963115264086e-10 2.318616254394062e-09 -7.730314848606965e-10 6.989813369100235e-10 3.063217114651249e-09 2.3023798721549338e-10 -2.039268725047251e-09 7.254189711568611e-10 -7.909975598529754e-09 -6.241115343258268e-09 3.3063794625274135e-09 -1.7633217020675627e-09 -2.9745337614781753e-09 -4.564002125165108e-09 1.1204906215249225e-08 1.5193053035904808e-11
age2_sex -4.46096343036242e-08 1.2971254641558916e-09 1.322480198274758e-06 3.3384575801794846e-05 -2.299039440660005e-06 -2.728419130390769e-08 1.7495417732591043e-10 4.7856769248444834e-08 -3.087981384427938e-10 2.105355761747471e-07 -5.54886756280791e-08 2.1315082091781974e-07 1.1232300283338227e-07 2.329196531387166e-07 -1.3718668875870263e-07 7.484041663860478e-07 -3.905865064919682e-07 8.54133073034225e-08 5.043863194121299e-07 -5.768951090671919e-07 -7.625987180811621e-08 -1.2058476309829426e-07 -1.4859355956640564e-07 -8.062490064300285e-07 3.4656371767053017e-07 8.738286484814989e-07 3.253701922461461e-07 -5.877544298597554e-07 7.227839798142179e-07 5.253966040153788e-09
age3_sex 2.8067736431888796e-10 -3.2774791174933793e-12 -8.337923626571723e-09 -2.0829627349315863e-07 1.4594384026517954e-08 1.7497819803679385e-10 -1.1391017366814059e-12 -3.0879813844278824e-10 2.0228260590205523e-12 -1.2109768955706829e-09 1.38524375903697e-09 1.5488145790103142e-10 -5.477990126908277e-10 -1.39539793027132e-09 3.6859340368696693e-10 -4.897250565055046e-09 1.962733692516702e-09 -3.165165467852627e-10 -3.4461978220265716e-09 2.728844184083727e-09 8.033764673541012e-10 3.896668512906113e-11 1.3431141588704936e-09 5.670382899552706e-09 -2.752683075359808e-09 -5.708164453496479e-09 -1.9528583879128635e-09 4.858956634526123e-09 -5.762044740257036e-09 -3.8106983524988905e-11
PC_3 1.0379565841121373e-06 -6.652841299603005e-07 -6.973478341675827e-07 7.542601921059405e-05 -8.483574423253932e-06 5.2855448045224885e-08 -9.506305370998404e-10 2.105355761746528e-07 -1.2109768955701367e-09 0.04002916769506526 0.002320035273744427 -0.0033311529182308073 0.0027281051553072868 -0.008423975927555541 0.0022638941371126947 0.0013825553217520197 -0.008177022636614777 0.0018337063002858327 -0.008453338074301013 -0.00022754835483231438 0.014587922276351303 0.0030608723479781277 -0.0035989735294560997 -0.0185981349598891 0.0034436140371034 0.0006012799406055404 0.002267485581681467 -0.0017555662450369598 0.007863350998722457 3.785861546952252e-06
