 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.8019306089971218e-05 1.8543782571366197e-07 -4.539833629838646e-06 -3.477143162255236e-05 2.236268714535733e-06 8.774778524151293e-08 -4.854580895225106e-10 -4.453430112995043e-08 2.801983848405643e-10 1.0466079068708057e-06 3.751020534606123e-05 -0.0001574137082633179 2.0083145965209077e-05 0.00022770285519901776 -8.714993106256474e-05 9.185799003670924e-06 -0.00013334984892856034 6.885398938964594e-05 -0.0002550637913559536 -9.875176616052913e-05 -4.320938929762007e-06 -0.00012400130635944359 1.9542013613914975e-05 -0.00012376559320669163 0.00011590688313856137 7.28097584884893e-05 -1.0008290726003186e-05 -7.65001658758884e-05 2.4857744584771107e-05 -2.1924837895986327e-07 5.388454919638646e-07 -5.293064077396892e-08
yob 1.8543782571367669e-07 1.3125175544837602e-07 3.0197215864021396e-07 1.32050647810808e-06 -9.738574427284245e-08 -2.1152138516316114e-09 3.3003504367510688e-12 1.2942846581160342e-09 -3.2591640993764447e-12 -6.665779432423754e-07 1.0690945198569164e-05 -5.018671907020496e-06 -1.074398843254239e-06 5.9235006436648175e-06 -5.736483549872855e-06 -2.6088367043019288e-06 -5.652018782386943e-06 5.545112939032628e-06 -8.816891242101817e-06 -5.9728276921354404e-06 5.5850472607902654e-06 -4.601839870407297e-06 -2.7477780685659936e-06 9.349909019395592e-06 5.355313948792823e-06 1.8646976958660153e-06 -1.2737005148924004e-06 2.6524515927800493e-06 -1.657305537318181e-05 1.0340416232632516e-09 2.0113658541955446e-09 -2.6364273392390294e-08
age -4.539833629826427e-06 3.0197215864128567e-07 6.642091561448431e-05 0.000978948154476991 -6.531402519647582e-05 -1.3369223144895866e-06 8.415885419956654e-09 1.322506284207374e-06 -8.338091420595083e-09 -6.794465326754207e-07 2.0489934016531686e-05 -6.67542764713307e-06 3.723578582670746e-06 7.406491591108211e-05 -2.6717373729628247e-05 1.4997971054667491e-05 -2.4728890161904435e-05 9.542868364019249e-06 1.3540254299220825e-05 -1.073325043268988e-05 -1.5648445810262353e-05 -8.544830678693469e-06 -4.947511998829383e-05 -1.677650812855458e-05 3.314699207433435e-05 -1.0652277129804672e-05 -2.4636483349112087e-05 -2.81632718294536e-05 2.873334251471074e-05 -1.5283985418522645e-07 1.1934770699723244e-07 3.188042716529294e-07
sex -3.477143162241082e-05 1.3205064781260242e-06 0.0009789481544765306 0.025588611858884454 -0.001671467404695142 -1.9355656148486066e-05 1.1995921532472073e-07 3.3384926595898314e-05 -2.0829856390802335e-07 7.573645098720435e-05 0.00034328902528484273 0.000599540965257102 0.0001586925021758508 0.00026257227159829424 -0.0002884140310847478 0.0004886481715609275 -0.0005640228469574854 7.786838708269288e-05 0.00027448864367812104 -0.000505885688242505 4.3323407987642184e-05 -0.00026073164238072174 -6.897658291599646e-05 -0.0003437509995692305 0.00024508324613658843 0.0005495126408438407 0.00026446871131952717 -0.00011293106013606908 7.764980168366607e-05 -1.6800955409782698e-06 3.2361500429381935e-06 5.128027172800306e-06
age_sex 2.2362687145188038e-06 -9.73857442737256e-08 -6.531402519645283e-05 -0.0016714674046953578 0.00011257221609088281 1.3210816665090017e-06 -8.333015925446037e-09 -2.299070018576782e-06 1.4594575831939505e-08 -8.503690768768787e-06 -7.377910136408561e-06 -2.4216446296156735e-05 -7.646383387405376e-06 -1.4192714709568345e-05 1.1489593340165184e-05 -3.508153563523153e-05 2.5575189367416274e-05 -5.095305425185701e-06 -2.1972973940578603e-05 3.294845688485184e-05 7.935325352774306e-07 1.1635402985129148e-05 4.849684485551207e-06 3.27395448109203e-05 -1.4420152688590344e-05 -4.054404510352215e-05 -1.6049202694608668e-05 1.8086933441187856e-05 -2.2825646979633553e-05 6.56497120683805e-08 -3.3468877558404504e-07 -2.79026704316378e-07
age2 8.774778524165748e-08 -2.115213851642974e-09 -1.3369223144897501e-06 -1.9355656148499443e-05 1.3210816665097384e-06 2.755404347778382e-08 -1.766140903479517e-10 -2.728483015605977e-08 1.749822256607256e-10 5.246488499221544e-08 2.52338973695697e-07 3.894392989625778e-07 2.8357522054395842e-08 -1.1847640856451396e-06 2.1943891432215256e-07 -3.803470677845333e-07 2.0290865009943122e-07 -8.935315346007823e-08 -5.304828497419309e-07 1.5894289600688148e-08 3.6414220038867993e-07 -3.495518294236829e-08 1.102434863124267e-06 7.39025622141781e-07 -5.10797852488003e-07 2.735111358702709e-07 4.929827104261533e-07 6.678299992858583e-07 -1.3616090014092249e-06 2.737521564616536e-09 -3.2598068027774276e-09 -6.58020556562978e-09
age3 -4.854580895233571e-10 3.3003504368388073e-12 8.415885419958598e-09 1.1995921532482616e-07 -8.33301592545213e-09 -1.766140903479699e-10 1.1498412168419687e-12 1.749586845065483e-10 -1.1391297266876622e-12 -9.479922227830387e-10 -3.3555212650431025e-09 -4.4707196492969535e-09 -6.034195216238778e-10 7.543967380566145e-09 -7.985702888791247e-10 2.3706423409390333e-09 -7.41024372824482e-10 7.138768307595698e-10 3.0858993027973793e-09 2.8616258362788656e-10 -2.033186272798867e-09 7.00657306632167e-10 -7.94609361915988e-09 -6.1991013295114996e-09 3.2959862508949213e-09 -1.7611728603835454e-09 -3.0611048561265004e-09 -4.535592773451109e-09 1.1141169925136988e-08 -1.550109000735168e-11 2.347624745541258e-11 4.32453896377329e-11
age2_sex -4.453430112985837e-08 1.2942846581282818e-09 1.32250628420706e-06 3.338492659590704e-05 -2.299070018577071e-06 -2.7284830156047965e-08 1.7495868450644386e-10 4.785740552247349e-08 -3.088019972113217e-10 2.109466136673747e-07 -6.187884831536682e-08 2.1689138260908187e-07 1.0839270485516951e-07 2.399761736271383e-07 -1.2478307439064052e-07 7.57767814885729e-07 -3.830622032762775e-07 8.857400032823073e-08 5.0761869054748e-07 -5.671132195596978e-07 -7.190692390341904e-08 -1.2602504499205792e-07 -1.553694490786263e-07 -7.978542743905611e-07 3.4363513267970857e-07 8.739071923900829e-07 3.138613574222274e-07 -5.833964849328434e-07 7.093230518608989e-07 -6.762698246460012e-10 7.469224851860417e-09 5.4137666904659e-09
age3_sex 2.8019838484351637e-10 -3.25916409944339e-12 -8.338091420593923e-09 -2.082985639081021e-07 1.4594575831942969e-08 1.74982225660669e-10 -1.1391297266871153e-12 -3.0880199721135575e-10 2.0228485687551115e-12 -1.2136413080344536e-09 1.4263354428085774e-09 1.3113114398739514e-10 -5.22499870926249e-10 -1.4406352425101594e-09 2.8903999604403045e-10 -4.957427923729432e-09 1.9146372168535414e-09 -3.3677582605027377e-10 -3.467103318342859e-09 2.665968254400621e-09 7.758798164881017e-10 7.37996611404973e-11 1.3866100312556233e-09 5.616578455969068e-09 -2.7339493157571896e-09 -5.708762579497524e-09 -1.8783369571840973e-09 4.830814059413113e-09 -5.67583007110094e-09 -6.647301564319961e-14 -4.750838921210385e-11 -3.513258760938086e-11
PC_3 1.0466079068724939e-06 -6.665779432423686e-07 -6.794465326895669e-07 7.573645098705585e-05 -8.50369076875722e-06 5.246488499252724e-08 -9.479922227851495e-10 2.1094661366710683e-07 -1.213641308032562e-09 0.04003090390400079 0.0023182494285574075 -0.003330970871088827 0.0027269740062578545 -0.00842235260982624 0.0022671125534812443 0.001385153763878525 -0.008175609983084564 0.001834369432874379 -0.008452202298013405 -0.0002247187727511989 0.014588117087871466 0.0030598264690456295 -0.0036007874861912707 -0.018596417915596703 0.003443150299958479 0.0006013876191282934 0.002263044611613434 -0.0017542569142148187 0.007860310546612416 2.3078839380045824e-06 9.265388691727776e-07 2.286972750578396e-06
