 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0004583876905544842 -1.0861779324813805e-06 6.566975414340422e-05 0.00011405870073741078 -2.2749008111252726e-05 -2.542540422950244e-06 2.796211215057467e-08 1.0042233763571465e-06 -1.2062890149841506e-08 -0.0001696192841360586 1.9434744353332746e-05 -0.0002901061440160227 1.4697196943674415e-05 0.00043538069082472893 -0.0006417634932206777 -0.00024878070577565833 -6.099336630011026e-06 -0.0001585280623520542 -8.026158058521502e-05 0.00016714512739273975 -0.00021445522372450955 -0.00014098397144382755 -0.00014672180881791173 -0.0002566938882462348 -0.00038864556232921506 0.00010301693401095966 -0.00046806799718407806 9.281649818355084e-05 0.0009106711421407503 1.0266274865482853e-06 -1.652107435023134e-06 1.614113513169799e-06 -2.09134053216065e-06
yob -1.0861779324807387e-06 5.639956582211079e-07 5.465879545515473e-07 3.804850624587952e-06 -4.781840187372291e-07 -4.576057194959158e-09 4.653847456968513e-11 1.2886602915979732e-08 -9.850188558288845e-11 2.223794638189962e-06 9.758537001385641e-05 1.8608775094072037e-05 -5.4219226240611874e-05 5.695564113517701e-06 -4.668635300936589e-05 -4.037737910936292e-06 -2.4840751732034757e-05 4.835410147675099e-05 4.403294922526406e-06 -5.485883798893712e-05 3.536385598445144e-05 -3.506612667537788e-05 -7.085196926289409e-06 5.700574618093766e-05 3.463764144770817e-05 -1.4492117890210299e-05 -1.4014588498722347e-06 3.8627182059109434e-05 -9.232211276395662e-05 -5.9133025498829034e-08 4.4817977672050936e-08 -1.433490922404304e-07 -1.6090484813363304e-08
age 6.56697541434827e-05 5.465879545507618e-07 6.093333294561767e-05 0.0005092127285662041 -5.925596341046087e-05 -1.865904749156134e-06 1.674611758548857e-08 1.830202868100671e-06 -1.6432617711518567e-08 -1.5404845617179876e-05 7.680942652645794e-05 -5.711332813527243e-05 -2.3205428470474797e-05 -9.145013233210042e-05 3.2884022607062792e-06 -7.463441593875896e-05 -4.252927845936716e-05 -6.848137255709665e-05 4.125361245456671e-05 -9.247175415264175e-05 4.8366680474752966e-05 -3.106822077788939e-05 -1.822511906170767e-05 8.175254935262784e-05 0.00010166484023305689 -0.00014573386064698691 -0.00012628744736749452 0.00011049923767984826 -2.5583332844048234e-05 -7.194277520750149e-08 1.0168884807740866e-07 2.1634370678314812e-06 -2.0411837909710626e-06
sex 0.00011405870073838076 3.804850624585656e-06 0.0005092127285664564 0.008505416277932987 -0.0008424195099463024 -1.4659275509623716e-05 1.2626485348611557e-07 2.390271415832623e-05 -2.0372350025388086e-07 -0.00018475958406732974 5.097782718863474e-05 -0.00037301227715957327 -0.00013301001280679935 -0.0012078927881449353 0.00034924151495194624 -0.0004383153921581883 0.0001496981417687609 -0.0014197922052514769 0.00018877517819138002 -0.0005228428990747317 -0.0003445498251272414 -0.0007014775335654606 -0.0003233594835264459 0.0006873819203014807 0.0006140065368447951 -0.001556234492807725 -0.0013382279470831077 0.00034722997414951784 -0.0016902555905304085 -3.4234527946049065e-06 -3.8308062067362485e-07 2.3495771018493843e-05 -1.2228875317163902e-05
age_sex -2.274900811135933e-05 -4.781840187368579e-07 -5.9255963410486466e-05 -0.000842419509946281 9.383641740730595e-05 1.824145238039274e-06 -1.6408313936416623e-08 -2.845731172673907e-06 2.5330332933696987e-08 1.4832139639199507e-05 -3.601520670249024e-05 3.833587067928689e-05 -2.2866135560255684e-06 0.00010936624872793188 -5.4350172165430356e-05 6.717237615782296e-05 1.6757305788908672e-05 0.00017761114950138023 -8.212807682704372e-05 9.089692787873567e-05 3.9046994302902354e-05 6.986726272709792e-05 3.1224409753575916e-05 -7.835291592494565e-05 -7.399892501037242e-05 0.00016873231580359478 0.0001672275251828652 -6.340232140680051e-05 0.0001774862460647033 4.957337513730769e-07 -7.29901979934548e-07 -1.7768414764901614e-06 2.027672158563232e-06
age2 -2.542540422952411e-06 -4.5760571949609836e-09 -1.8659047491560325e-06 -1.465927550961496e-05 1.824145238038363e-06 6.034219594261552e-08 -5.616187298723053e-10 -5.920692810341601e-08 5.515529217393205e-10 3.0245130067226974e-07 -5.775285559915512e-07 2.1275703818973833e-06 -9.456983410473899e-07 3.9942055227717895e-06 -1.662702436646775e-06 2.6807552229307543e-06 6.269469758488214e-07 3.164701574859606e-06 -2.668439105835415e-06 2.3516566726119773e-06 -1.2912167210184785e-06 4.923350077032753e-07 2.5996934817570897e-07 -1.8799507396905533e-06 -2.4746201768033467e-06 3.668960632256969e-06 3.2246191917471003e-06 -4.567753827095519e-06 3.73875067918101e-08 1.6631919519900761e-09 -1.200538509231541e-08 -5.2475304718799474e-08 6.37766087956517e-08
age3 2.7962112150593096e-08 4.653847456974619e-11 1.6746117585486743e-08 1.2626485348602803e-07 -1.640831393640746e-08 -5.616187298722754e-10 5.385807897927491e-12 5.52091817084324e-10 -5.297594713368707e-12 -2.5219691910028043e-09 1.0847767099133147e-08 -1.9036346753703873e-08 8.58813851717007e-09 -3.7026708881735276e-08 1.1365303621835641e-08 -3.021632945329589e-08 -5.973998120087257e-09 -2.7094699187356973e-08 3.2904087003516304e-08 -2.5947591180755352e-08 1.2025876682511703e-08 -5.7296180789497e-09 -3.2324278581673286e-09 2.1148775446734954e-08 2.2050344608820485e-08 -2.8734908891556284e-08 -2.838631596731141e-08 5.424459005315452e-08 -6.29056479734563e-09 -1.5749974540148877e-11 1.388948365255359e-10 3.943692380858454e-10 -5.727456007775362e-10
age2_sex 1.0042233763602924e-06 1.2886602915985e-08 1.8302028681013923e-06 2.390271415832477e-05 -2.8457311726738326e-06 -5.920692810344174e-08 5.52091817084585e-10 9.051638689978604e-08 -8.345749877606266e-10 -4.263853155267514e-07 1.7950463631492113e-06 -9.523815686943289e-07 3.5881806534090906e-07 -3.160305531208105e-06 1.7030450769703888e-06 -2.560659024814834e-06 -1.2313537921166255e-06 -5.48922757888423e-06 3.5609532707772133e-06 -3.0981786342386084e-06 -1.2725485320119306e-06 -1.6140341558411823e-06 -1.1204089199794483e-06 2.8666941433689634e-06 2.589652039902545e-06 -5.119324568168844e-06 -5.439465019845677e-06 2.9216039604103664e-06 -5.518306959262195e-06 -1.905298765720374e-08 3.394421147546221e-08 4.1804108318614775e-08 -6.926089513245548e-08
age3_sex -1.206289014986959e-08 -9.850188558284624e-11 -1.6432617711524368e-08 -2.0372350025386418e-07 2.5330332933695756e-08 5.515529217395332e-10 -5.297594713370891e-12 -8.345749877606086e-10 7.919903051775263e-12 4.104381728128048e-09 -1.814553790618659e-08 7.417381171210664e-09 -4.480238482659205e-09 2.7081250341819256e-08 -1.3566732875994995e-08 2.902706362228689e-08 1.5605844168272767e-08 4.959535718312621e-08 -3.914752790226576e-08 3.1400679764625136e-08 1.554360692220629e-08 9.638237891969667e-09 1.1802097622781653e-08 -2.887302874864469e-08 -2.5631658296868717e-08 4.317064237611184e-08 5.055804148319636e-08 -3.500518622292414e-08 4.953056690882355e-08 1.8271122508788139e-10 -3.381533907589771e-10 -3.2078674916700357e-10 6.351785754634005e-10
PC_3 -0.00016961928413609362 2.2237946381898714e-06 -1.5404845617200957e-05 -0.00018475958406751017 1.4832139639222067e-05 3.024513006729777e-07 -2.521969191009607e-09 -4.2638531552749564e-07 4.104381728135078e-09 0.1182505241624124 -0.004052283444937323 -0.00011860833463888609 0.010941294948328037 -0.0022395231706475198 0.01276968479955406 0.011011397619787462 -0.020482468571098204 -0.015441693123070933 -0.009853001358286427 0.0252351371143475 0.01062608531351028 0.027032917517926292 -0.01360448581763994 -0.04936583051974605 -0.01416892808191418 -0.012290382107872134 0.017791710685462758 -0.013907295178699777 0.04045920406396924 -1.5713251023133108e-06 -1.6972949389240163e-05 3.903479263285969e-05 -5.9791805280933625e-06
