 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.00874247145493018 -8.766471742916327e-06 0.0013015671089690144 -0.001603666131132911 6.5934913416076e-05 -4.463914921044835e-05 4.6410979964378337e-07 4.57001117501926e-07 -2.313359799590324e-08 -0.002426991955603648 -0.00010480939507160372 -0.000844672479243566 0.0007083156124927401 0.0002179039123946776 0.0007249237276749328 0.006003816719094107 -0.0006267212493091908 -0.0011293882073343683 -0.0029898789990719233 0.0004515391238225982 -0.004044748402523406 -0.0024390151805499605 -0.007233033119415249 -0.0016119266184610817 -0.002886735423075219 -0.004016347574170572 -0.00439077279647755 0.005066019965719722 0.006271964481123057 -2.2960289223928638e-05 7.68261441488695e-06 -4.9100236006158275e-05 -3.341156280104665e-05 2.0327251266384368e-05 -4.599484997716109e-05 9.009950982256531e-05
yob -8.766471742930943e-06 2.0038869616229326e-06 3.5208635181970345e-07 6.678498364158968e-06 -1.0405141667023754e-06 3.5368150442942126e-08 -3.7741874775258273e-10 2.5036975826019393e-08 -1.451973039142256e-10 1.5805525159588808e-05 0.0003344778045499689 6.355152400878076e-05 -0.00024292023690139248 0.0001168574948315631 -0.00028896204502861585 -4.8534700395101915e-05 -0.00012473837398116542 0.0002465698285036729 -8.01965368598089e-05 -0.00019786507142471828 0.0001498049705688468 -0.0001360618921765465 -4.510612784511219e-05 0.00013544259486147371 9.804832647214976e-05 -4.155299178987417e-05 -7.178065600846449e-05 2.5360487286132625e-05 -0.00026219861139983316 4.6518848840418895e-07 -1.816807087893935e-06 -2.775956378250743e-07 1.7037916159064672e-06 1.6522614819454437e-06 -4.880910621057443e-07 6.256250900669448e-07
age 0.0013015671089553395 3.5208635185149043e-07 0.0008417840937526634 0.00867602718439037 -0.0008374225155632612 -2.475871382217437e-05 2.2530193995299603e-07 2.46275257062288e-05 -2.2407791937341233e-07 -0.0002869276443990569 0.00020976944605006034 -0.0006465534250736795 0.0005458245034145756 -3.8037426334438586e-05 0.0010127944276006639 0.0009788714475924142 -0.0009632414477458121 -0.0001624851412789 0.0013554468697911453 -0.0007640160028418746 -0.0004086795922772949 -0.00048320998278877193 -0.0009030017124074854 -0.0004818841181679972 -0.00034403747477931027 -0.0012208929148616887 -0.001618787700092087 0.0003835834671680566 0.0016629432539773013 -3.682138067808605e-06 -1.7799344842678145e-05 -1.942700041176839e-06 -2.467022467631584e-05 3.901582299943063e-05 -2.0455369359093485e-05 -2.3530466986664083e-09
sex -0.0016036661314113407 6.678498364429133e-06 0.008676027184309735 0.20065135771702658 -0.018125839243310113 -0.00024599298451657677 2.176654927794002e-06 0.0005073834182132196 -4.4493994307562e-06 0.00251764943132752 0.0077397551752688394 -0.007309275589350888 0.005646109049447393 -0.0017607752530800862 0.0032523075189452794 0.004886437604759084 -0.01439391977375016 0.00026952166698027597 0.025801330045974586 -0.019098027793205977 0.0010354341264954678 -0.011952814688634194 -0.011163525804301628 -0.030025176580026063 -0.01690215462357957 -0.01377216755663149 0.01459620941805482 0.002813344250821239 0.011406044024541205 0.000100155995877068 -0.00021438134746241545 0.00013100120038782865 -0.0003728192836352357 0.00044076380446331524 -0.0002637380100095657 -0.00027263381519388195
age_sex 6.593491344296772e-05 -1.0405141667176505e-06 -0.0008374225155557659 -0.018125839243316778 0.0017047816718453726 2.4621048911905898e-05 -2.2413199585942022e-07 -4.928129905491687e-05 4.4333023771776015e-07 -0.0002215494870656383 -0.0008441148740046677 0.00043348445512878767 -0.00031394343412098743 0.00025264580119745 -0.00038700441155616874 -0.0005947092646836388 0.001418349190879263 0.00018387354551601797 -0.002285916333120784 0.001662843074379946 -0.000301131586598321 0.0009822220078092158 0.0010145999858226073 0.0028263784517461392 0.0016310894194288329 0.0018624133204958972 -0.0012602479454938188 -0.0004594896828616521 -0.0011622201695023935 -8.311941494125734e-06 2.417275514708345e-05 -1.4130052474586515e-05 2.936196252502378e-05 -4.1595493954057016e-05 2.609919942386657e-05 2.576105966122498e-05
age2 -4.463914921004536e-05 3.536815044310049e-08 -2.4758713822176653e-05 -0.00024599298451907027 2.4621048912137585e-05 7.528287802731894e-07 -7.032048271577405e-09 -7.474821312670689e-07 6.981132158144325e-09 8.270916368844933e-06 -1.8507567746029793e-06 1.642014174537117e-05 -1.9695537700660842e-05 1.0611306321863954e-05 -3.571639630505174e-05 -3.293225513448434e-05 2.1084445694154634e-05 8.786137095096426e-06 -4.1386264681185775e-05 1.5998843668429505e-05 1.4601059936333918e-05 9.715265999527483e-06 2.9206733779142812e-05 1.7339714287656425e-05 2.2223034943432666e-05 4.64238706298711e-05 3.594268140918439e-05 -2.4750462265564276e-05 -5.0463680305731096e-05 1.1374870526586647e-07 4.844904020262613e-07 8.395900414584497e-09 6.851408278359202e-07 -1.0627692846329415e-06 7.371761768118942e-07 -6.585263707801673e-08
age3 4.641097996399715e-07 -3.7741874774654225e-10 2.2530193995303568e-07 2.176654927817542e-06 -2.2413199586160998e-07 -7.032048271577855e-09 6.717409923952689e-11 6.982768600643153e-09 -6.668964073260518e-11 -7.530960082095334e-08 5.315669145650727e-08 -1.2782420535832e-07 1.620050275301193e-07 -1.3189330284766405e-07 3.1493917341773516e-07 3.3513472761634533e-07 -1.5671818454907804e-07 -6.007432914986594e-08 3.614073562702349e-07 -1.3545273269818525e-07 -1.3725981822394027e-07 -8.380854963753044e-08 -3.2266474404666464e-07 -1.748703267326271e-07 -2.7263104069773544e-07 -5.097875331452495e-07 -2.5853119269168097e-07 3.278145632038298e-07 4.6386418352178834e-07 -1.0092806170807613e-09 -4.3420943307191185e-09 3.3852828106656235e-10 -5.5761985110547215e-09 9.113454419007128e-09 -7.638119494446487e-09 8.067786906127966e-10
age2_sex 4.570011167056708e-07 2.5036975826476146e-08 2.4627525706013904e-05 0.000507383418213567 -4.928129905493146e-05 -7.474821312604225e-07 6.982768600580308e-09 1.4655876088721754e-06 -1.3500337034501741e-08 6.0532629506938e-06 2.7921616162335302e-05 -7.604695668313594e-06 6.368784323399513e-06 -1.0349163805717903e-05 1.4321607765567556e-05 2.0771521704752612e-05 -4.005762981385671e-05 -7.206943342316298e-06 6.352299478899569e-05 -4.502772884340634e-05 1.1785742442970365e-05 -2.2355862538066224e-05 -2.818415034025566e-05 -7.972102364346259e-05 -4.972003906578533e-05 -6.777315253191733e-05 3.601563814674142e-05 1.852975059500266e-05 3.781274665520951e-05 2.2880864369830158e-07 -8.182147275789526e-07 4.792257528986969e-07 -6.597921771630593e-07 1.194104665757135e-06 -7.874978476230917e-07 -7.934563991879426e-07
age3_sex -2.3133597988725133e-08 -1.4519730390806148e-10 -2.2407791937147874e-07 -4.449399430760426e-06 4.433302377179941e-07 6.981132158084458e-09 -6.668964073203872e-11 -1.3500337034504688e-08 1.2698986522572602e-10 -5.653296788705384e-08 -2.7535315033751635e-07 4.381611909056237e-08 -5.463890163900834e-08 1.2496718289668844e-07 -1.5470989677359025e-07 -2.0937683917165065e-07 3.3811773857768135e-07 5.877293410936982e-08 -5.590576536666752e-07 3.90057966848258e-07 -1.1766244268391275e-07 1.52223900476183e-07 2.466063005119288e-07 7.022414677724478e-07 4.7307864202754535e-07 6.971836417051124e-07 -3.360244616655552e-07 -2.2430163115920554e-07 -4.041841464841709e-07 -1.934177262440404e-09 8.190419033305675e-09 -5.108730744348021e-09 4.494278697337915e-09 -1.0642889179914687e-08 7.449213559499614e-09 7.777530498899244e-09
PC_3 -0.0024269919556070647 1.5805525159587805e-05 -0.00028692764440274126 0.0025176494312717326 -0.00022154948706015683 8.270916368957168e-06 -7.530960082200483e-08 6.053262950529032e-06 -5.653296788552368e-08 0.449509495025598 -0.06480202894077026 0.019855415225504273 0.06920967379717723 0.02203833245367624 0.013339851253811619 0.035019776499244676 -0.08754547581311992 -0.04960404285552353 -0.03749500528021375 0.09296380314787989 0.018052278880123895 0.1333407147864971 0.027791617964782557 -0.2631049845891689 -0.07629200716922795 -0.022204540776097542 0.06980603825191402 -0.08874844803984393 0.18364622345735557 0.00011907014004092612 0.0003174316469060974 -0.0006487047603195092 0.000134254634325624 0.00045049224507316064 0.0010596164144180708 0.0008909278840690636
