 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 2.8504915737288563e-05 3.957369001783054e-07 1.5663145248260461e-06 -3.5244291606324995e-08 2.5369319970180637e-10 8.341035672805952e-05 -0.00012219761540217697 -2.9944361623939323e-06 -0.00012059979307497332 2.24106702835959e-05 -0.00014512632329657883 0.00020205670265338534 -0.00012596669230983395 -1.8347302849253764e-05 -0.00021177802073964368 3.4889277360096124e-05 -4.065460766170619e-05 -0.00015504066281552757 -4.1914371954572495e-05 -8.38931925723686e-05 -1.2201052508927611e-05 1.1829092760340492e-05 -9.30989141791927e-05 -0.0001514236830375349 0.0001503965449403367 -1.2027382734774146e-06 -2.2685675275810106e-06 3.256221108227923e-06 3.947730220645112e-06
yob 3.957369001782934e-07 3.102658062267323e-07 1.6024156073816585e-07 2.2101918360939656e-09 -1.6405417124999665e-11 3.7423520634675167e-06 2.323342111432551e-05 1.0139998658418772e-05 -2.456208321985115e-05 -1.766429622756596e-05 -5.0505862860398775e-06 4.387633979438023e-06 -1.3542524994767088e-05 1.758611828397212e-05 -1.1671134388617632e-05 -2.0889103387240012e-05 2.652987783180723e-05 -2.000253985751186e-05 -8.82588757627093e-06 3.0428882883112167e-05 1.156149161766529e-05 8.746099446453681e-07 -4.848301179262005e-06 1.8523257811861515e-05 -4.007164192603057e-05 7.002773669970295e-08 5.55210848927536e-08 -3.306046962620305e-08 4.339687250357827e-08
age 1.5663145248215365e-06 1.6024156073805631e-07 1.7385907566517097e-05 -3.672685190927811e-07 2.3722705411913957e-09 1.6004781350713585e-06 -1.4231825069656859e-05 6.315851137945597e-06 -3.1969851957244646e-05 1.3243200854382937e-05 -1.4287350199623153e-05 -2.1282818220496128e-06 -3.461560544620172e-05 1.9013893461111725e-05 2.516583641529536e-05 2.478407724463199e-05 -7.179579766392484e-07 2.448892892661478e-05 -2.228578735972659e-05 3.082155152493203e-05 1.0679144822750825e-05 -3.422471792262327e-05 2.114344226999827e-05 1.9156557794338714e-05 3.698710880112328e-05 -1.40935057929973e-07 -7.550206768948621e-08 7.02843939783738e-07 2.3129314252736678e-07
age2 -3.524429160626679e-08 2.2101918360964893e-09 -3.672685190927778e-07 8.163268108826343e-09 -5.42850624443098e-11 1.652129430489851e-07 1.0737196978993457e-06 1.9174392131952086e-08 1.9850327321405888e-07 -2.8460491910556174e-07 2.7203704574613123e-07 -7.675289775462071e-08 3.057321827511987e-07 1.4745714819306196e-08 -8.292652208336396e-07 -8.668535907164137e-07 4.345615797942469e-07 -7.293353248475484e-07 4.205409333291863e-07 -9.020958993446748e-08 3.0616564322397443e-07 7.652027362937925e-07 -5.153726367759876e-07 -3.162323516821304e-07 -1.652628365369748e-06 4.385167810714122e-09 4.147970663138062e-09 -1.5731276200126776e-08 -5.249393135277126e-09
age3 2.5369319970139707e-10 -1.6405417125017783e-11 2.372270541191361e-09 -5.428506244430959e-11 3.6940510579933686e-13 -2.131244213899494e-09 -7.825776777928894e-09 1.4674132842503393e-10 -1.5997175652084178e-09 1.8086271342660883e-09 -2.802088718979465e-09 1.4563231517925787e-09 -1.0965935184300265e-09 -7.696292997814052e-10 4.941794124101767e-09 5.461891006400224e-09 -2.9371903548405906e-09 4.063154025690542e-09 -3.78084091206781e-09 -6.373938057602605e-11 -3.954771369210998e-09 -5.222951196116131e-09 2.8977678437766712e-09 2.516335914417098e-09 1.2351424880161993e-08 -3.071238686982717e-11 -3.508707449082119e-11 1.0330368887567607e-10 3.51509698760055e-11
PC_3 8.341035672806159e-05 3.742352063467518e-06 1.6004781350796882e-06 1.6521294304879872e-07 -2.1312442138982583e-09 0.06852057657772762 0.0018002054725493933 0.005770283746058714 0.0030834332983161305 -0.014057181524252322 0.0033212160312616214 0.012872876495777709 -0.0069475187515929075 -0.0024684245797034353 -0.0013095789380665368 0.004222213941637732 0.012615745680029058 0.00820886941698224 -0.004623257217907358 -0.02518671911086534 -4.461715272364227e-05 0.0016779619317126083 0.0064960130491183285 -0.005149237683122095 0.01752529044789233 -2.148111928498027e-05 -1.69403808933086e-05 0.0001550791966878337 0.00013154528709995823
PC_4 -0.00012219761540217838 2.323342111432574e-05 -1.4231825069650611e-05 1.0737196978992203e-06 -7.825776777928087e-09 0.0018002054725494326 0.22992928952430072 -0.0152870026281617 0.012890735600044395 -0.018095883393432426 -0.00327492678974656 -0.007235414653348055 -0.002683911641611546 -0.018617287923361793 0.006687975704852112 0.014370613946340075 -0.029489928628378518 -0.016496922999886632 0.015864354772193938 0.012062804914115334 -0.00472202483285347 0.009209199398714047 -0.007718226804712094 -0.001991348148177581 0.010168666291142018 -3.806658033033746e-05 -4.834086349769655e-05 8.489976861175123e-05 0.0001254156886225067
PC_5 -2.994436162393966e-06 1.0139998658418765e-05 6.315851137946807e-06 1.9174392131926824e-08 1.4674132842519456e-10 0.005770283746058715 -0.015287002628161702 0.31302929391759454 -0.00893686191774059 -0.018936365752767814 0.000128595110496332 0.015314526095713057 -0.021484051195936056 -0.0019422557663798315 -0.020879765568231578 -0.019914300356158827 -0.0013787968590097536 -0.026969303849980395 0.022837674079642344 -0.038292373354649925 0.008766418292186214 0.009479573134994123 0.0027566125868919472 -0.006960689908714499 0.030358935339475382 2.3852042215911625e-05 1.4523541385936462e-05 1.862031012503897e-05 2.0126970706549426e-05
PC_6 -0.00012059979307497467 -2.4562083219851003e-05 -3.196985195726066e-05 1.9850327321441453e-07 -1.5997175652107722e-09 0.003083433298316169 0.012890735600044445 -0.008936861917740584 0.37548627783312494 0.007421928582496433 0.0247984884727182 -0.03554313632920153 -0.008164752076509097 0.009957253540882631 -0.02127968103682239 -0.0007443611619807419 -0.0003050788139616286 -0.03290368881575229 0.0215872691249063 0.0398737670616635 -0.015005633551461861 -0.0026556179346018016 -0.013464439545533143 -0.003468839225267891 -0.01977899345947241 5.90424953471848e-06 1.7341879545536852e-05 8.358010443987177e-05 7.751857760191309e-05
PC_7 2.241067028359406e-05 -1.7664296227566086e-05 1.3243200854377425e-05 -2.8460491910544686e-07 1.8086271342653353e-09 -0.014057181524252338 -0.018095883393432412 -0.018936365752767814 0.007421928582496453 0.4678375433908445 0.024296039890469745 -0.001011683551395052 -0.024594838758101305 0.028337692622968615 0.0015662259564263648 0.04652806969249977 0.012486900061143365 -0.051180542075246555 -0.041763537532055715 0.042693589160473715 -0.01262262357224512 -0.020216951822187138 -0.000790048693839805 0.017819836722377674 -0.028209016823873896 1.748659477962614e-05 4.8848221074587636e-05 -0.00013707571802549807 -0.00015080982981232556
PC_8 -0.00014512632329657534 -5.050586286039747e-06 -1.4287350199634534e-05 2.720370457463894e-07 -2.802088718981177e-09 0.0033212160312616388 -0.0032749267897465295 0.00012859511049633776 0.02479848847271818 0.02429603989046972 0.4951183139318803 0.029054886131263166 0.014318482032450864 -0.015638396759295455 -0.0031585166984526196 -0.03288244227693653 0.022020840107553882 0.043365222277060717 -0.026194148563833255 0.021014145434519585 0.035550293381001685 0.011241977001315177 -0.006824858013183681 0.008770562919233393 -0.0232715696843402 1.64280535656012e-05 7.986571005049573e-06 9.88843769163196e-06 -0.00010371727096971685
PC_9 0.00020205670265338347 4.387633979437942e-06 -2.128281822040111e-06 -7.675289775483942e-08 1.456323151794049e-09 0.012872876495777686 -0.007235414653348092 0.015314526095713056 -0.03554313632920154 -0.001011683551395075 0.02905488613126317 0.6852171245117801 0.00614188014961687 -0.0015290500235746022 -0.04678457689907231 0.03557774326703704 -0.005007832755683767 -0.0027201062125492303 -0.02653503139888369 -0.016945730362301355 -0.015397515222811452 -0.003538398727098425 -0.0017662588208342878 -0.016282249891981175 0.047187665944988584 -3.8388777615148155e-06 -1.2532099703146155e-05 1.8785280857967448e-05 3.81279611550327e-05
PC_10 -0.00012596669230983476 -1.354252499476687e-05 -3.461560544621868e-05 3.057321827515815e-07 -1.0965935184325721e-09 -0.006947518751592897 -0.0026839116416114877 -0.021484051195936046 -0.008164752076509105 -0.024594838758101326 0.014318482032450832 0.006141880149616864 0.7827100848303012 0.03406067973706046 0.004012832873752537 0.0014805941237216508 -0.00932492548566359 0.02746919342919056 -6.82574816560491e-05 -0.008037612015930227 0.028089154758692038 0.009765901976686621 -0.020531105852510372 0.00906332896043933 -0.01656091762408971 5.868105161084519e-05 6.0931081519829166e-05 -7.77529515855806e-05 -5.2775649768129596e-05
PC_11 -1.834730284925103e-05 1.7586118283972048e-05 1.9013893461113534e-05 1.47457148192653e-08 -7.696292997811821e-10 -0.0024684245797034453 -0.018617287923361724 -0.0019422557663798666 0.009957253540882607 0.028337692622968636 -0.015638396759295438 -0.0015290500235745938 0.03406067973706038 0.7507831722502377 0.0076009886832943815 -0.0166570238162968 0.05732457016618236 0.034838539052561575 -0.012925316682965099 0.027122855838574086 -0.03903314259288824 -0.027127410789886126 -0.0019760841110356086 -0.014627111813375282 0.06363453028487352 -2.5537230272050088e-05 7.298003169807431e-05 -3.7203767593182866e-05 -6.980750329942348e-05
PC_12 -0.0002117780207396477 -1.1671134388617753e-05 2.5165836415278625e-05 -8.292652208332713e-07 4.941794124099348e-09 -0.0013095789380665316 0.006687975704852149 -0.02087976556823159 -0.021279681036822363 0.0015662259564263555 -0.003158516698452589 -0.046784576899072366 0.004012832873752585 0.00760098868329432 0.8536598174712513 0.04482921230014904 -0.036775344330763786 -0.03919762584177159 0.004051824632467191 0.053315717231256436 0.03065628577972478 0.024233043994494906 0.03519944038294037 0.026999421041624345 0.01579179873366738 -1.1629145139841846e-05 1.5781176188685166e-05 -1.091253285197817e-05 -9.38870456909122e-05
