(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.0394218835629911 0.0347744658068812 0.0108311849920655 -0.0334620581838389 -8.16999972733507e-05 0.000335494582223717 0.000171484337948161 0.000543745354965362 -0.00155364384701419 0.000383430715909054
covarage 0.0347744658068812 0.0453556485875723 0.0294813427802509 -0.0732048370153961 -0.0002773147386506 0.000213608687967154 -0.000165519843711977 0.000734591890082463 -0.00197753793346551 0.000541654094347991
covarsex 0.0108311849920655 0.0294813427802509 0.0354805767611382 -0.0739728492092971 -0.000227914189369752 3.18000756014916e-05 -4.5838723437007e-06 0.000633554301626356 -0.00143261354429375 0.000281418686442501
covarage_sex -0.0334620581838389 -0.0732048370153961 -0.0739728492092971 0.170871719995131 0.000524487924294705 0.000218019919409608 0.000304035327990146 -0.00150520975137282 0.00348555975026098 -0.000710219554503217
covarPC_3 -8.16999972733507e-05 -0.0002773147386506 -0.000227914189369752 0.000524487924294705 0.00357839634780707 -0.000111290107170797 0.000119360039561933 -8.13642063666553e-05 0.00034749430898104 0.000189437006170778
covarPC_4 0.000335494582223717 0.000213608687967154 3.18000756014916e-05 0.000218019919409608 -0.000111290107170797 0.003453481563172 1.86805309726074e-05 -6.27724267778837e-05 -3.70485724865423e-05 7.01358484535123e-05
proband 0.000171484337948161 -0.000165519843711977 -4.5838723437007e-06 0.000304035327990146 0.000119360039561933 1.86805309726074e-05 0.00410597822529858 -0.00208025176142174 -0.000214683910063519 6.7585745160549e-05
paternal 0.000543745354965362 0.000734591890082463 0.000633554301626356 -0.00150520975137282 -8.13642063666553e-05 -6.27724267778837e-05 -0.00208025176142174 0.0202596252203596 -0.0146591400260805 -0.0162363955083212
gpp -0.00155364384701419 -0.00197753793346551 -0.00143261354429375 0.00348555975026098 0.00034749430898104 -3.70485724865423e-05 -0.000214683910063519 -0.0146591400260805 0.0397812783626009 -0.0115335195566465
gmp 0.000383430715909054 0.000541654094347991 0.000281418686442501 -0.000710219554503217 0.000189437006170778 7.01358484535123e-05 6.7585745160549e-05 -0.0162363955083212 -0.0115335195566465 0.0425740525746348
