(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.00658217100484631 0.00587801326489158 0.00150715586905146 -0.00239595672399301 -0.000495017704802402 4.10632150240201e-06 4.21624199245149e-05 0.000261911096279494 0.000154902750594934 -0.00033326641682515 -0.000380998634763608 0.000327141256439579 -0.000334089540119553
covarage 0.00587801326489158 0.0133786763981793 0.0135888242887154 -0.0213480907451778 -0.000173861249025288 0.000296925336282989 -1.68235558029322e-05 2.95072710838358e-06 0.000195803107623704 0.000182495031804946 -0.000189365529146523 0.000705220015247777 -0.000849993647268265
covarsex 0.00150715586905146 0.0135888242887154 0.024351176247861 -0.0359844355893518 -6.48797700850512e-05 0.000117575677399085 9.63794090934556e-05 -0.000211049518754582 0.000237566546477414 0.0001531288895907 0.000264056908212493 0.000460225811005711 -0.000701416202618804
covarage_sex -0.00239595672399301 -0.0213480907451778 -0.0359844355893518 0.0573491949275916 3.55638887840546e-05 -1.28180134946813e-05 -6.5261801826364e-05 0.00025805621738816 -0.000222223216474599 -0.000120075424345325 -0.000449273161553494 -0.000600875858763088 0.000710214745190472
covarPC_3 -0.000495017704802402 -0.000173861249025288 -6.48797700850512e-05 3.55638887840546e-05 0.00182398081288704 -0.000253135814922034 -3.83575706902204e-06 5.00373912848027e-05 -0.00019200801841056 0.000124680392554332 0.00011896239827686 0.000126935294767583 0.000359481142736638
covarPC_4 4.10632150240201e-06 0.000296925336282989 0.000117575677399085 -1.28180134946813e-05 -0.000253135814922034 0.00174666960851615 3.93315281164592e-05 -4.81057504220242e-05 -0.000174362796022797 -2.09033172198096e-05 -3.56720615014559e-06 9.79959341716825e-05 -1.02067888736341e-05
proband 4.21624199245149e-05 -1.68235558029322e-05 9.63794090934556e-05 -6.5261801826364e-05 -3.83575706902204e-06 3.93315281164592e-05 0.00355195421869923 -0.00190845792881625 -0.00179431510671917 -0.000190028541550019 0.000448807400723788 1.96301648865522e-05 -9.64242094917574e-05
paternal 0.000261911096279494 2.95072710838358e-06 -0.000211049518754582 0.00025805621738816 5.00373912848027e-05 -4.81057504220242e-05 -0.00190845792881625 0.0125220687610662 0.00105107610658222 -0.0103933340509914 -0.0081860039689092 -0.000441812427107969 0.000246089479707313
maternal 0.000154902750594934 0.000195803107623704 0.000237566546477414 -0.000222223216474599 -0.00019200801841056 -0.000174362796022797 -0.00179431510671917 0.00105107610658222 0.0126288262356398 0.00018221859066215 -0.000269933878343976 -0.010680449600776 -0.00843236342151808
gpp -0.00033326641682515 0.000182495031804946 0.0001531288895907 -0.000120075424345325 0.000124680392554332 -2.09033172198096e-05 -0.000190028541550019 -0.0103933340509914 0.00018221859066215 0.0451936800546893 -0.0252022330254746 0.000935422945713219 -0.00141665837540834
gpm -0.000380998634763608 -0.000189365529146523 0.000264056908212493 -0.000449273161553494 0.00011896239827686 -3.56720615014559e-06 0.000448807400723788 -0.0081860039689092 -0.000269933878343976 -0.0252022330254746 0.0402589061517419 -0.000507188361010234 0.000722229623545838
gmp 0.000327141256439579 0.000705220015247777 0.000460225811005711 -0.000600875858763088 0.000126935294767583 9.79959341716825e-05 1.96301648865522e-05 -0.000441812427107969 -0.010680449600776 0.000935422945713219 -0.000507188361010234 0.036095502114914 -0.0154357095197022
gmm -0.000334089540119553 -0.000849993647268265 -0.000701416202618804 0.000710214745190472 0.000359481142736638 -1.02067888736341e-05 -9.64242094917574e-05 0.000246089479707313 -0.00843236342151808 -0.00141665837540834 0.000722229623545838 -0.0154357095197022 0.0319954586624994
