 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.0035081149651717916 -2.5411406021422353e-06 0.0008063447395425761 0.0008117089622350285 -0.00010707205553514686 -2.4950290156212367e-05 2.406976901977566e-07 3.9675954287349585e-06 -4.292068828215772e-08 -0.0006194129117885896 0.00031887225071614765 -0.0005913513872119413 0.00042214988222086263 1.6801679884021116e-05 -0.000155122166422497 0.0009520589014192514 0.00029525661483717936 0.0010189961589533005 6.20482829782045e-05 -0.0008768192307966045 -0.002627543571143563 0.0003324245189811316 -0.0003914635442954942 -0.0006709051077874874 -0.0014281853084595097 -0.0007601609080640907 -3.478452087595006e-05 0.0023733484326450907 0.0019922511271814733 1.866284706906164e-05 -1.912853342034738e-06 2.191361777018917e-06 1.9369916352682686e-05 -8.252222855804945e-06 -4.026855155893618e-06 -2.01430641456472e-05
yob -2.54114060213687e-06 6.841998010975048e-07 1.925108495033208e-08 -2.1602897993449404e-06 2.16550832718265e-08 1.5058649713616202e-08 -1.5598683513452527e-10 -1.7517497008065482e-09 3.924296774578307e-11 3.876793195580368e-06 0.00011309110113254642 1.543516897262098e-05 -8.473282442748547e-05 4.542750524855436e-05 -9.636477725387097e-05 -1.2443651388784162e-05 -3.885916677645366e-05 8.892241263942807e-05 -3.0581822323817646e-05 -6.292256949471758e-05 5.296293721081041e-05 -4.3636729614450854e-05 -8.046107855612773e-06 5.17775674364228e-05 3.793901866283945e-05 -1.4897229020388598e-05 -2.3000045765977918e-05 1.2566247790796216e-05 -9.385495543053483e-05 3.8804576266802064e-08 9.35796480295735e-08 -1.875241830499272e-07 1.2926165076592304e-07 -2.6291965740030507e-07 4.436292429423181e-07 -5.398495382658362e-08
age 0.0008063447395439739 1.9251084928164984e-08 0.0006668160940750848 0.007411529300210372 -0.0006662814646032956 -1.8578720186475933e-05 1.6220090924202847e-07 1.856614899332484e-05 -1.6211133185415226e-07 7.489325055158132e-05 0.0002656890693798458 2.457355311881319e-05 1.8576755500994274e-05 -0.00020485046558658498 0.0002496641539268471 0.00018030350366866232 -0.0005395320950844118 0.00020940768954886733 0.001208617108343267 -8.208317912424938e-05 -0.0003685002262970234 0.00040613809967751343 0.0005578404193503005 -0.0006203510405753406 0.00011628410692479572 -0.000693439952915465 -0.0002701596543079102 0.000176704719816557 0.0006530657159802436 6.638302189829272e-07 -7.113136402982636e-07 7.587749363241339e-07 6.075914380532619e-06 -2.727212067261917e-07 1.5014499201178438e-06 1.0870227405105343e-06
sex 0.0008117089622688934 -2.1602897999178375e-06 0.007411529300203299 0.1587246912308896 -0.013808717079622218 -0.0002026307690192522 1.7411956263204673e-06 0.00037448787017146685 -3.197015906907593e-06 0.0014525988680898043 0.005615035907514135 0.002858855556613718 0.00019600787705692445 -0.0015998444950045838 0.0030502759314494717 0.00899403040505853 -0.01086621741558894 -0.00636845784882372 0.015088083145627686 0.0008595996375586148 0.0029844392457970196 -0.005268104590758009 -0.003516560618366553 -0.01854898515495245 -0.0023618986594208928 -0.006134293909920101 0.0030330077117664677 6.243593853582933e-05 0.002542158277843858 -3.43192222018146e-05 -9.421412681597661e-05 -6.597478955995988e-05 9.053048859664729e-05 5.660580976851715e-05 6.334099874692797e-05 0.0001388451305441107
age_sex -0.0001070720555384026 2.1655083337726136e-08 -0.0006662814646027091 -0.013808717079622905 0.0012266338574441881 1.856761255100541e-05 -1.6213371365565316e-07 -3.386751040076517e-05 2.9352847255012474e-07 -0.00013703374113724478 -0.0005281209666110489 -0.0003540141001241835 8.650872328853816e-05 0.00018839629271950986 -0.00024826320907085544 -0.0008961130991795978 0.0009566102327470165 0.0005952235555367509 -0.0013078724605256318 -0.00011597049572865911 -0.00036152100260544083 0.00042426452624347825 0.0003239607175709069 0.0017079152039468305 0.0002999561878986493 0.0008431201743853995 -0.00016400967462555782 -7.734070810377576e-05 -0.0003102017444458384 2.077345769307758e-06 8.885584051100312e-06 5.878795073895502e-06 -8.738164084550704e-06 -5.044779227711655e-06 -6.222573782239242e-06 -1.0416004540580876e-05
age2 -2.4950290156262173e-05 1.5058649714736714e-08 -1.8578720186472498e-05 -0.00020263076901937122 1.856761255101462e-05 5.276584778115404e-07 -4.683083872487639e-09 -5.270566607227107e-07 4.678183905523252e-09 -2.0787950350118663e-06 -5.694973511566336e-06 -1.459213520984503e-06 -1.7694365250969522e-06 8.851162695296133e-06 -8.152633886095771e-06 -8.451518682419424e-06 1.1961918354541807e-05 -4.757711619297822e-06 -3.48385242547695e-05 8.504412877577533e-07 1.1066844489536816e-05 -1.2311923508326308e-05 -1.2822886062697146e-05 1.9242060474113615e-05 3.5295616890916777e-06 2.3080011429294993e-05 4.754724218037673e-06 -1.0034912750455147e-05 -1.9679354896916484e-05 -5.496978903952198e-08 5.432701347010261e-08 -2.3269678716287253e-08 -2.2501242415975712e-07 2.7610209572270594e-08 -3.95202578221135e-08 1.3828526844864269e-08
age3 2.4069769019814527e-07 -1.5598683514153263e-10 1.622009092419697e-07 1.7411956263208836e-06 -1.6213371365567746e-07 -4.683083872486832e-09 4.2202931229344755e-11 4.677941392544058e-09 -4.215930316874128e-11 1.726575869275628e-08 5.954382997771978e-08 1.8100163418253215e-08 1.0720551828524217e-08 -8.859668197182631e-08 6.225796503021028e-08 1.0021904851602782e-07 -8.588649372842866e-08 5.2401557315496926e-08 3.0194372205401155e-07 -6.498904982397534e-09 -9.826345387851801e-08 1.0643307264692273e-07 8.063203032813966e-08 -1.806667952538658e-07 -7.482381410920118e-08 -2.3171613506680194e-07 -2.3522981502667562e-08 1.2768297556541928e-07 1.7574695599104815e-07 7.65551476491166e-10 -6.991376640042212e-10 1.1620950475233042e-10 2.284191973927501e-09 -3.2907615289287025e-10 4.023976874766629e-10 -3.4923470074739335e-10
age2_sex 3.967595428810449e-06 -1.7517497014063489e-09 1.8566148993309208e-05 0.0003744878701714943 -3.386751040076586e-05 -5.270566607224686e-07 4.677941392543509e-09 9.513297684053568e-07 -8.373341326484493e-09 4.042825547780647e-06 1.534465554916473e-05 1.2179260981828311e-05 -4.406792648355984e-06 -6.805357929109607e-06 6.23911396173281e-06 2.7572071093796455e-05 -2.568653329817569e-05 -1.61493541244239e-05 3.585637497371449e-05 4.507586990953935e-06 1.1907946303036976e-05 -9.404986103570138e-06 -9.559936460158504e-06 -4.8575174530249494e-05 -1.1584074584465751e-05 -3.0775706986503055e-05 3.12291975893169e-06 3.941984124746437e-06 1.1212377019421405e-05 -3.419025007568131e-08 -2.5644016438449716e-07 -1.5692416346474598e-07 2.573585274475703e-07 1.3327155798945472e-07 1.7698990992126235e-07 2.477131879435154e-07
age3_sex -4.2920688282969995e-08 3.9242967754593587e-11 -1.621113318540232e-07 -3.197015906907831e-06 2.935284725501313e-07 4.6781839055212565e-09 -4.215930316873764e-11 -8.373341326484511e-09 7.478921030559816e-11 -3.91929173009415e-08 -1.3636386523102737e-07 -1.2090826404013503e-07 4.8347177751131344e-08 7.568616039616801e-08 -4.8519390715609484e-08 -2.589575627661749e-07 2.1262095451813085e-07 1.2941596330489806e-07 -3.104296436005169e-07 -5.096175077423987e-08 -1.1721195607006923e-07 6.146812915448229e-08 9.15942272372455e-08 4.331147846274743e-07 1.270745824223513e-07 3.18012792094848e-07 -2.2844406905309763e-08 -5.09443655658686e-08 -1.2512508521619e-07 1.1879255498415734e-10 2.2733510465961288e-09 1.3419175769574341e-09 -2.3739615493990248e-09 -1.0827177250058832e-09 -1.5765597204390538e-09 -1.934516044813517e-09
PC_3 -0.0006194129117881704 3.876793195572545e-06 7.489325055250305e-05 0.001452598868111138 -0.0001370337411391315 -2.0787950350383496e-06 1.7265758692993497e-08 4.0428255478326665e-06 -3.919291730139253e-08 0.1549633971628884 -0.028639342176638324 0.009123403504673852 0.023806257690260485 0.017853040435630848 0.006396546060489358 0.015020790660614349 -0.026477121542252433 -0.0161465994042945 -0.008554798363402654 0.03697234836960199 0.002559155286761069 0.04530019801475888 0.011548608939754889 -0.0912099482388262 -0.023331585220575504 -0.014810277325311766 0.020108225986668476 -0.02890504292006144 0.06280994261974468 -6.816951026789372e-05 0.00013920921721556924 -2.0389466015397767e-05 0.00038421339476592465 -0.00023309071561393403 0.00030600863865322614 0.00013449860675309228
PC_4 0.0003188722507189497 0.00011309110113252806 0.00026568906938503363 0.005615035907622438 -0.0005281209666208676 -5.694973511718207e-06 5.9543829979103564e-08 1.534465554944229e-05 -1.3636386523348524e-07 -0.02863934217663806 0.45563911867144413 -0.0035222026702289794 0.10064469431307994 -0.039004509238672005 -0.04727370366317248 -0.02292349816928406 0.01309518179043792 0.010466227846056525 0.03572671904855401 0.05438389733461419 -0.02967370825219901 -0.049561851700098775 0.0547086979918693 0.02582692838799355 -0.03062159789071719 0.009824617122656615 -0.023736744860767763 0.01514332755514768 0.061817634451324675 -6.913166928659206e-05 -0.0001818493249396511 0.00022729778323779683 0.000256080476120584 -0.00021075923046240072 -0.00018401406918834267 -0.0004975338895677567
PC_5 -0.0005913513872113972 1.5435168972648215e-05 2.4573553118889978e-05 0.0028588555566204975 -0.000354014100124783 -1.4592135209890106e-06 1.8100163418313378e-08 1.2179260981844684e-05 -1.2090826404027744e-07 0.00912340350467333 -0.003522202670232627 0.5975283767356646 -0.033516687499201496 -0.07960297592056868 -0.08912213099393423 0.07663109397369124 -0.043206144813052696 -0.08435856688495329 -0.052116660461297 0.026153309367238236 -0.040655939978874574 -0.029521363443596876 0.03487559224079691 -0.12421169098528069 -0.03044919435757755 -0.01490853771641631 -0.025601212848353122 -0.03949904187208471 0.10703267553044117 -6.045324963485344e-05 0.00010792889113125393 0.00018067121525549315 2.8406206875271073e-05 8.667992141248607e-05 0.0001779276677967005 -0.0003374266665042225
PC_6 0.0004221498822213555 -8.473282442747879e-05 1.8576755502387738e-05 0.00019600787707828093 8.650872328660303e-05 -1.7694365251356233e-06 1.0720551828859645e-08 -4.406792648301089e-06 4.834717775064734e-08 0.02380625769026101 0.1006446943130816 -0.03351668749920127 0.8042889531260602 0.05003381076410353 0.07074675000462455 -0.06413678588651366 0.07745615710533434 0.026189115970909758 -0.028755482737417834 0.04321692228684638 0.1496343877899929 -0.1318839867044746 0.05260914607386229 0.11515804069733072 -0.0150180304428035 0.01185150453760139 -0.06302098345163722 0.05348855376058927 -0.09969491672649247 0.0001731013200667153 0.0003433760561113398 3.943925465446218e-05 -0.000562747862498007 1.2167459135905418e-05 -0.00027586771130810476 7.4835685494187e-05
PC_7 1.6801679883822436e-05 4.542750524855756e-05 -0.0002048504655858255 -0.001599844494991761 0.00018839629271828314 8.85116269527443e-06 -8.85966819716356e-08 -6.805357929073096e-06 7.568616039583204e-08 0.017853040435631292 -0.039004509238668945 -0.07960297592056798 0.050033810764103695 1.119059599297897 0.004047203191549574 0.1558133102557569 -0.09453013955955132 0.117253337931542 0.09424279667367737 0.022039994891921284 0.002532480790436229 -0.12458406806564429 -0.05841205255589024 0.15387529824867452 0.05167072044942236 0.026069767030347243 -0.08937812050653533 0.018440453852968705 -0.19469341698792905 -9.589225617427264e-05 0.00014969215761741065 8.166068034211434e-05 -0.0004575076666833451 0.0004197998005852514 0.00044056171194441386 -0.0001677833751243761
PC_8 -0.00015512216642205352 -9.636477725387738e-05 0.0002496641539260982 0.0030502759314357058 -0.00024826320906956437 -8.15263388607491e-06 6.225796503002883e-08 6.239113961695437e-06 -4.851939071526832e-08 0.006396546060488494 -0.04727370366317551 -0.08912213099393526 0.07074675000462625 0.004047203191550029 1.2304211038902404 0.1665839605479344 -0.0067152446945602795 0.10637668465543781 0.11290840424708551 -0.010779180687671945 0.02304802453334113 0.10428198648787061 -0.07195518539315567 0.10155632694413194 0.15831185279567325 0.025059013633373414 0.08869402506854565 0.08845349075221749 -0.06762535288602721 4.3728910825726967e-05 0.0005297079832963411 -0.0006014578466606071 -0.00018961617749182905 -0.0008032243049581941 0.0003893439425346475 0.00109674773788423
PC_9 0.0009520589014215278 -1.244365138882761e-05 0.0001803035036652337 0.008994030404996333 -0.0008961130991739526 -8.451518682328798e-06 1.0021904851527299e-07 2.7572071093638253e-05 -2.58957562764788e-07 0.015020790660612033 -0.022923498169293482 0.07663109397368828 -0.06413678588651336 0.15581331025575645 0.1665839605479346 1.524747651552998 0.105277718404889 0.014994560327120458 -0.124481680494713 0.08445443087283737 0.009245948778645647 0.003850180884118611 -0.09144611810687256 0.0007094679973686499 -0.1245436296010985 -0.06699146914134925 0.050478704992830345 -0.08315103308537729 0.15537642154247736 6.963389277518794e-05 -0.00011914701097415235 -0.00025200364318673764 0.001082126498526473 -0.0007949986890478528 0.00010765177914372435 0.0007556145206041402
PC_10 0.00029525661483486605 -3.885916677642152e-05 -0.0005395320950860696 -0.010866217415636068 0.0009566102327512036 1.196191835459398e-05 -8.588649372893217e-08 -2.568653329829155e-05 2.1262095451914832e-07 -0.026477121542252794 0.013095181790441538 -0.04320614481305398 0.07745615710533525 -0.09453013955954984 -0.006715244694563614 0.10527771840488048 2.027871575827194 0.2841872363063723 -0.11687913117765368 -0.012677312950822419 -0.03573611254690602 0.0941254955205588 0.044625370110460805 0.09231731869567159 0.14128560050639188 0.1226445766579824 0.03882087142550086 -0.06629427409668599 -0.24441329686791224 0.0005237239658410309 0.0004383511459079124 -0.00011388011168921194 -0.00035997235090291975 -0.000572631440078736 -0.001117076338491946 0.001116102994080925
PC_11 0.001018996158952353 8.892241263945268e-05 0.00020940768955308195 -0.006368457848743903 0.0005952235555295413 -4.757711619413187e-06 5.240155731648574e-08 -1.6149354124221934e-05 1.2941596330313136e-07 -0.01614659940429292 0.010466227846065575 -0.08435856688494961 0.026189115970909668 0.11725333793154169 0.1063766846554373 0.014994560327125 0.28418723630636683 1.689430288349565 0.14172808920122726 0.24145381674683963 0.11886371357077016 0.05569490767702706 0.0016608395508032204 -0.013878580061221214 -0.11979626824320426 -0.04958307573939177 0.021014148076946206 -0.2104292678118127 0.16166086737358012 0.00011998035861572388 0.0008003285529448998 -0.00012835584103024146 -3.998828357161041e-05 -0.0012523096630624399 0.00038871997495518564 -0.0005253293118185704
PC_12 6.204828297972003e-05 -3.058182232383574e-05 0.0012086171083422587 0.015088083145627785 -0.0013078724605254865 -3.483852425474712e-05 3.0194372205386226e-07 3.58563749737075e-05 -3.104296436004388e-07 -0.008554798363403886 0.035726719048543534 -0.05211666046129777 -0.028755482737419947 0.09424279667367587 0.11290840424708694 -0.12448168049470736 -0.11687913117764838 0.1417280892012199 2.1347119819366083 0.09418930788447889 0.051353689670263436 -0.022072438115645205 0.1341012313155908 0.1777393346599921 0.07296274812834976 0.026767553101674047 0.08802185889771597 0.07909859447414416 0.01589330340231244 -7.656803604929982e-05 0.0006244266717200386 -0.00018269124677684529 -0.00016246061013703902 -0.0004236663574334257 0.0003200122896792311 0.00045191145417203753
PC_13 -0.0008768192307968228 -6.292256949472258e-05 -8.208317912281424e-05 0.000859599637595907 -0.00011597049573199093 8.504412877166108e-07 -6.4989049820274964e-09 4.507586991046564e-06 -5.0961750775049066e-08 0.03697234836960281 0.054383897334613296 0.02615330936723931 0.04321692228684633 0.022039994891920645 -0.010779180687670822 0.08445443087284209 -0.01267731295082497 0.2414538167468367 0.09418930788448361 1.986046671289395 0.377116059298883 -0.10256273789390742 -0.04412570555605941 0.226271839010194 0.11176813164017153 0.031274408252059176 -0.1803215435124875 -0.04919532735323208 -0.1865927842371434 0.00020686966166710814 0.000622794406997762 -4.1233043680926114e-05 -0.0007597777654017771 -0.00020675337204281827 0.00010119689838152209 -0.000395402866356615
