 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 2.166400860079235e-05 4.077452477497496e-07 -2.5099062914933196e-06 -2.2579922686584182e-05 1.7908136818691408e-06 4.3939993900988446e-08 -2.1873597061302435e-10 -3.973537570603052e-08 2.656851844560323e-10 3.4821679236472353e-06 -6.0924121970769295e-05 -4.4192307632123896e-05 -7.833473474327697e-05 8.072734578915636e-05 -8.03393466286125e-05 0.00011541229909854106 -0.00013427291521182145 -4.588592831529786e-06 -0.00014283110306207063 -2.1797561135560416e-05 -6.144437117192016e-05 -0.0001272076375820524 6.438753319842149e-06 -8.40982122090465e-05 2.7987181556216846e-05 1.2455156206033031e-05 -3.191516437632938e-06 -0.00011744934390153811 0.00010996263484684739 1.186802073605247e-07 1.1996289594177005e-07 2.7506540690287666e-07 -6.68371082766765e-07
yob 4.077452477498492e-07 1.4988989929083245e-07 4.5018927263439633e-07 1.9567304081184406e-06 -1.5004147387893987e-07 -5.161988088419541e-09 2.26965011955016e-11 2.4513181027675044e-09 -1.0570424818267938e-11 3.0936156904049113e-06 8.669718744654897e-06 -4.192762406210492e-07 -1.115626825468904e-05 -5.639517733935305e-06 -3.9181644950040315e-06 2.9180661943775205e-06 -6.48188576652566e-06 7.89487623941344e-06 -6.274417566014205e-06 -1.0431575761081456e-05 1.0147906413145285e-05 -8.244824537285514e-06 -2.3795339363717553e-06 1.436669744608544e-05 7.184952042372452e-06 7.175900634399686e-07 -2.3426366517845116e-06 4.9852222671422555e-06 -2.1662744470620263e-05 -1.1879300096384026e-08 -4.953855133772536e-09 -5.891043877329121e-10 -4.1724451984137676e-08
age -2.5099062914525523e-06 4.5018927263520837e-07 6.356454728587347e-05 0.0009179959876075014 -6.099721001300519e-05 -1.2592344463420202e-06 7.796271386256245e-09 1.2197346191966237e-06 -7.574355289453596e-09 1.9729133648473423e-05 4.1313294581083284e-05 4.135176718919358e-05 -1.9327651156848656e-05 4.349377927430712e-05 -1.5295848676176276e-05 1.626025781112163e-05 -7.29874901378664e-05 1.98485819191531e-05 -4.365785662221406e-06 -5.030228135970402e-06 -1.4216816100358406e-05 -7.601324799371674e-05 -5.3866656153592854e-05 1.553793205930661e-05 2.242678468158272e-05 -7.966314624487672e-06 -2.1415978834082162e-05 -1.983285918307274e-05 -3.7332680622554214e-06 7.618105586611247e-08 -1.0361190778144987e-07 3.961250749786732e-07 -6.53394848604309e-07
sex -2.2579922685076894e-05 1.9567304081368975e-06 0.0009179959876063997 0.025739567445232092 -0.0016478185930417274 -1.7799572536471788e-05 1.0827505795888164e-07 3.218425452516229e-05 -1.964569820815186e-07 0.00014189226092398732 0.0004325516266649949 0.0006058781238209384 0.0003440803549424707 -0.00013442726611507272 -0.000319416449973485 0.0006009102745113442 -0.0008017225429875477 -5.539226927557017e-05 0.00012821353262688697 -0.00030407983606114253 -0.00019139846375762373 -0.0013392678465065375 -0.00043830802878414986 -0.0006876211729140828 -0.0004055195872844276 0.0005267998470537812 -0.00039121292435325355 0.00014620600681723622 8.833913226259683e-05 3.939532652776613e-06 2.904284541715934e-06 1.8326479172524566e-05 -2.3033131586614995e-05
age_sex 1.790813681761964e-06 -1.5004147388037805e-07 -6.099721001293131e-05 -0.0016478185930417517 0.00011002548242986094 1.2175234604519105e-06 -7.566301562379447e-09 -2.2102882831269073e-06 1.3774155030874989e-08 -1.3211725446308403e-05 -2.0589048222106496e-05 -2.255201106131928e-05 -1.4807839597005966e-05 1.3053777215635671e-05 1.2971693469296122e-05 -3.9788190337018525e-05 4.2008942029457345e-05 1.5275266208669524e-06 -1.1530887199215081e-05 2.6263675809217153e-05 1.2471234892053595e-05 7.981455368995052e-05 3.576008062589753e-05 4.7171751674034105e-05 2.102940461604155e-05 -3.7962852566486234e-05 2.4123825721358594e-05 2.3170867146844546e-07 -1.7320783251914438e-05 -3.152250156503545e-07 -1.7261509841470304e-07 -1.1911721432137665e-06 1.4643005347502056e-06
age2 4.3939993899748264e-08 -5.161988088430804e-09 -1.25923444634198e-06 -1.7799572536493367e-05 1.2175234604533523e-06 2.5609102976890375e-08 -1.6167284160659556e-10 -2.490184495302416e-08 1.5751698676922128e-10 -2.458613185142881e-07 -1.824311824763611e-07 -4.2481528193455336e-07 3.2011136434374534e-07 -7.07665382533786e-07 3.287799519622404e-08 -3.1735682026849143e-07 1.0955850031384883e-06 -1.8391132600236029e-07 -2.4034403819449875e-07 -1.916887968483322e-07 5.230181534285507e-07 1.2331398332676337e-06 1.288710579683706e-06 1.3991082329865858e-07 -1.7315480285887975e-07 2.1287276632782356e-07 3.326867859086815e-07 4.5151878827585905e-07 -7.545534193807186e-07 -3.012681668443117e-09 1.1202436280216355e-09 -6.550715775473885e-09 1.2086214414298168e-08
age3 -2.1873597060623364e-10 2.2696501195538443e-11 7.796271386255714e-09 1.0827505795901135e-07 -7.566301562388112e-09 -1.616728416065905e-10 1.0372592001231408e-12 1.5753891191324827e-10 -1.0121546384018786e-12 3.8736962705632847e-10 -6.10751733130368e-10 6.626474908741225e-10 -2.6502660434607714e-09 4.291694892760609e-09 1.0122259612882971e-10 2.0113009336583093e-09 -5.873847526346561e-09 7.146892985773399e-10 2.3406227387136737e-09 1.918599560944319e-09 -3.970170456526615e-09 -6.978447867729205e-09 -9.678597676038989e-09 -2.163754047078736e-09 -5.6076932864575634e-11 -1.5982699968873306e-09 -1.4865202546433546e-09 -2.876271186977186e-09 7.87299613405038e-09 2.6195936374066916e-11 -1.1506807943072788e-12 3.0781574603716684e-11 -7.083848903009023e-11
age2_sex -3.9735375705574556e-08 2.4513181027382073e-09 1.2197346191950993e-06 3.2184254525163345e-05 -2.2102882831269344e-06 -2.4901844952995115e-08 1.575389119130737e-10 4.5371506088787806e-08 -2.8775387352306975e-10 3.0694438773502915e-07 2.85483490645075e-07 1.2768824462566267e-07 2.018539833875811e-07 -3.034172597259188e-07 -1.5782622026822474e-07 8.112629157399526e-07 -6.890276938961401e-07 -1.0907593059579178e-08 3.2467669721135754e-07 -4.918178403144476e-07 -2.8545491396152145e-07 -1.449452372994585e-06 -8.491310578325621e-07 -9.754021263792993e-07 -3.40315380580533e-07 7.941425722533203e-07 -4.0335124616972983e-07 -1.4225825259571135e-07 5.728729358445248e-07 7.183814350488105e-09 3.99294485699602e-09 2.2327908549134603e-08 -2.8551444087973528e-08
age3_sex 2.6568518444869e-10 -1.057042481825926e-11 -7.57435528944415e-09 -1.9645698208152627e-07 1.3774155030875242e-08 1.5751698676903953e-10 -1.0121546384007881e-12 -2.8775387352307187e-10 1.853335993014796e-12 -1.9317917618085522e-09 -1.1720777119052375e-09 9.669094273418504e-10 -7.758385176840365e-10 2.065032861707939e-09 5.562000897017332e-10 -5.148841438561098e-09 3.628341046693328e-09 1.2052863998985526e-11 -2.6042494765458833e-09 2.6515470836248426e-09 2.021690754104373e-09 8.299602133424437e-09 5.884286514316269e-09 6.1431922774167054e-09 1.5834473248799892e-09 -5.102738440154748e-09 1.7933770111473642e-09 1.1854136064356544e-09 -4.798269265590278e-09 -5.0291184726861686e-11 -2.9205653851184676e-11 -1.280674079310455e-10 1.7409643469112085e-10
PC_3 3.4821679236561474e-06 3.093615690405036e-06 1.9729133648492854e-05 0.00014189226092465652 -1.3211725446354775e-05 -2.458613185147001e-07 3.873696270590203e-10 3.0694438773598216e-07 -1.931791761814631e-09 0.045605540349136 -0.0008207131430331564 0.0017885278949774522 0.0019265985864060633 -0.008607602324607732 0.0015320739010921244 0.005017327740830695 -0.0052425614755657515 -0.0029465691062301805 -0.004134405545290862 0.0036206748558557603 0.009447668657522628 0.005790700642024844 -0.003766769931020047 -0.01873521219814783 0.0012696446240749442 0.0003456214241568255 0.002934747289154394 -0.0042713044818426076 0.014085198928579802 -4.966142603072731e-06 1.6799075670508052e-07 4.7263625119306855e-05 5.0040653006420105e-05
