 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.005431581051083799 -2.602857430277795e-06 0.00048254104717248213 0.0008309344534955572 -0.00015237083707382462 -2.053409702015737e-05 2.4658596503745025e-07 7.104119888415538e-06 -8.9818403008247e-08 -0.001576353593204193 0.000708714871668146 0.00026717513900098935 -0.0007816101305834405 -0.00034860147286250813 -0.0012301985620862149 0.0009785385933041336 0.00014982939471453957 -0.0015264032317440712 -0.002591787073661758 1.291982586713198e-05 -0.0036014947633323025 -0.0034958208971203556 -0.005284393158744561 -0.0034124627300149216 -0.0035176942901191826 -0.00270378968150466 0.0006088005336355414 0.005701881611461757 0.003022113934891325 1.1600535357012789e-05 -2.7655963626552896e-05 -4.997792171559743e-06 4.4633047025849677e-05 2.041987269981038e-05 2.029382517542517e-06 -2.0943080071476202e-05
yob -2.6028574302871082e-06 1.663416274344386e-06 1.3965460120710573e-06 5.232647439131556e-06 -5.738436317180162e-07 -3.885428176991104e-09 -5.458272748685873e-12 9.013816146075912e-09 -1.415543145871834e-12 1.672860839571683e-05 0.00023827583667406136 1.8969473129793008e-05 -0.00015312012150091021 5.243773137887926e-05 -0.0001804173793332229 -3.6081042603441786e-05 -7.836287782034566e-05 0.00021484998573811033 -5.561034514478794e-05 -0.00016026869883230648 0.0001327934338052877 -0.00011243853496152837 4.866575108647892e-06 0.00010293823565124301 9.483817165899636e-05 -4.398021369658198e-05 -5.9083881475401226e-05 4.957008762256393e-05 -0.00021173192638548348 -1.5682692763502648e-07 1.1867153461948743e-07 -2.0885200676671357e-07 -9.157340219507507e-08 8.365071566878863e-08 5.085089154060453e-07 8.878019664069495e-08
age 0.0004825410471720816 1.3965460120742167e-06 0.00016640199749608304 0.0012036315399331313 -0.00015901075947872704 -5.8440757208810046e-06 5.99060091478246e-08 5.633520645323983e-06 -5.788728085134877e-08 -9.371721126638188e-05 0.00039491809546850085 0.00016767492388218132 -4.425938176117782e-05 -0.0005411285824565857 -0.0002880312233899447 -0.000250234750225235 -0.0004166944949902323 -0.00045929143888665517 0.000191985408697356 -0.00016600928296525822 -0.00011630816285903066 -0.00032626465956479676 -0.0001866079267554229 -5.3208651857991355e-05 -2.2497463531865013e-05 -0.0009439560368022428 -0.0002945502734043004 0.0006363128292421928 0.00016338287159074508 1.7409520001268818e-06 2.1460726708104837e-06 1.8098984090208424e-06 2.7768291214989578e-06 -5.361098341259714e-06 2.2404602482853842e-06 -1.0381358778724257e-05
sex 0.0008309344534915186 5.232647439135604e-06 0.00120363153993281 0.017829820471502028 -0.0020681131875765948 -4.013147724060202e-05 3.971240505919146e-07 6.788000072495691e-05 -6.63479818414665e-07 -0.0003151780319348311 0.002708358295569014 0.0029014693519501485 -0.0010912393304575725 -0.0061143979489536905 -0.0014433340371471691 -0.0003560898697195719 -0.0035297268867469332 -0.008934163915945401 0.0009755040896318125 -0.0024966052176601124 0.0001614289405829818 -0.004076383108465605 -0.0010232637452567551 -0.005906268743452448 3.021788096540656e-06 -0.007552491171182293 -0.0022983779235918244 0.0010845806271594944 -0.00011882336027170845 7.923177104702269e-06 4.432116790214128e-05 -1.20303799741158e-05 -5.5300108487058606e-05 -1.1568546706326662e-05 4.549988499521402e-06 -2.785171417660954e-06
age_sex -0.00015237083707335468 -5.738436317201454e-07 -0.00015901075947870845 -0.002068113187576749 0.00026607713374045017 5.632071190609456e-06 -5.7949043477253814e-08 -9.279638237614648e-06 9.439607835640802e-08 1.3129868922403913e-05 -0.0003705180198419334 -0.0004367056188255444 0.0001852315836378179 0.0006482035650678743 1.2624949075326036e-06 -6.48689327882581e-05 0.0005732372593524828 0.0010945349386307884 -0.0002632255045594559 0.0003235997690624491 -6.87197962019182e-05 0.0004900467929338509 0.0001367853874247707 0.0006299028752577402 2.0297145718091743e-05 0.001016713768655954 0.00026851272046648085 -6.960851855769695e-05 -0.0001851181299767372 -1.4052001602481335e-06 -3.235372626200726e-06 1.8518098813232483e-06 6.176454882246146e-06 -1.7452858981112708e-06 -1.923971907402224e-06 1.8284204662618023e-06
age2 -2.0534097020144736e-05 -3.885428177134048e-09 -5.844075720881917e-06 -4.013147724062008e-05 5.632071190611036e-06 2.1690685137899747e-07 -2.3061544557205914e-09 -2.096087734239682e-07 2.2335435691270342e-09 2.509865901981962e-06 -9.182294023871945e-06 -7.622835290897602e-06 -6.095203518538778e-07 2.206285937531521e-05 1.4638254591680594e-06 4.824357348217216e-06 1.0863453027460925e-05 2.0708193405097437e-05 -9.81730448116049e-06 3.3423346651914638e-06 7.924936607181466e-06 1.2016076491313134e-05 9.527355834119357e-06 3.280486539750308e-06 7.412509544025563e-06 3.322435023190297e-05 3.909783796081196e-06 -2.626127367608348e-05 -8.602288011216886e-06 -7.707739678406141e-08 -3.7139277433028467e-08 -6.725882369520434e-08 -1.1182405112622258e-07 1.4190227083993298e-07 -5.040117971572458e-08 3.2734770566710257e-07
age3 2.4658596503734284e-07 -5.45827274698586e-12 5.990600914784146e-08 3.9712405059215435e-07 -5.794904347727727e-08 -2.3061544557208515e-09 2.5246486642186387e-11 2.2340779337902643e-09 -2.4500902462156994e-11 -2.4732551701213995e-08 1.0767611788518178e-07 8.982686867283158e-08 -1.9430677661983006e-08 -2.237308334086871e-07 3.318033910601355e-09 -1.8846646971502122e-08 -9.524189752636337e-08 -2.028980896732061e-07 9.076878928129628e-08 -4.566769914535542e-08 -9.409110878613558e-08 -1.5285386985675437e-07 -1.4510473234325363e-07 -4.402839119862581e-08 -1.1017179014531906e-07 -3.4812896235158535e-07 -5.283452111603992e-09 3.1216766599432723e-07 1.0392172698427666e-07 8.806607009034946e-10 1.1941191878563587e-10 5.556318568989889e-10 1.1369600695954891e-09 -9.094466763512623e-10 4.046339490188774e-10 -3.0105372440914425e-09
age2_sex 7.104119888400571e-06 9.013816146199195e-09 5.633520645324097e-06 6.788000072496808e-05 -9.279638237615384e-06 -2.0960877342393777e-07 2.234077933789691e-09 3.3928553549059573e-07 -3.574742706290857e-09 -3.8981392058608396e-08 1.3457009091208328e-05 1.6696035094369075e-05 -7.548948467469244e-06 -2.0623011751392583e-05 4.035752944055074e-06 5.286073897609225e-06 -2.140375167983327e-05 -3.617381751898054e-05 9.99120060687708e-06 -1.1629037104036017e-05 2.5361778315118177e-06 -1.5908910538188946e-05 -5.711336531558724e-06 -1.7567506582161727e-05 -2.554206675979202e-06 -3.6424608274542486e-05 -8.170329095012465e-06 3.146041607329416e-06 1.2034524818532398e-05 5.7711347074656254e-08 8.605634790962823e-08 -5.796878620997111e-08 -1.9028384769756574e-07 8.193824205077521e-08 8.414914870212316e-08 -9.421735524313859e-08
age3_sex -8.981840300810232e-08 -1.415543148768588e-12 -5.7887280851357465e-08 -6.634798184148278e-07 9.439607835642197e-08 2.2335435691269565e-09 -2.45009024621535e-11 -3.5747427062910845e-09 3.8770603329287294e-11 -4.117594778233062e-09 -1.3545304815126323e-07 -1.7881408850145415e-07 8.61472276182578e-08 2.044065646345523e-07 -6.532349999024848e-08 -7.985094917057932e-08 2.1817114418710002e-07 3.5014090444154073e-07 -9.863046766261287e-08 1.2648250268951553e-07 -2.0764307454610052e-08 1.5720576840691597e-07 7.472610609316525e-08 1.5228204770932019e-07 4.600300109285231e-08 3.7031259753712163e-07 6.259783773926372e-08 -6.123047075212857e-08 -1.8505154240600522e-07 -6.577020884815883e-10 -7.432692045719564e-10 5.292460519438103e-10 1.6801855250249484e-09 -9.816297482613734e-10 -8.897797644600585e-10 1.1373730686294976e-09
PC_3 -0.0015763535932039282 1.672860839571569e-05 -9.371721126636158e-05 -0.000315178031934869 1.3129868922398288e-05 2.5098659019809164e-06 -2.4732551701199824e-08 -3.8981392058146406e-08 -4.117594778241354e-09 0.36287963442135773 -0.06191667803806849 0.024848687824482033 0.05581435716996653 0.011922437732413306 0.016706152142030365 0.018793066421970338 -0.05763267122385858 -0.05420363617808138 -0.027187062992941838 0.0691631835098727 0.006262750410478114 0.09809573209433177 0.011953567128826082 -0.15074393146967824 -0.044199603813868074 -0.003911712532634546 0.03917298886669214 -0.06740904481378446 0.1460274345647302 -0.00012219476104874397 0.00031347002556720666 -3.9773834725451324e-05 0.0003831181718824452 -0.00023229445337393052 0.0004969168553793533 0.0002760238953509048
