 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept -1700003528193.5508 -6.771202662837124e-05 -0.011917371764604414 -4129045072567.4907 -12588826361.89973 0.0003788599163019639 -3.638490968106165e-06 -39494663.294999465 10238624.234803604 0.027310228163574805 -0.03013190878978078 0.021923399296081798 -0.015236306678937508 0.026087654913938198 0.07346755627312931 0.057245086635148386 0.05903358570904739 0.11496160767208743 0.09683335401253254 0.009284780062876011 0.045539373031241205 0.0719482051283854 0.020967119034355507 0.11791774536117801 0.05379923787503649 0.08819397178364734 0.08755709254672171 -0.07010697722784179 -0.06173439601704691 -5.475168322082615e-05 0.0002614474962944062 -0.0015965348519212243 0.000804017339160682
yob 8.775536663338106e-05 3.146245584970353e-06 2.942429275975848e-06 0.00021137689013730256 6.701510438473757e-07 -2.932220361438866e-08 2.945753035344224e-10 3.464571274363675e-09 -5.053976099218512e-10 1.1861164042965517e-05 0.0005088375393064547 8.293591703413205e-06 -0.00023854612273219825 1.234385236436369e-05 -0.00025211692940460214 -9.748951720319787e-05 -2.98348967582339e-05 0.0004648309415601931 -0.00012383248273724592 -0.00021504859201231254 0.0002636154892718999 -0.00020495165089095993 3.11951876883973e-05 0.00036021460802276314 0.00020951636863797288 -5.0847288109123286e-05 -0.00017852718341960472 0.00012293612939022665 -0.0004112567087249925 1.5436149142960264e-07 1.1126619458320706e-06 -1.3024589417076927e-06 -8.051699409625447e-07
age -0.012466463977060527 2.942429275973524e-06 0.00011466098380099582 -0.02942033361429092 -0.00011039173468305069 -3.5696338658540434e-06 3.310894603910595e-08 -2.4180438805813917e-07 7.117060608957347e-08 -6.757780633995083e-05 0.0005382404119689794 -0.00010345098948467668 3.7471901062960696e-05 -0.0008211575229544768 -0.0006343592094016488 -0.0006162445728661636 -0.0005150846420093935 -0.00044337017130073635 -0.00037900335441263784 -0.00010912239820390505 4.826109507695386e-05 -0.0008056565463340784 0.0003691586270914324 -0.0005151621236053483 0.00018733081637375618 -0.0008453902453647102 -0.0009051792495969394 0.00038060928736638363 0.00027392391317122925 1.2546424137558162e-06 9.697623479959959e-06 9.119418667575379e-06 -2.2991615368202613e-05
sex -4030475883300.523 -0.0001323586370649125 -0.026097419683624862 -9560222585217.357 -30514455150.622868 0.0008277069872329585 -7.942225065582592e-06 -85263557.04856229 23062516.5981313 0.06409222782381126 -0.06519049989222811 0.050944609033266926 -0.03350904942606949 0.046284572616945734 0.16626062373015724 0.12399434336043305 0.13006777657649024 0.2559686197839057 0.2229039648701972 0.020981785319640466 0.10640702539698342 0.15633568138163337 0.05434086997291517 0.26743550062386207 0.12559732890780786 0.19219649151696083 0.19413258896354543 -0.15494199200315686 -0.14360941086802184 -9.37859924504405e-05 0.000728655674706272 -0.0035952596853816546 0.0015670910036740138
age_sex -14840008057.138706 -8.685248238699777e-07 -0.0001256125313895089 -36633005009.616974 -88732104.82346779 4.027570996965681e-06 -3.884945596967425e-08 -1355476.1616286933 102978.54694694866 0.00025713443756103516 -0.00032969883510044644 0.00021512167794363838 -0.00018528529575892856 0.0003422328404017857 0.0007253374372209821 0.0006256103515625 0.0006059919084821429 0.001164027622767857 0.0009329659598214285 0.00011362348284040178 0.00043160574776785713 0.0007978166852678571 0.00018528529575892856 0.0011662074497767857 0.0005261557442801339 0.000946044921875 0.0009089878627232143 -0.0007585797991071428 -0.0005651201520647321 -7.663454328264508e-07 8.174351283482142e-07 -1.5769686017717633e-05 1.049041748046875e-05
age2 0.0004599402282505638 -2.9322203614314402e-08 -3.569633865853586e-06 0.0010874884397756484 4.036013115856515e-06 1.1829555178764997e-07 -1.1387688268990988e-09 9.32340308968075e-09 -2.625370531935073e-09 -1.1970706131971553e-07 -7.33070735128622e-06 1.4123492310741414e-06 -8.060789086483828e-06 2.9968076959099773e-05 8.577094296463717e-06 1.865745631096878e-05 1.551251653451051e-05 2.8292375056140594e-05 6.52757543638716e-06 1.4902824059004695e-06 3.1661824123204427e-06 2.3305433451095913e-05 -9.95217766414326e-06 1.979131171288757e-05 3.07180751454468e-06 2.8801357941004745e-05 2.0183878421406787e-05 -1.974976842802779e-05 -6.223179178689507e-06 -6.76897210125472e-08 -2.434192888966891e-07 -3.524335728303597e-07 6.8729366181884e-07
age3 -4.82766959536867e-06 2.945753035336842e-10 3.310894603909879e-08 -1.1431788093687844e-05 -4.2087378367512336e-08 -1.1387688268990103e-09 1.1303345881411408e-11 -1.0151266829339125e-10 2.754499450814888e-11 8.527894446373058e-09 1.0081307691280425e-07 -9.24280844086979e-09 8.512186865394732e-08 -2.655770652760029e-07 -5.804466818263251e-08 -1.9010534017659209e-07 -1.4449338997162139e-07 -2.85646820137576e-07 -6.54017355032556e-08 -3.897287280271377e-08 -3.137863997742102e-08 -2.3008092691045552e-07 4.5780520634375304e-08 -1.5655249648536273e-07 -7.671731307398699e-08 -2.910446465663888e-07 -1.6658827011821185e-07 2.625807016764029e-07 -1.4866132649684906e-08 7.3969032852747e-10 2.0712416417374667e-09 3.2762420759313815e-09 -5.98201103363589e-09
age2_sex -176530126.52175716 -5.630029787324649e-09 -1.0861360569815964e-06 -414578455.1146289 -2323667.7993024923 3.4482568055169585e-08 -3.3258774328170963e-10 7139.836531154463 1089.3968055369899 3.0268610966167964e-06 -3.1935537867924244e-06 2.3726796648770138e-06 -1.1268743953220751e-06 9.122792658883471e-07 7.652909546035521e-06 5.138206420363906e-06 5.553558329548044e-06 1.0997586037498468e-05 1.048567728562483e-05 9.186082402791814e-07 4.752101314011263e-06 6.567197166921673e-06 3.3728221141073687e-06 1.1833423262035882e-05 6.29562656940605e-06 7.909012775790335e-06 8.281902339416556e-06 -6.929173329008824e-06 -7.183542301312839e-06 -1.8237248732442487e-09 4.0562685173794736e-08 -1.545294695537639e-07 4.520770902741556e-08
age3_sex 12537874.168089202 4.4139043167345515e-10 7.613311457606643e-08 29124682.84662915 106975.67161479159 -2.3928396910477283e-09 2.2803329149377675e-11 347.9578148042546 -73.07167883673579 -1.9439735189371433e-07 1.9618995042552113e-07 -1.5132519272669002e-07 7.807762494091804e-08 -1.2383868190565253e-07 -5.094963382624193e-07 -3.56608846120856e-07 -3.8401444103594387e-07 -7.345670428114943e-07 -6.610705030074158e-07 -5.218453503704217e-08 -3.1041831242454283e-07 -4.5093811955673077e-07 -1.5126606187234222e-07 -7.927269062878924e-07 -3.5015424654626e-07 -5.522946282093065e-07 -5.760216615539158e-07 4.314187133215013e-07 4.469545672638268e-07 1.805047132722117e-10 -2.4088042771153766e-09 1.057819862779737e-08 -4.2325243112104805e-09
PC_3 0.009600203618342401 1.1861164042966518e-05 -6.757780634012109e-05 0.023356764642989466 7.985546647069679e-05 -1.1970706131316636e-07 8.52789444630368e-09 4.27409248911764e-07 -5.2052360941093684e-08 0.6766237933401476 -0.08540919509509595 0.01649886101830454 0.1575606123441763 -0.02337322416095573 0.0407649858285862 -0.001426991748003663 -0.11141039136310514 -0.13741892486171742 -0.0480398669613049 0.12867842559204215 0.029863328312254106 0.21693866402381118 -0.0008302703526959228 -0.3500025486254684 -0.08539803346315696 -0.003635080306245198 0.11699468205804384 -0.09106359363413027 0.3464736053219584 -6.373472197034655e-05 -0.00039695769008090987 0.0010552013495886603 0.0008262268235295292
PC_4 -0.023374816842568025 0.0005088375393064525 0.000538240411969295 -0.05574472272975976 -0.00020631867312498743 -7.330707351297742e-06 1.0081307691292146e-07 -5.03495696992068e-07 1.3245755567664712e-07 -0.08540919509509518 2.0322321673396044 -0.04143189965674068 0.392600320047619 -0.22869350239466588 -0.0730278300653527 -0.050431443851533746 0.09369387491226563 -0.04672379748117834 0.11774697238820617 0.28915956029217643 -0.14051362614398089 -0.19398859572583296 0.24326574267216494 0.0140540991254438 -0.061940515689764726 -0.03082583633261471 -0.20019499029578908 -0.09920459801365142 0.28741879272146076 -0.0006559296604700217 0.0006988136572599886 -0.0005081206662656945 -0.0008314915574854847
PC_5 0.00875861880332921 8.293591703415773e-06 -0.00010345098948474256 0.021279767381862328 8.136886106751799e-05 1.4123492310770239e-06 -9.242808440902608e-09 3.298835450678562e-07 -4.657512602003238e-08 0.01649886101830402 -0.0414318996567401 2.74185851459934 -0.12818500704461497 -0.41668684426406566 -0.29784173615652193 0.4086601771499875 -0.015123759041938226 -0.2736351832484722 -0.04532376637422788 0.19327075449072165 -0.2432241867300735 0.03652210097863423 0.10094375656987024 -0.27155997376745816 -0.1964814697228544 0.013665358290240555 -0.020970164177087008 -0.216085654774027 0.3972370404927622 0.00016706878749322371 -0.0013358414943305903 0.0013516942445856786 0.0014763327449599485
PC_6 -0.059523656105824906 -0.00023854612273220465 3.747190106257831e-05 -0.14235608065835115 -0.0005110761141133705 -8.060789086472219e-06 8.512186865383983e-08 -1.4573469401564796e-06 3.3999703841744704e-07 0.15756061234417734 0.3926003200476174 -0.12818500704461427 3.5926029866891978 0.08983668795639956 0.4672344685517418 -0.352075819956643 0.3702530266021534 0.22770533161204426 -0.23277618448734616 -0.10036082522363732 0.533075594263605 -0.44065444109440727 0.22517468691582126 0.2462047579187141 -0.009225537073006993 -0.08072448617613644 -0.26296883803789 0.26451121786922177 -0.3355899558553072 -0.0003416192781871393 0.0005431287048971128 -0.0010095810185438644 0.0003493100498861245
PC_7 0.04267540398733699 1.2343852364378531e-05 -0.000821157522954359 0.09769741772470657 0.0004185791054653192 2.996807695909705e-05 -2.6557706527598215e-07 -9.07214857548563e-08 -2.49661329007862e-07 -0.02337322416095606 -0.22869350239466338 -0.4166868442640656 0.08983668795639894 4.660002871798647 0.20272888344781317 0.6072222044741549 -0.2539253218792891 0.46432113435437833 0.06560460923780145 -0.015258607548868623 -0.10922014474298558 -0.49285300291868284 -0.4262945443631653 0.6329469489601469 0.1648852965420152 0.07724627961747937 -0.2519071988165027 0.31808172375855603 -0.7472328790508473 0.00021650283139434514 0.0007455152819431991 -0.001831595110345832 0.001100261474529205
PC_8 0.008651629702716417 -0.00025211692940459624 -0.0006343592094022405 0.019913380124751152 9.4492377474799e-05 8.577094296485411e-06 -5.8044668182858215e-08 3.617637848655568e-07 -4.454322703612824e-08 0.04076498582858716 -0.07302783006535357 -0.2978417361565208 0.46723446855173845 0.20272888344781315 5.169436467838615 0.6380020791590233 -0.2607015715284621 0.09244811285246611 0.44045865922769134 -0.04871334774121974 -0.029652259087136836 0.24677836759869054 -0.3668290608073011 0.4117514933587659 0.46196954578009325 -0.10854704500196562 0.3169240553717887 0.392883910688292 -0.5166597995727014 -2.4593858728098612e-05 0.0019330761965744294 -0.003974643974355403 0.00031499868666408934
PC_9 0.07080888751326213 -9.748951720318588e-05 -0.0006162445728661071 0.1675840778730238 0.0006332716581734529 1.8657456310969205e-05 -1.9010534017660934e-07 1.2809768358625796e-06 -4.0366113626854454e-07 -0.0014269917480043727 -0.050431443851531615 0.40866017714998715 -0.35207581995664494 0.607222204474155 0.6380020791590195 6.798407607395557 0.3876298514682857 -0.05853096066306149 -0.4892748453686239 0.5151168222927893 -0.22849773269293555 -0.017931314742786336 -0.4023734166589742 0.41640359578600067 -0.5376815974393109 -0.15996471328638534 0.18397743909201245 -0.15698971212520077 0.38897174459051176 -0.0004978751199398732 0.0003300359403974273 0.0024067596477628855 -0.0011693939411682674
PC_10 0.06278677619987286 -2.983489675822234e-05 -0.0005150846420093886 0.1479813336361316 0.0005486650200291317 1.5512516534512557e-05 -1.4449338997165405e-07 1.160492703281782e-06 -3.5897193459737133e-07 -0.1114103913631062 0.09369387491226824 -0.015123759041940374 0.37025302660215165 -0.25392532187928735 -0.26070157152846557 0.3876298514682863 8.149645231522781 0.8465717968107371 -0.10738301356827988 -0.055007260013746784 -0.1957440091469618 -0.1418208647874316 0.25300474918494054 0.5062563631310489 0.5560713270900027 0.20097953368993973 0.1433900833423067 -0.3583768599739069 -0.49629532009674254 0.000544808820047403 0.00189940139132802 -0.0036404178147523727 0.0011741205629107916
