(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00108342725635386 0.000989321700618863 0.000281834432580503 -0.000445921340487875 -7.60441994697049e-05 4.2648767498338e-05 4.27676519049691e-06 -2.12404391640422e-05 2.32769783093017e-05 3.24499319161101e-05
covarage 0.000989321700618863 0.00258536508236657 0.00279220391628565 -0.00413690306820831 -3.12311099309874e-05 9.17252301935693e-05 -8.80143235788048e-07 -2.84058680528231e-05 -6.80950755577455e-06 6.17631083796126e-05
covarsex 0.000281834432580503 0.00279220391628565 0.00530613319604184 -0.00734884688640677 -1.01922361969401e-06 4.56493597706863e-05 -1.86599863788766e-05 -4.16591646292023e-05 0.000172605743215058 -7.94433775321615e-05
covarage_sex -0.000445921340487875 -0.00413690306820831 -0.00734884688640677 0.0110335818818849 1.17839404550786e-05 -3.77665078252067e-05 1.37468567300444e-05 5.61305234026192e-05 -0.000210911850222881 7.04909053074942e-05
covarPC_3 -7.60441994697049e-05 -3.12311099309874e-05 -1.01922361969401e-06 1.17839404550786e-05 0.000419604245503096 -1.9707692219527e-05 4.47058616897565e-06 -9.37883933085027e-06 1.81791394480411e-05 3.16120660438942e-05
covarPC_4 4.2648767498338e-05 9.17252301935693e-05 4.56493597706863e-05 -3.77665078252067e-05 -1.9707692219527e-05 0.000443697611437231 -1.2399719685254e-05 -1.7367964706405e-06 -2.13645456940625e-05 1.77716108992913e-05
proband 4.27676519049691e-06 -8.80143235788048e-07 -1.86599863788766e-05 1.37468567300444e-05 4.47058616897565e-06 -1.2399719685254e-05 0.000552308661180084 -0.000274593659878529 1.68782860447842e-05 -2.85934596990349e-05
paternal -2.12404391640422e-05 -2.84058680528231e-05 -4.16591646292023e-05 5.61305234026192e-05 -9.37883933085027e-06 -1.7367964706405e-06 -0.000274593659878529 0.0029533084994459 -0.00244485640404678 -0.00229026603500441
gpp 2.32769783093017e-05 -6.80950755577455e-06 0.000172605743215058 -0.000210911850222881 1.81791394480411e-05 -2.13645456940625e-05 1.68782860447842e-05 -0.00244485640404678 0.00985477251073731 -0.00510473869895149
gmp 3.24499319161101e-05 6.17631083796126e-05 -7.94433775321615e-05 7.04909053074942e-05 3.16120660438942e-05 1.77716108992913e-05 -2.85934596990349e-05 -0.00229026603500441 -0.00510473869895149 0.00965809456159892
