 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 1.7710853288111994e-05 2.708449651898545e-07 -5.0098237102417895e-06 -2.7231766547568866e-05 1.8070172172337105e-06 9.277230265434934e-08 -5.309868218936091e-10 -3.694222510225601e-08 2.358705883410635e-10 2.1420528078448233e-05 -3.5733835403551164e-05 3.3250323220892104e-06 -5.791911162112573e-05 1.134251176849229e-05 -8.251872751435411e-05 9.415741718756841e-05 -7.912265862886665e-05 -9.764300546513407e-06 -0.00011309538974931622 -2.838125157843686e-05 -8.090441140065294e-06 -9.848175877180047e-05 2.0628760139308187e-05 -4.5331602275204905e-05 1.6501915625509422e-06 2.2019733188447225e-05 -5.476866734624992e-05 -5.206830846279901e-05 7.666174309977135e-05 4.018269061556768e-06 4.363751627854398e-06 -5.153402324642711e-06 -6.39332325086452e-06
yob 2.708449651894808e-07 1.4537497396212736e-07 5.065424041390576e-07 2.566057066204975e-06 -1.993101731339715e-07 -6.591490220243802e-09 3.2988853125996394e-11 3.5206662755716137e-09 -1.7515635422926457e-11 3.388279811958122e-06 5.522245832148787e-06 -1.0671013884292228e-06 -1.0445138315955293e-05 -6.4887676673504795e-06 -1.7022233883724142e-06 2.409677112374132e-06 -3.4013971644300078e-06 7.122762190275407e-06 -3.443429032249586e-06 -6.6870032214317744e-06 9.648965621192084e-06 -7.357542867148946e-06 -2.2363614619690465e-06 1.1994707738819914e-05 4.40719439698267e-06 2.777200868868378e-07 -3.1160907355612958e-06 4.208319204484362e-06 -1.738326941573918e-05 2.9683802030778563e-08 1.0487237899996673e-08 -2.8210601243702945e-08 -2.5797295674183755e-08
age -5.00982371086875e-06 5.065424041255714e-07 8.315227841743405e-05 0.00125123334390599 -8.103688387250965e-05 -1.618679231543233e-06 9.86621182735978e-09 1.5882598038446978e-06 -9.696240029237648e-09 2.6796934268379842e-05 -5.978280443114497e-06 -1.1366660117690053e-07 -4.256450243211612e-05 -1.656366658619021e-05 5.8647047132112635e-05 2.99932474717936e-05 -5.333782569309089e-06 1.4895476357184996e-05 4.172389008688267e-05 -1.2936729800693803e-05 -9.2549559429165e-06 -2.3676680554220415e-05 -2.716306116217518e-05 3.705852732931699e-05 2.9205338125898346e-05 -3.382242596229084e-05 -5.620947462407187e-05 -3.182082853665816e-05 -3.135589872196018e-05 -2.4138882963898356e-07 -4.345415877405508e-07 -1.115839590620925e-06 1.3032374985213146e-06
sex -2.723176654930413e-05 2.5660570660678103e-06 0.0012512333439016303 0.034042762028380524 -0.002146381616244004 -2.397270683739438e-05 1.441467481917148e-07 4.135492075570315e-05 -2.4931709152266533e-07 5.043995426341599e-05 0.0003046498936189898 0.0002708213877102388 0.00024641290135318317 -7.591196725333782e-05 0.00029683989361645505 0.000720656925084015 -0.0001532483901077941 0.0005465658292948158 0.000677977065071271 -0.0002678066990414593 0.00024528133654978367 -0.0007194208264449467 -0.0001542622317383851 -1.5972822380011033e-05 0.0001461247016702945 0.0006875745007739808 -0.0006846232778568784 -0.0003113531067477698 -0.000802292104247601 -6.097006968556973e-06 -5.824962310009647e-06 -2.9267163551421788e-05 3.9702811838193026e-05
age_sex 1.8070172173978602e-06 -1.9931017312565487e-07 -8.103688387223936e-05 -0.0021463816162446666 0.00013939832671027797 1.5848814723324392e-06 -9.679207147120861e-09 -2.741480430737696e-06 1.678483229058542e-08 -5.285213274946827e-06 -1.3648855637826917e-05 -5.741114653797448e-06 -9.196433492819975e-06 1.7726191885800053e-06 -3.1959254114408976e-05 -4.378089722234263e-05 6.486480565265284e-06 -2.7628156414947204e-05 -4.5119169227299084e-05 1.977968600409273e-05 -1.7792290690068183e-05 4.730815118301132e-05 1.65861078958021e-05 1.6001475384012222e-06 -9.331077412726243e-06 -4.2692016072038066e-05 4.9779469815803935e-05 2.6340240538180623e-05 5.3982857818301166e-05 2.951848838461375e-07 4.0002401455509294e-07 1.5647908014789739e-06 -2.316417491542546e-06
age2 9.277230265645354e-08 -6.591490220143887e-09 -1.6186792315432878e-06 -2.397270683748479e-05 1.5848814723380862e-06 3.211229057741699e-08 -1.9859488115297677e-10 -3.1588485246575206e-08 1.955863581948114e-10 -3.628803443032537e-07 5.792152028340305e-07 1.7050947800574934e-07 6.6944895170941e-07 3.0375003716591256e-07 -1.2767406573736965e-06 -5.93853600571834e-07 -9.553902185889712e-08 9.626538282470255e-09 -1.0699212739800833e-06 -3.218518091829093e-08 3.824150339397765e-07 2.802007571425569e-07 6.919413526828689e-07 -3.9144353671063643e-07 -3.2518772323951473e-07 7.415123268577607e-07 1.041818976901452e-06 6.774597412989078e-07 3.310458139843925e-08 2.7993532460360257e-09 7.63691217406051e-09 1.746420284369905e-08 -2.226785959418804e-08
age3 -5.309868219109346e-10 3.298885312525473e-11 9.866211827360657e-09 1.44146748192303e-07 -9.679207147157689e-09 -1.985948811529886e-10 1.2436181557301673e-12 1.9558147496168943e-10 -1.225967724368051e-12 1.2310847882718388e-09 -4.927055020976854e-09 -1.9853401859952703e-09 -4.419025447403424e-09 -1.5405759962822767e-09 7.796668067349574e-09 3.695686356465082e-09 1.387904014702372e-09 -1.093806614366607e-09 7.255873624545507e-09 1.2614543257456216e-09 -2.7603558347101136e-09 -1.3409936077214674e-09 -5.658922719088433e-09 1.4746564283480862e-09 8.047953927241667e-10 -5.006440944348834e-09 -6.531222351103173e-09 -4.129459054968231e-09 1.9724595477972196e-09 -3.735971013550882e-12 -4.084075273542863e-11 -9.088080470409597e-11 1.2296419879073613e-10
age2_sex -3.694222510905751e-08 3.5206662753617443e-09 1.5882598038395529e-06 4.1354920755726605e-05 -2.741480430738377e-06 -3.158848524646762e-08 1.9558147496098646e-10 5.4817646418936925e-08 -3.4031366156967546e-10 1.0886051922256554e-07 1.6435493433477573e-07 -8.43160443160051e-08 1.046269738177908e-07 -8.577738053365202e-09 7.944841374657206e-07 8.117628339724871e-07 -6.530393314256852e-08 4.3083920583620457e-07 9.671139888501858e-07 -3.1302632577044836e-07 3.6702142534679736e-07 -9.122877869490668e-07 -4.781537127069497e-07 -7.285221610712972e-08 1.8989899396808023e-07 7.765282674408845e-07 -1.0625448453943672e-06 -5.910873777335873e-07 -1.027529673079143e-06 -4.373257725528325e-09 -8.130868980110624e-09 -2.616202523030879e-08 4.189331051516811e-08
age3_sex 2.358705883721312e-10 -1.751563542172991e-11 -9.69624002920715e-09 -2.493170915228658e-07 1.678483229059328e-08 1.9558635819417225e-10 -1.2259677243638646e-12 -3.403136615697476e-10 2.139350649639497e-12 -4.7721407552427e-10 -4.420826646924539e-10 1.5632080463374198e-09 -2.896229202192225e-10 2.293024926257218e-11 -5.623259586410143e-09 -4.610294406101679e-09 1.7188879648098275e-11 -2.152704912513341e-09 -6.53489494017036e-09 1.2817698960001053e-09 -2.309174105747419e-09 5.5149783065820025e-09 3.8134459536673986e-09 6.226761979569619e-10 -1.2674307196128422e-09 -4.3449627505389875e-09 6.988316081226187e-09 3.5741286393718805e-09 6.06525155317434e-09 1.8796271428999474e-11 5.0670397992387284e-11 1.3966193563068445e-10 -2.3985494386467725e-10
PC_3 2.142052807844235e-05 3.3882798119583364e-06 2.6796934268579545e-05 5.043995426870602e-05 -5.285213275300448e-06 -3.62880344307263e-07 1.2310847882968137e-09 1.0886051922967136e-07 -4.772140755685226e-10 0.03816913801991948 0.00048059973062646694 0.003250211129516915 -0.0009022713098606528 -0.007150463252967205 0.001866219513263745 0.005300666947647315 -0.005252828274768688 0.0002531721682995873 -0.0018036787379086556 0.00025551756989147513 0.007809237332115192 0.003436249088797853 -0.0018384382715812186 -0.01382953088960938 0.0029454922702998147 -0.0008502945353944546 0.004158713885666662 -0.0010290016235289337 0.006658419762913556 2.2250900093931967e-05 2.659792364361533e-05 -2.3644910919715464e-05 -2.7784094037674363e-05
