 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 0.00014742258481180694 -2.756125552171181e-07 3.5829447440211766e-05 0.0002490219745626414 -3.5649241971452434e-05 -1.3260170599136885e-06 1.4138788690503178e-08 1.313895417148773e-06 -1.4031507817861905e-08 -3.727363668718402e-05 -3.552772711158062e-05 -6.069242212380217e-05 -1.7997916441938647e-05 0.00013967444160437357 -0.00011197910233995024 -3.1062113046807634e-05 -5.986284092803294e-05 -7.897354703880753e-05 -8.69675247586969e-05 8.307637081450349e-06 -0.00012373774787316865 -5.392481535370632e-05 -5.3937181379632344e-05 -8.521627099171464e-05 -7.824325441948991e-05 -3.995800307877019e-05 -9.631359851025622e-05 -8.248550675361262e-05 0.00018329175160080504 -1.9938380425450043e-07
yob -2.7561255521901807e-07 1.940106659307185e-07 1.7924123086850822e-07 1.0220513977896453e-06 -1.3923417704774303e-07 -1.0975590795580826e-09 1.0666818265399987e-11 4.158052156864363e-09 -3.2053093086460734e-11 -2.773027896756553e-07 2.1405479399747394e-05 7.620406539383304e-06 -1.3514981936278773e-05 -4.5978746738473645e-06 -7.267870696318655e-06 -5.897321771169131e-07 -8.095377486131991e-06 1.2160995630395249e-05 -4.348434025660984e-06 -1.2353102624007394e-05 1.304240982195378e-05 -1.045554019068211e-05 -4.817009070026685e-06 1.8733668444366223e-05 7.645049805116784e-06 -2.002316306680165e-06 -2.2895004942877373e-06 1.1561669331479776e-05 -2.5183778709956763e-05 -8.597031314583963e-09
age 3.5829447440021014e-05 1.7924123086992607e-07 4.9141914566089496e-05 0.00044393149589708414 -4.862052320845199e-05 -1.436236297998713e-06 1.2324477178871865e-08 1.429943679101453e-06 -1.2290457074459187e-08 -9.432329745417192e-06 6.364078945145382e-06 -1.7231180695596e-05 -1.8686451832586594e-05 -2.2153088296288764e-05 4.689938469442288e-06 -7.967442620655697e-06 -1.5161133718133767e-05 -1.1094654283403289e-05 -1.0611942751036329e-05 -1.3454682826741935e-05 4.249145314714629e-06 -2.3650491147968174e-05 -9.81316736469289e-06 -3.994978279005245e-06 2.3625885072843267e-05 -4.5230877825772655e-05 -3.757214497918236e-05 -2.0736973273077155e-06 3.1751517272949336e-05 3.292296649436956e-07
sex 0.0002490219745591356 1.0220513978004092e-06 0.00044393149589548825 0.006393776871490959 -0.0005690244799530692 -1.2161565482596703e-05 9.996011377563072e-08 1.4781494583519677e-05 -1.1673785093482252e-07 -1.4750614855357373e-05 -0.00020653172351793787 -0.0002732135746969726 -2.033140559805317e-05 -0.000565433487329746 0.00014280858288182903 0.00011559843789728996 0.000102819064855577 -0.00018211788688059994 -0.00024619289302818965 -0.00018133288019016544 8.848394860043152e-05 -0.00041473935354074444 6.506318241397277e-05 -0.00011526750073057086 0.0001653226332636006 -0.0002825216767531011 -0.00026966731384877284 -6.445327713748614e-05 1.9628251318024763e-05 2.221567819185997e-06
age_sex -3.5649241971145334e-05 -1.3923417704917947e-07 -4.862052320836375e-05 -0.0005690244799539811 5.806518617659902e-05 1.4260024282587123e-06 -1.2252777887928858e-08 -1.6361137027058298e-06 1.365122430260712e-08 5.415057695613536e-07 1.0141893812668718e-05 2.643099495776768e-05 -5.087361601365981e-07 4.9644305039737855e-05 -2.568507276945997e-05 3.829897445680379e-06 -4.199425397654318e-06 2.3269638306881933e-05 1.3555604506861094e-05 2.5381748413802364e-05 -8.502150784155206e-06 3.7317094739112865e-05 -9.142302250518916e-06 1.2881743320444172e-05 -2.4622600437331205e-05 2.9629259930132313e-05 2.7550399388811254e-05 -1.2990156160726118e-06 -4.237978020978408e-06 -2.749349877707288e-07
age2 -1.3260170599088755e-06 -1.0975590796053403e-09 -1.4362362979999044e-06 -1.2161565482658064e-05 1.4260024282627902e-06 4.4180860912867596e-08 -3.9294973831577016e-10 -4.400551781307192e-08 3.9193146123762334e-10 1.94041194549173e-07 2.802449838708553e-07 6.495236091244728e-07 1.8467970926351506e-07 9.318829706323063e-07 -5.247800099844331e-07 3.780573001237368e-07 2.919031399412036e-07 6.842799646218768e-07 -1.0862266031080363e-07 4.207549141624746e-07 -2.59506952038391e-08 5.927457553451756e-07 1.1749603039593074e-07 3.819428708331154e-07 -6.748026583264011e-07 1.2231664351652393e-06 8.889265006371128e-07 -1.305172292545282e-07 -1.0095348278932598e-06 -8.770383985735533e-09
age3 1.413878869046647e-08 1.0666818265843912e-11 1.2324477178890369e-08 9.9960113776261e-08 -1.225277788797427e-08 -3.929497383160126e-10 3.5982250846273925e-12 3.917416384260329e-10 -3.591113752933973e-12 -1.6609055958261892e-09 -1.1737452922983157e-09 -5.4157416154327515e-09 -1.4828620795192955e-09 -8.637373336321186e-09 4.517101022295232e-09 -5.197404164290667e-09 -3.3530788382056728e-09 -6.406572520806534e-09 2.520770361677786e-09 -5.621306847763947e-09 5.082772092811461e-10 -5.772660816672337e-09 -1.225214458594894e-09 -2.020629056124641e-09 6.298224309613029e-09 -1.0421850788911815e-08 -7.23348323511529e-09 3.976594861308479e-09 5.894703570264333e-09 6.533112597819163e-11
age2_sex 1.3138954171412805e-06 4.1580521569119625e-09 1.4299436791006453e-06 1.4781494583565705e-05 -1.6361137027079186e-06 -4.4005517813006415e-08 3.9174163842518005e-10 4.880220990399696e-08 -4.2466934696889947e-10 5.1511922494492163e-08 -2.5061601631393392e-08 -6.814009859216771e-07 -3.889063320951055e-08 -1.4271677404060445e-06 8.095979546990452e-07 -3.855209143676345e-07 -1.5621002462257753e-07 -6.743558380584857e-07 -7.491057916120977e-08 -8.730953544090724e-07 2.9929838784569454e-07 -1.0325859304380387e-06 2.488696877499173e-07 -2.04659749046091e-07 9.76245066346919e-07 -9.161537158681706e-07 -7.54875545658414e-07 3.352551544129944e-07 -1.1663339617590449e-07 6.540684439707659e-09
age3_sex -1.4031507817808947e-08 -3.205309308691486e-11 -1.2290457074464221e-08 -1.1673785093534796e-07 1.3651224302639126e-08 3.9193146123742363e-10 -3.5911137529298493e-12 -4.246693469693112e-10 3.821610355684031e-12 -3.237487567976294e-10 -1.2197278797501137e-09 5.635469502038504e-09 2.9367981702284384e-10 1.1611121397197894e-08 -6.641490748592655e-09 5.788351473797777e-09 3.040476900771071e-09 6.0392271091919874e-09 -1.6331681455237401e-09 8.323823852007202e-09 -2.140679120881712e-09 8.290622719567035e-09 -1.6448951321645966e-09 4.954743140471264e-10 -9.130073314618199e-09 8.322253838832808e-09 6.366241462913488e-09 -5.127292995237948e-09 2.2177708735130582e-09 -4.464543606313748e-11
PC_3 -3.727363668725761e-05 -2.773027896758333e-07 -9.432329745489647e-06 -1.475061485606032e-05 5.415057696415333e-07 1.9404119455143332e-07 -1.6609055958465196e-09 5.1511922492052464e-08 -3.237487567760263e-10 0.04468801298231254 0.0009101598489522421 0.0017263986242601228 0.0018991319268333022 -0.005533348511468714 0.003330339414955988 0.006258904952674662 -0.005406347724964192 -0.002654221807108903 -0.0017885650341628245 0.004479238055982468 0.00673685454353627 0.00624979249440964 -0.004084927725822673 -0.015663718380110884 -0.0013469844037116336 -0.0017828413655547302 0.004561057872432811 -0.003372516057674423 0.010876107862851099 1.5132134362457192e-05
