 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.9700899710340543e-05 -1.1163881918639711e-07 -5.213408589246393e-07 8.809391553637066e-09 -3.305235067756126e-11 1.5007104287023713e-05 -2.7575637507027043e-05 -1.5150383081700133e-05 -7.175908237280153e-05 9.251438627371636e-05 -0.00012467840236879158 9.623890665491199e-05 -7.687015415228554e-05 -2.6611300797859145e-05 -0.00014363126320124308 4.7966491064897805e-05 -6.74234909119389e-05 -7.28562936563678e-05 -3.028917526257531e-05 -8.516707671572114e-05 -2.7774355496171958e-05 -1.1741051702564794e-05 -6.449700403449172e-05 -0.00014397070297767384 0.00015131241358712285 1.9589869221875594e-06 -2.2118045791873268e-06 -2.9911848326107767e-06
yob -1.1163881918637626e-07 2.1565386296184557e-07 3.568664506768171e-08 3.5585523122228296e-09 -2.466642523923286e-11 -2.6571189428065436e-07 2.2360240150970283e-05 8.486621817833262e-06 -1.545792107317229e-05 -5.755120475540386e-06 -6.895118264838794e-06 -8.147031691158953e-08 -9.605711954919248e-06 1.2428454648027676e-05 -5.375729775694078e-06 -1.366343588173027e-05 1.5682550977523256e-05 -1.1565689882214213e-05 -6.24006538282638e-06 2.1116499611417263e-05 7.580234756793107e-06 -1.9321092438030684e-06 -1.7796300528570318e-06 1.2411256123181542e-05 -2.692230262395207e-05 1.997118090375496e-08 -3.630775750088069e-08 -4.2983930097976394e-08
age -5.213408589247752e-07 3.5686645067638496e-08 1.0172455963645072e-05 -2.2063815798223577e-07 1.4590537543195318e-09 -1.0361435883045926e-05 1.7121098869471293e-05 9.644478248346484e-06 -1.98929299519831e-05 3.361552044907651e-05 -2.4110065359838287e-05 -7.52960079517717e-06 -2.3909036896452464e-05 1.2713803278778303e-05 3.6771944048641097e-06 1.7032896456097277e-05 -6.206531098102702e-06 1.843310400280793e-05 -2.0730222197604168e-05 9.632116572208084e-06 -1.2821257869940068e-06 -1.993213130432799e-05 -1.0076364727165881e-05 -4.589136998787548e-06 3.400253027169308e-05 2.156814385371443e-07 -9.97125835840978e-08 -2.0657215003657816e-07
age2 8.809391553635548e-09 3.558552312223892e-09 -2.2063815798223199e-07 5.06852938014432e-09 -3.456474920489321e-11 2.8410565268481e-07 2.859411487779949e-07 -2.3465422309301917e-08 1.2122273620467905e-07 -6.18292505535951e-07 3.617826185175292e-07 5.736518772090465e-08 1.8696091493200563e-07 8.57339222683864e-09 -2.2126186449261279e-07 -5.837415623970649e-07 3.532285762224008e-07 -5.560695168534415e-07 3.8735626146480736e-07 2.0506677386876407e-07 3.352673698886703e-07 3.9079110306028116e-07 1.46523032084114e-07 2.2424692787979132e-07 -1.3024038265222413e-06 -5.143422007041736e-09 1.765692247833022e-09 2.9592416471790944e-09
age3 -3.305235067763361e-11 -2.4666425239239424e-11 1.4590537543194935e-09 -3.4564749204892886e-11 2.4163491532069024e-13 -2.2849308720097133e-09 -2.6948775334039753e-09 1.6888759126112139e-10 -1.0514250999626406e-09 3.72874524493885e-09 -2.681121729182567e-09 2.537547759364841e-10 -5.50874367067519e-10 -3.920379631008139e-10 1.1035633842886012e-09 3.5741670178209633e-09 -2.1108734799965006e-09 3.243482922089318e-09 -3.0819387701298242e-09 -1.7387870287448013e-09 -3.2285887345964473e-09 -2.5915228864052447e-09 -9.853714379783115e-10 -1.2016305819815542e-09 9.348837426847885e-09 3.657051950831972e-11 -1.0753141544030705e-11 -1.137411647295873e-11
PC_3 1.5007104287023889e-05 -2.657118942806122e-07 -1.0361435883044876e-05 2.8410565268478974e-07 -2.2849308720095855e-09 0.04938911779000031 0.0014998720183536688 0.002327093428597819 0.0010293534151680362 -0.006932968384524697 0.0033915958950332162 0.008095446604906383 -0.006053489855836774 -0.0020828071420377096 -0.001831779197617398 0.003743064566495357 0.008054655431493822 0.006123222092610186 -0.004214930137670715 -0.016918726215176438 -0.000505964938564174 -0.0015326758550579331 0.004741347469478706 -0.003160656985895194 0.010815331609590004 2.0205926968018224e-05 5.574652644008333e-07 -1.025612808183929e-05
PC_4 -2.7575637507026338e-05 2.236024015097029e-05 1.7121098869477164e-05 2.85941148777861e-07 -2.694877533403075e-09 0.0014998720183536753 0.17100499727967072 -0.008112864015747154 0.009011569506692393 -0.010183212651050665 -0.000538849487724909 -0.005127876626267266 -0.0015912846178689028 -0.014011162337887446 0.0037851832652295685 0.00932822437116481 -0.019102691105398542 -0.01083555432315372 0.013209649683341653 0.010538875766996664 -0.00492544675745775 0.005718502604948743 -0.005526984390300216 -0.0005134531522686521 0.00799477133222162 2.61297319273939e-07 -6.117568068825452e-05 -5.987496712110637e-05
PC_5 -1.5150383081699773e-05 8.486621817833226e-06 9.64447824834809e-06 -2.3465422309339583e-08 1.6888759126138322e-10 0.00232709342859782 -0.008112864015747156 0.2234734604467025 -0.003788472151344032 -0.006972867483278531 0.0006338373844415507 0.005268784462463515 -0.015054885952681858 -0.0015817682963021947 -0.017570334247375575 -0.012678502145193645 0.00048688605320302956 -0.016561602992214496 0.013370660949213012 -0.025667102188332833 0.006733173126385417 0.0044359177590205185 0.00039073666065526675 -0.004517313122707006 0.016939058217602984 -2.42300406316063e-06 1.7342054112793576e-05 1.953972226779383e-05
PC_6 -7.175908237280086e-05 -1.545792107317216e-05 -1.9892929951989884e-05 1.2122273620483935e-07 -1.0514250999637526e-09 0.0010293534151680423 0.009011569506692381 -0.003788472151344038 0.2778796730642068 0.0034305941168767677 0.014110941053057803 -0.013907418907702128 -0.008991613215352945 0.007024528526334912 -0.014238180126458855 -0.0009488868035107928 -0.0003332746312767228 -0.024124190125082597 0.013962171535733661 0.02882206393129501 -0.007727934692930147 -0.00022975474025572435 -0.008816187269609291 -0.0025954840375589797 -0.01324041660589288 -1.0460267603536406e-05 -9.81645362407952e-07 -1.745281304676262e-05
PC_7 9.251438627371449e-05 -5.755120475540561e-06 3.361552044908129e-05 -6.182925055360733e-07 3.728745244939723e-09 -0.0069329683845247 -0.01018321265105066 -0.0069728674832785316 0.003430594116876782 0.34753486400609 0.014624875616281433 -0.0009064180548952046 -0.01591192380502133 0.01950602733170635 0.004977167410438249 0.03195394710488648 0.010900621498905931 -0.036958285710893705 -0.025446051621572957 0.028094229163756375 -0.009535409843409911 -0.011506956759851252 0.0002755913415384207 0.009979804934913362 -0.01693534081258149 -1.2903294088047185e-05 5.5221819443007534e-05 5.999333048822224e-05
