(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000487354233528424 2.92153723640397e-05 -3.96000518498656e-05 -1.02759722742415e-05 1.64539347240346e-05 -1.85392389102698e-06 1.92228516690227e-05 4.59518228452385e-05 -5.48607803759175e-05 -7.27666171972203e-05
covarage 2.92153723640397e-05 0.000399504903166938 0.000566656391694272 -0.000621935078318153 -5.71964962323632e-06 1.45347406510135e-05 1.81313264999972e-07 3.44202337333754e-06 -1.18846600977049e-05 4.53240887838429e-06
covarsex -3.96000518498656e-05 0.000566656391694272 0.00142859537841448 -0.00141085437692866 -5.73662239759256e-06 1.66126298448953e-06 3.34115229992908e-06 5.29586484174227e-06 -1.32710222436858e-05 5.60401996153776e-06
covarage_sex -1.02759722742415e-05 -0.000621935078318153 -0.00141085437692866 0.00155695160512297 8.56005197194986e-06 -1.07243491272265e-06 -3.22992528516671e-06 -5.60094357737348e-06 1.36398725725808e-05 -5.10148159964638e-06
covarPC_3 1.64539347240346e-05 -5.71964962323632e-06 -5.73662239759256e-06 8.56005197194986e-06 0.000141156692468393 3.36173284932322e-06 4.3329638207409e-06 4.72539332418693e-06 -3.45461342838512e-06 -4.91998950691484e-06
covarPC_4 -1.85392389102698e-06 1.45347406510135e-05 1.66126298448953e-06 -1.07243491272265e-06 3.36173284932322e-06 0.000148515568293745 7.09352182170032e-07 1.42373572403865e-06 -6.52584918868084e-06 -6.56728397000313e-06
proband 1.92228516690227e-05 1.81313264999972e-07 3.34115229992908e-06 -3.22992528516671e-06 4.3329638207409e-06 7.09352182170032e-07 0.000457401799738206 0.000203362889048632 -0.000405891320198659 -0.000399683945512545
sibling 4.59518228452385e-05 3.44202337333754e-06 5.29586484174227e-06 -5.60094357737348e-06 4.72539332418693e-06 1.42373572403865e-06 0.000203362889048632 0.000543788425623939 -0.000459549247073439 -0.000453514071821428
paternal -5.48607803759175e-05 -1.18846600977049e-05 -1.32710222436858e-05 1.36398725725808e-05 -3.45461342838512e-06 -6.52584918868084e-06 -0.000405891320198659 -0.000459549247073439 0.00120294309292205 2.35286576934184e-05
maternal -7.27666171972203e-05 4.53240887838429e-06 5.60401996153776e-06 -5.10148159964638e-06 -4.91998950691484e-06 -6.56728397000313e-06 -0.000399683945512545 -0.000453514071821428 2.35286576934184e-05 0.00119211538095125
