(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.00664270584489875 0.0059060721087275 0.00148227104739347 -0.00235892828411472 -0.000488663241949187 1.11300618689648e-05 -4.92561858866526e-05 -0.000159805032110237 8.49204079994036e-06 0.000341788488982805 3.0986574192051e-06 -0.000274531673297235 -0.000287437329280641
covarage 0.0059060721087275 0.0134424680277669 0.013644110397762 -0.0214379568808944 -0.000177504404645117 0.000306317626793721 3.91722128255866e-05 -0.000171792653665221 -0.000396072367466138 0.00015359097972266 -3.78548655818978e-06 7.866813168363e-05 0.000358401202718327
covarsex 0.00148227104739347 0.013644110397762 0.0244685228986526 -0.0361644805976585 -7.11273262696169e-05 0.000129645369075116 0.000103717324737258 -2.64627569910631e-07 -0.000252042289369451 -0.000451754894499571 0.000117091822571548 0.000323096619129204 0.000178244373673307
covarage_sex -0.00235892828411472 -0.0214379568808944 -0.0361644805976585 0.0576619828715266 3.91202791387774e-05 -2.74376780261924e-05 -0.000305162876678588 -0.000111792559768691 0.000297737200026947 0.00073608721114443 -0.000161496377503925 -0.000233494131146608 -0.000273758523579061
covarPC_3 -0.000488663241949187 -0.000177504404645117 -7.11273262696169e-05 3.91202791387774e-05 0.00181881266876113 -0.000247967658795636 3.60066677146972e-05 8.26157826232726e-05 0.000339049794900913 -5.56931749686589e-05 -0.000180127346870736 -0.000393682907560969 -0.000146758037904144
covarPC_4 1.11300618689648e-05 0.000306317626793721 0.000129645369075116 -2.74376780261924e-05 -0.000247967658795636 0.00174826205692786 1.08333206511093e-05 -2.22043976705562e-05 -1.29707579426149e-05 3.09093109077606e-05 -1.29484247232363e-05 9.89282058804422e-05 -9.95583798920022e-05
proband -4.92561858866526e-05 3.91722128255866e-05 0.000103717324737258 -0.000305162876678588 3.60066677146972e-05 1.08333206511093e-05 0.00387979512308761 -0.00183065320296141 -0.00178507752582416 -0.000438345221448282 0.000421116299516912 -6.53124208717813e-05 -8.17746504730892e-05
paternal -0.000159805032110237 -0.000171792653665221 -2.64627569910631e-07 -0.000111792559768691 8.26157826232726e-05 -2.22043976705562e-05 -0.00183065320296141 0.012998530846164 0.000757835082662944 -0.00949711180051933 -0.00912634537466181 -0.000500411963605027 0.000352352060235404
maternal 8.49204079994036e-06 -0.000396072367466138 -0.000252042289369451 0.000297737200026947 0.000339049794900913 -1.29707579426149e-05 -0.00178507752582416 0.000757835082662944 0.0129470154423561 0.000837271306617027 -0.000826781813164788 -0.00892956111657106 -0.00993656972599132
gpp 0.000341788488982805 0.00015359097972266 -0.000451754894499571 0.00073608721114443 -5.56931749686589e-05 3.09093109077606e-05 -0.000438345221448282 -0.00949711180051933 0.000837271306617027 0.0400694684041183 -0.0225575140736069 4.85413385522922e-05 -0.0014408735624724
gpm 3.0986574192051e-06 -3.78548655818978e-06 0.000117091822571548 -0.000161496377503925 -0.000180127346870736 -1.29484247232363e-05 0.000421116299516912 -0.00912634537466181 -0.000826781813164788 -0.0225575140736069 0.0386315279549553 0.000616745502777028 0.00072649050446356
gmp -0.000274531673297235 7.866813168363e-05 0.000323096619129204 -0.000233494131146608 -0.000393682907560969 9.89282058804422e-05 -6.53124208717813e-05 -0.000500411963605027 -0.00892956111657106 4.85413385522922e-05 0.000616745502777028 0.0311307130143329 -0.0145344393984035
gmm -0.000287437329280641 0.000358401202718327 0.000178244373673307 -0.000273758523579061 -0.000146758037904144 -9.95583798920022e-05 -8.17746504730892e-05 0.000352352060235404 -0.00993656972599132 -0.0014408735624724 0.00072649050446356 -0.0145344393984035 0.0330301906333551
