 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.3665071835392957e-05 -3.249666816767741e-08 -3.346023071264523e-06 -1.0520295359339682e-05 6.604120329203852e-07 6.486883227147673e-08 -3.8164257083210824e-10 -1.3463729024367615e-08 8.609526631335034e-11 1.6939368738329504e-06 3.9369402146355076e-06 -1.6165845341739851e-06 -4.170809913747972e-05 7.141670667160682e-05 -8.962863937086337e-05 5.304613656430119e-05 -4.9097694173639565e-05 -1.5157343861260943e-05 -9.226870741737153e-05 -3.494231453588033e-06 -3.301792637502762e-05 -5.2672827044472817e-05 2.0921560792023215e-06 -4.700116322656214e-05 -1.307727464815572e-05 6.380960648904676e-06 -4.744313279023706e-05 -6.032643826100673e-05 9.073070192037341e-05 -1.3424154259206446e-06 1.2785787969879687e-06 1.8326098267696767e-06
yob -3.249666816764591e-08 1.0911229707414112e-07 2.146876662494217e-07 7.280077036634899e-07 -6.620199424460345e-08 -1.6026524393298817e-09 4.3177308016897204e-12 1.0820228465937267e-09 -4.350332467910921e-12 7.209048471542908e-07 7.929979255347104e-06 6.191425353521209e-07 -7.140264183751587e-06 -2.5676968846438176e-06 -3.244784480017427e-06 -1.171459166261927e-08 -2.938145785244948e-06 5.0960054800370666e-06 -1.1026352950331934e-06 -4.463356566701152e-06 6.645984028759389e-06 -5.452842867178125e-06 -2.861183073537922e-06 9.035215710291395e-06 3.3570364165242217e-06 -4.74371540098218e-08 -2.0815899683498984e-06 3.7752423571583876e-06 -1.2508485376540815e-05 -2.37577914728005e-08 1.505485912535254e-08 3.270859070908426e-08
age -3.346023071254276e-06 2.1468766625004516e-07 3.8619076692351e-05 0.0005517249496517631 -3.6606442190923304e-05 -7.686096525566872e-07 4.774564785784594e-09 7.336470269269783e-07 -4.567468025781867e-09 1.6253187273077728e-06 4.493491759866164e-06 -2.599721205077089e-06 -2.7862696884800235e-05 5.652611282354853e-06 9.455017179928936e-06 8.018359265469223e-06 -1.5243810129445234e-05 6.399275976322728e-06 1.2244152837948613e-05 -2.7509567599047814e-07 -7.999576147620085e-06 -7.586266266679477e-06 -2.0533644104575856e-05 1.1840562286964189e-05 1.3306732665643855e-05 -9.903481048700224e-06 -3.1915416080181053e-05 -1.8794808807762803e-05 -9.313420960350515e-06 2.028907143614703e-09 9.538742979816903e-08 5.862223334652372e-09
sex -1.0520295358281324e-05 7.280077036592989e-07 0.0005517249496507128 0.014908473780877876 -0.0009591381296322629 -1.0769278526001587e-05 6.581368934838114e-08 1.8842395652578327e-05 -1.1557681477929279e-07 -5.534730706163057e-05 7.662397964597459e-05 -1.1904731911640676e-05 1.815224136839052e-05 2.5292178870159672e-05 0.00014723483514783407 0.00019033109007763246 -0.00026131990984972864 0.0002001866247209679 0.0003200694215203386 -0.0001855012509849609 -7.439859028876822e-05 -7.402657728364042e-05 8.381103136539593e-05 -2.8898158996953295e-05 0.00039650841067847376 0.0002816017597760638 -0.0003175281859203587 -7.127042953408529e-05 -0.00032610622992398285 1.943221230075523e-06 1.3668112871006044e-06 -3.7782994082976824e-06
age_sex 6.604120328707387e-07 -6.620199424491474e-08 -3.660644219087591e-05 -0.0009591381296328191 6.377983019844349e-05 7.324710520957888e-07 -4.5619929204192355e-09 -1.282954445506226e-06 8.012884472597394e-09 2.4715913284830994e-06 1.6716320100537075e-06 7.643443926148999e-06 -8.236348971977702e-07 -2.5707167502510396e-06 -1.4795127715588293e-05 -1.1290796859300801e-05 1.2258547931714354e-05 -1.0128339088658548e-05 -2.352412189810716e-05 9.8018252909753e-06 3.839068658208193e-06 5.332050838049171e-06 -1.495765815476015e-06 5.633073018215117e-06 -2.2105341547429708e-05 -2.069787430535086e-05 2.389549242676876e-05 6.535343771550706e-06 1.690228158995185e-05 -6.427143527078801e-08 -3.3865332963392496e-08 2.445446781388141e-07
age2 6.486883227058228e-08 -1.6026524393183959e-09 -7.686096525569203e-07 -1.0769278526028741e-05 7.324710520971481e-07 1.568984666543925e-08 -9.931879491548491e-11 -1.4991438547226985e-08 9.500366867696433e-11 3.53971565973214e-08 2.902679719402262e-07 1.7336528176920164e-07 3.8956030515690544e-07 -8.028544908100029e-08 -3.4245159507126677e-07 -1.813769167000686e-07 1.1060033871538573e-07 5.067241293311759e-08 -3.869445847119515e-07 -1.968151353971571e-07 2.8168980295954407e-07 -2.587950129726581e-08 4.443180596493722e-07 4.279633599603439e-08 -7.28794360136923e-08 1.9646732050403016e-07 5.640983158540219e-07 4.4234198771130194e-07 -2.470653839562353e-07 8.067692843346463e-10 -9.395459897453552e-10 4.1892246332365666e-10
age3 -3.816425708287389e-10 4.317730801669827e-12 4.774564785787332e-09 6.581368934858237e-08 -4.561992920429835e-09 -9.931879491551028e-11 6.388255074153739e-13 9.498615239109235e-11 -6.112787361662959e-13 -6.738649842019415e-10 -2.8623913203405384e-09 -1.5868738289289324e-09 -2.3630649286764934e-09 4.753596245802793e-10 2.376431931862596e-09 1.2452637613354232e-09 -4.2683872557391695e-11 -8.499452768312243e-10 2.8191128109288975e-09 1.9104139522596827e-09 -1.9047751372971158e-09 5.595543698737885e-10 -3.3322446729292525e-09 -1.0767616749184818e-09 -3.5741487965810137e-10 -1.2714232860365311e-09 -3.3388564473299494e-09 -2.7605713469260787e-09 2.996964371153364e-09 -1.1166054311864481e-11 2.0324732353676596e-12 -5.605339931947187e-12
age2_sex -1.3463729023991002e-08 1.0820228466023768e-09 7.336470269264139e-07 1.884239565259929e-05 -1.2829544455068769e-06 -1.4991438547207546e-08 9.49861523909284e-11 2.6324416037653726e-08 -1.671795083472687e-10 -3.9916706184758246e-08 -1.2332618377835634e-07 -2.47515570384926e-07 1.4576633881725929e-08 5.059105683201125e-08 3.8103907912224546e-07 2.1892897883611209e-07 -1.9118867152028075e-07 1.6598141467865164e-07 5.307533887365327e-07 -1.02817753945498e-07 -6.3219558923886e-08 -9.144151026355958e-08 -5.954511477404174e-08 -2.0616531383958826e-07 3.915372778984095e-07 4.1839145339478147e-07 -4.919673848390571e-07 -1.4964513393722345e-07 -2.4256914905784633e-07 6.074977470535605e-10 -4.472975570228668e-11 -4.697370644687048e-09
age3_sex 8.609526630540339e-11 -4.350332467883604e-12 -4.567468025780488e-09 -1.1557681477947726e-07 8.012884472605037e-09 9.500366867688631e-11 -6.11278736165543e-13 -1.6717950834734067e-10 1.0778366059447225e-12 3.1083857957009295e-10 1.188134459761135e-09 2.007379398849281e-09 -8.176156660063701e-11 -2.603634261346677e-10 -2.809444098383114e-09 -1.3044972801903199e-09 9.799667228707607e-10 -9.038392256584111e-10 -3.7010572180080635e-09 8.476767261028497e-11 3.212215103607154e-10 4.666819334496424e-10 8.822858588484445e-10 1.7682513954099992e-09 -2.250567819369131e-09 -2.5531790443290947e-09 3.037888752294562e-09 8.634679556034162e-10 1.038358411113785e-09 -1.3151766537474767e-13 2.9596766513040735e-12 2.7942863831085423e-11
PC_3 1.6939368738311899e-06 7.209048471542856e-07 1.6253187273094637e-06 -5.534730706173082e-05 2.4715913284883065e-06 3.539715659727061e-08 -6.738649842015347e-10 -3.991670618483709e-08 3.1083857957044176e-10 0.033587716949967115 0.0010073251481634686 0.0016428625089013184 -0.00018786857224563057 -0.005216841648393874 0.0026185138523425384 0.004304187731606667 -0.005134310522673616 -0.0008115475152185864 -0.0016019685555939574 0.0013439740232336593 0.005989815114190103 0.003554976714249983 -0.002255780191046258 -0.011447392725432144 0.00039990187357083707 -0.0011199446344129598 0.003970256004816604 -0.0010066657220014776 0.005903790139616604 -5.923437600442953e-06 1.3619943677701123e-05 1.5446138310465044e-05
