 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.005085620524823882 -5.962950049014026e-06 0.0008395465334143043 0.0010542493105443003 -0.0001578328959994639 -2.8667947567050586e-05 2.9689789076156927e-07 6.2801422030487765e-06 -7.095938832771259e-08 -0.0014012955330396895 -0.00011567499467166341 -0.0011820546872862397 0.001310922399828506 -0.0008226313132784634 -0.0002878724374658479 0.002007957908419387 -4.868344212391575e-05 -0.0005966435976414356 -0.00100111359866674 -7.594140699782883e-05 -0.0021734036981008163 -0.0009549465397390626 -0.003125996187410134 -0.00110123053196732 -0.0019044895761109832 -0.0019281015234807618 -0.0011327307201379852 0.005425858845041362 0.0038222068755394156 -1.685630984011561e-05 -1.1101700743651962e-05 -2.3613129509748224e-05 -2.965269268377783e-06 8.077919452286976e-06 2.2475019207893987e-05 5.961706996771668e-05
yob -5.962950049017078e-06 1.228901958214536e-06 -3.7297404747289574e-07 9.414737978233961e-07 -3.385932304628331e-07 3.73016306302041e-08 -3.625729782744649e-10 6.540161663525616e-09 -8.467655007303633e-12 8.551520973491772e-06 0.0002049663252135343 3.634239319024647e-05 -0.00014637975111184948 7.639477417943771e-05 -0.00017021898307723846 -2.570866864713928e-05 -7.47070148581835e-05 0.00014887594081931167 -4.41323552598984e-05 -0.0001173420136860018 9.299164159712624e-05 -8.891851136942112e-05 -2.320934644407177e-05 8.61911692401394e-05 7.15779257306031e-05 -3.3937326486153444e-05 -5.6817650303800475e-05 2.3726573811289526e-05 -0.0001549145313730075 1.6576976610715717e-08 -6.949665667162518e-07 -7.850843673398611e-08 3.1750603635261337e-07 9.947127474204762e-07 -5.172906516376521e-07 1.2200801678024085e-07
age 0.0008395465334143355 -3.7297404748324643e-07 0.0005290060829580674 0.005391233796574718 -0.0005260731301577425 -1.5680636460861694e-05 1.433800118743048e-07 1.5585662754083626e-05 -1.4253781508233644e-07 -0.0003079318001621883 6.87868457489673e-05 -0.0003329025816569931 0.00011208783272337516 -0.0008755529509225314 0.0005029118941661895 0.00037896079466557533 -6.058467875964207e-05 -0.0001975700990000093 0.0008234726338333024 0.0005827801446106383 -0.0005078416619395971 8.186272290851029e-07 1.8630142946564355e-05 -0.0003893171434902538 0.0007821083223874742 -0.00043938758569986335 -0.0008249863246374669 0.001043608587808636 0.001204457893629954 -4.5491686476160884e-06 2.2958333419102595e-06 -9.741744699795912e-07 -2.5572113672686635e-07 -9.257032608254021e-06 3.9546302132414534e-07 -3.350282692001122e-06
sex 0.0010542493105424277 9.414737978449831e-07 0.005391233796577535 0.11132625945829527 -0.010165682951404884 -0.0001544349273090798 1.3764261066378475e-06 0.00028636610974005345 -2.5193365908478488e-06 -0.001875045261949119 0.006589931395422495 0.0015573633456375919 -0.008533199928753687 -0.011821233272165884 0.004478898102507308 0.00915247098926679 -0.0005321458435557361 -0.002437088486030801 0.0088480173712476 0.01020448812635318 -0.007745910368660944 -0.004173345777931928 -0.0011849886057538675 -0.02278097923380934 0.007444370945464916 -0.002855227195776403 0.004741870603069344 0.00021832814380827096 0.00758117198208326 3.122755815683057e-05 1.1997445682319143e-05 2.0506963670620613e-05 7.86853412887759e-05 -0.00019579124438319853 2.1769334275195497e-05 -0.00016758511802227263
age_sex -0.00015783289599934148 -3.3859323044792143e-07 -0.0005260731301579651 -0.010165682951404496 0.0009676891358523966 1.5585504510067445e-05 -1.4258220832518898e-07 -2.816502841743221e-05 2.5423588901738873e-07 0.00013529996978014404 -0.0006660603243687713 -0.00023489274312657593 0.0008419240812385707 0.0010827118144076191 -0.00047890861725565377 -0.0009490347171420359 0.00018088712069465207 0.00034162207859002287 -0.0008398048887720401 -0.0008890532565446049 0.0004211725822184999 0.00029606381862485193 0.0002030918496119271 0.0021078377958821167 -0.0005541729625942065 0.0006968476895607437 -0.00030527864335316 -0.0001607619171345702 -0.0008156904722854463 -1.7508751659472302e-06 6.672224817454514e-07 -4.720694636508328e-06 -3.0791176357467616e-06 1.1375966891873531e-05 2.17255365962144e-06 1.3827888729375162e-05
age2 -2.8667947567037308e-05 3.730163062944158e-08 -1.5680636460861504e-05 -0.00015443492730899772 1.5585504510060784e-05 4.792989953728806e-07 -4.489851278988223e-09 -4.7559429906089486e-07 4.456297081457181e-09 8.303976219508285e-06 2.3108693261236207e-07 8.855357233997021e-06 -6.011631468470284e-06 2.9743290209197503e-05 -1.849255011118301e-05 -1.395481936134444e-05 -9.485946289908346e-07 8.212648121807144e-06 -2.6060578773454762e-05 -1.8313427197628816e-05 1.3963882827024031e-05 -2.9595755063293534e-06 2.5540267401199967e-06 1.3681190639274381e-05 -1.2431569746735959e-05 2.0297837504761772e-05 1.8369697878058842e-05 -3.691315088955828e-05 -3.610903030935653e-05 1.3262067400635387e-07 -7.148345306498078e-08 -2.7005059533895072e-08 8.818753298114688e-08 2.0332817102837986e-07 8.560812449806467e-08 2.0492931242487184e-08
age3 2.9689789076153004e-07 -3.625729782769084e-10 1.4338001187429943e-07 1.376426106637148e-06 -1.4258220832513274e-07 -4.4898512789881894e-09 4.2948464182188736e-11 4.456630328963606e-09 -4.263903715341018e-11 -7.149818116649711e-08 2.2791499703597426e-08 -7.270516495207299e-08 4.779345944374871e-08 -2.7928200524123765e-07 1.638198498280152e-07 1.5098516822688751e-07 1.8535248932795887e-08 -6.206586787805999e-08 2.3290318034028098e-07 1.553689426610095e-07 -1.1231480872676788e-07 3.062098469567042e-08 -6.632001032563929e-08 -1.3847459612294232e-07 4.976084049414958e-08 -2.4500756139781685e-07 -1.3233382277021591e-07 3.8714614175404964e-07 3.294528778614931e-07 -1.2238564881434304e-09 7.644107036156901e-10 7.06049908689062e-10 -1.3130237846405585e-09 -1.4897345936931275e-09 -1.4888292130752697e-09 2.6783267315645613e-10
age2_sex 6.280142203050806e-06 6.540161662470621e-09 1.5585662754088694e-05 0.00028636610974003024 -2.8165028417431134e-05 -4.755942990610449e-07 4.456630328964821e-09 8.435611785274371e-07 -7.798337490058384e-09 -3.045557161192417e-06 2.081838292825122e-05 8.43908527667413e-06 -2.4194212190949692e-05 -3.128965997604902e-05 1.5858314956807328e-05 3.001308747112926e-05 -6.799704345547071e-06 -1.0787964593228461e-05 2.4520959768038186e-05 2.4551154573953063e-05 -6.4213577890570385e-06 -4.723479095958034e-06 -7.593686496424967e-06 -5.9022034778047384e-05 1.1734752342451084e-05 -3.07172646946994e-05 6.821526880062737e-06 7.910374687990016e-06 2.7340373724334566e-05 3.2920083639690826e-08 -3.639380712245246e-08 2.095468150058965e-07 2.362352316273633e-08 -2.2258336660472878e-07 -1.8021109110849683e-07 -3.598198713146027e-07
age3_sex -7.095938832755684e-08 -8.467655013275747e-12 -1.425378150823791e-07 -2.5193365908475485e-06 2.542358890173706e-07 4.456297081458301e-09 -4.263903715341896e-11 -7.79833749005814e-09 7.363088318477724e-11 1.8674378975265858e-08 -1.9767832630396452e-07 -8.17022598721933e-08 2.0796883752176485e-07 2.87068995441459e-07 -1.5900296966563198e-07 -2.8832310138080955e-07 6.340400054702201e-08 9.217797180832285e-08 -2.23388263882615e-07 -2.1208314618362722e-07 2.308122228951377e-08 1.2203586739438875e-08 8.16509526629232e-08 5.186608482992887e-07 -7.076263001520614e-08 3.4469254862353047e-07 -5.5427174674914754e-08 -1.0399355504938306e-07 -2.925328367230063e-07 -1.3306825232238319e-10 2.9332726504995284e-10 -2.3972837822880454e-09 1.4617340907379691e-10 1.4844375671270456e-09 2.43796253218697e-09 2.966800510663364e-09
PC_3 -0.0014012955330400738 8.551520973492506e-06 -0.00030793180016186337 -0.0018750452619396873 0.0001352999697792748 8.303976219499225e-06 -7.149818116641814e-08 -3.045557161167862e-06 1.867437897504989e-08 0.27091435471073294 -0.04127433256380592 0.013522082074319377 0.03890516299457476 0.015737182522221185 0.009488960084728684 0.024264793166068038 -0.051025257763813475 -0.02935953163016385 -0.02912304845907828 0.055657032153389574 0.008740388939466586 0.0826574563742475 0.014077695870241698 -0.1553823606259418 -0.04287365240137629 -0.0213706616253831 0.04093913208777563 -0.04839717093141859 0.10787931222942375 -7.730775455238315e-05 -8.186606919464171e-05 -0.0004335725781947828 -0.00018983637343946978 0.00043305762250861555 0.000746610562538214 0.00020733824662117175
