 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0002546555016742007 -9.02526816061033e-07 6.206572618167038e-05 -9.473676654935372e-05 4.946001242428679e-06 -1.9268676213793216e-06 1.8185357922426068e-08 -5.469029633549111e-08 -1.275289874070613e-10 -9.010575925478446e-05 5.964192578074787e-05 -0.00015676653328883407 3.507406973228487e-05 0.00019859755080452293 -0.0003517413364322278 -5.2707987170702443e-05 -5.241890209186969e-05 -1.6453803526732466e-05 -9.591421529700016e-05 5.016784733534021e-05 -7.026813494834239e-05 -5.4115352580625604e-05 -1.869356964900453e-05 -0.00012546826739238677 -0.0002486982956280317 3.3816184581606074e-06 -0.0003464724414076001 6.000500143272247e-06 0.000507239546990861 -4.3404080411580957e-07 1.3370224818176648e-06 -3.4510177082798344e-07 -1.757893933915561e-06
yob -9.025268160613818e-07 2.981138158616072e-07 -2.025693396483121e-10 -1.2133917764039275e-06 -6.596919602416507e-09 5.893680350098759e-09 -4.5920976083795887e-11 7.307778563565223e-10 -5.209209909553596e-12 4.3894552372783753e-07 5.197597893104071e-05 1.1893668680312945e-05 -3.093388144079464e-05 6.4691760213203385e-06 -2.691531499515442e-05 -3.7375758567494053e-06 -1.2268408129457352e-05 2.3694078683864756e-05 -1.0719413034060363e-06 -2.358516377020928e-05 2.02248058976548e-05 -1.7983971362423944e-05 -7.72518546050679e-06 2.854682088332553e-05 1.6786016875438626e-05 -5.213156638968967e-06 -1.2252139784041114e-06 1.829302089167742e-05 -4.648826919214536e-05 -2.491139577694236e-08 -4.229491268363438e-09 -6.483698618088278e-08 -1.718736626336623e-08
age 6.206572618108262e-05 -2.025693397889636e-10 0.00012412175510988097 0.0014696894158785308 -0.00012364795379331804 -3.181370489492956e-06 2.530071670816455e-08 3.169329454141919e-06 -2.52066094720285e-08 -7.69179879816305e-06 -5.590119311980738e-05 -0.0001376324241054524 -1.201664976599508e-05 -0.00014586217407259542 3.788504078265432e-05 1.3827288294710297e-05 9.905044611605574e-06 -3.035602390322398e-05 -1.9787818633660673e-06 1.5627856643275836e-06 -0.00012273576052527907 3.5361752275857895e-05 -1.3581212877534669e-05 -0.00015736412068178488 0.00014015576234898504 -4.0504079950439644e-05 -1.3773691802279142e-05 0.00010155548610114982 6.95497451469091e-05 -1.1962212313272951e-07 5.170630169787863e-07 -4.452597080636163e-07 -3.48242340049978e-07
sex -9.473676656135249e-05 -1.213391776346811e-06 0.0014696894158711079 0.0345847277116593 -0.002779564550682735 -3.650629102523476e-05 2.831206192989126e-07 6.900272036875204e-05 -5.363322453831421e-07 -0.00045162082476752334 -0.0003654837736387824 -0.0012967144491173592 -0.0004367248093851995 -0.001473932806208102 0.0004431771647062851 0.0010456345877312445 0.0010489331226919286 0.00022998637804019773 -0.00013102519298911397 0.0007392064580458793 -0.0026889731618020968 0.0006953192327955367 -0.0008439002321076017 -0.003111097793529048 0.0022249105743139598 -0.0006855135692790127 0.00030481803730659336 -0.00015471717184342373 0.0001471451839214802 -5.733534947190052e-07 5.0037027919409635e-06 -9.438546811975137e-06 -1.349785836592233e-05
age_sex 4.946001243455646e-06 -6.596919606440771e-09 -0.00012364795379271476 -0.0027795645506832633 0.00023147899545382234 3.16921562524027e-06 -2.520480269667796e-08 -5.909511892466042e-06 4.6966285711512295e-08 3.31898826171885e-05 3.17218110452093e-05 0.00010740369594959609 4.319707629577799e-05 0.0001160052064863155 -2.5765558293335632e-05 -8.234427639044361e-05 -7.427328708533483e-05 1.0392450787992656e-05 -3.654659091865429e-06 -5.3494749385103227e-05 0.00020756509820059018 -4.305261491812173e-05 7.697156206000995e-05 0.00025138406158593503 -0.00014255542884629113 8.91459791375549e-05 2.163897689963876e-06 -3.2458235264785867e-06 4.642853288457044e-06 -5.930092764206459e-08 -3.3574306281120076e-07 7.744308236166316e-07 1.138157027732484e-06
age2 -1.926867621364132e-06 5.893680350082012e-09 -3.1813704894936827e-06 -3.6506291025440975e-05 3.169215625257043e-06 8.396692678836159e-08 -6.835206759845894e-10 -8.351234252174349e-08 6.798619760440884e-10 1.9346067641010903e-07 2.4541998335982495e-06 3.750615249501773e-06 -2.833691217226968e-07 4.335912326196075e-06 -1.4877239391221446e-06 -3.065396422158704e-07 -5.839921787788931e-07 1.1952062721760542e-06 -4.711160198937444e-07 -1.6974967971270792e-07 3.0354796916013647e-06 -1.3504436329083117e-06 1.370208006659739e-07 4.4549286016109795e-06 -2.4361625414436293e-06 1.4072514762666043e-06 1.677890146046752e-07 -3.008930334751445e-06 -2.386563881430357e-06 1.1529202020513449e-09 -1.1446499842091995e-08 4.433680828056267e-09 1.2044714676904033e-08
age3 1.8185357922301286e-08 -4.5920976083364014e-11 2.530071670817587e-08 2.8312061930066465e-07 -2.520480269682084e-08 -6.835206759847286e-10 5.680898680165553e-12 6.798296948383102e-10 -5.650294584634887e-12 -2.1021506743053056e-09 -1.679136998516938e-08 -2.9578551390164606e-08 8.401824384676547e-10 -3.540532406635087e-08 8.687811228461661e-09 1.2955555223568344e-11 4.575791365786978e-09 -7.704441121785324e-09 7.112336299688093e-09 -1.4081038570743932e-09 -2.2074939409420497e-08 1.0591775418282904e-08 -2.1475408334616685e-09 -3.379128229369658e-08 1.3616579047095477e-08 -1.4109446992212155e-08 -3.2268194091307857e-09 2.849976263168751e-08 1.76192647513868e-08 -8.453644848527815e-12 6.821197388330249e-11 1.2808067566528556e-11 -1.0422458239282806e-10
age2_sex -5.4690296361525173e-08 7.307778564627002e-10 3.169329454126888e-06 6.900272036877688e-05 -5.909511892466991e-06 -8.35123425213236e-08 6.798296948347253e-10 1.5466198763252582e-07 -1.2554414848372796e-09 -8.424292038849636e-07 -6.933955566775999e-07 -2.621519350248094e-06 -1.259029638500349e-06 -2.9478873408165952e-06 3.8843657564967355e-07 1.9441812837253634e-06 1.5644035476180948e-06 -6.08690566752207e-07 4.759648425533873e-07 1.2757676398886968e-06 -5.193104406661712e-06 9.597826495754004e-07 -2.2827745165092433e-06 -6.28103103665439e-06 2.821124469767769e-06 -3.158240831628173e-06 -6.104769557337043e-07 4.530018862154687e-07 -4.0812872800099403e-07 3.103861399488137e-09 5.52692419240119e-09 -1.6503849134674875e-08 -2.972474189605445e-08
age3_sex -1.275289871996662e-10 -5.2092099100848e-12 -2.520660947191107e-08 -5.363322453834168e-07 4.696628571152623e-08 6.798619760408057e-10 -5.650294584606809e-12 -1.255441484837443e-09 1.0387656892095753e-11 7.097526476089715e-09 4.964986208906752e-09 1.9721912963578028e-08 1.1106321974771599e-08 2.3506906478875e-08 -5.928650376624313e-10 -1.2813368154506446e-08 -1.003907996461048e-08 6.123960576571155e-09 -6.721005615556282e-09 -8.481976466248747e-09 4.260796223440476e-08 -7.19115346633934e-09 2.1170411125959317e-08 4.8797699553858576e-08 -1.787987693326054e-08 3.040829926056783e-08 9.686952000593696e-09 -5.74938331306328e-09 4.606820695042248e-09 -3.120144792949063e-11 -1.854174596607719e-11 9.910988166400985e-11 2.370339411523032e-10
PC_3 -9.010575925464931e-05 4.389455237273101e-07 -7.691798798044017e-06 -0.00045162082476687 3.318988261712685e-05 1.9346067640688075e-07 -2.102150674278341e-09 -8.424292038832214e-07 7.097526476074814e-09 0.06401423018763736 -0.002452377029871387 -0.0010712685199927212 0.002617385153905692 -0.0028488194916989856 0.009260414214682643 0.006167002499510628 -0.013833524058924235 -0.00593439088527098 -0.005094352594049625 0.013413417244690378 0.0063102949875612985 0.013268943544952994 -0.008548385968064459 -0.02856406766285521 -0.005591958568067056 -0.007095003253163378 0.01052965962713467 -0.007254528544404025 0.020907664725396347 2.237333951910707e-05 -7.282764564448762e-06 4.033344924823884e-05 2.850021884161428e-05
