 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 1.4638511115037356e-05 2.4654343806037795e-07 -2.6601588031438543e-06 -5.368254230808199e-06 4.757805902996869e-07 4.903396822067081e-08 -2.7495944177170516e-10 -1.2052555417674095e-08 8.794285140841384e-11 2.7291595329112074e-05 -4.805474418032657e-05 3.832504771870378e-06 -5.772897557558789e-05 8.7864993417585e-06 -7.333846234266823e-05 8.826218215867031e-05 -6.505217552000306e-05 -1.8772192899111472e-06 -9.959445017162092e-05 -2.307291817187703e-05 -2.6365416374110154e-06 -8.617143533590297e-05 1.1668932692275391e-05 -3.714583556576427e-05 7.989737397427966e-06 1.2646572958271125e-05 -5.065261463943671e-05 -4.2281841698326086e-05 5.123477675649579e-05 8.185279849642234e-07 8.320642652083641e-07 -1.2658497877208357e-06 -1.2023797369884708e-06
yob 2.465434380603352e-07 1.2977695083451752e-07 3.608278405358049e-07 1.3076820567850305e-06 -1.1789965956313064e-07 -4.182828443925125e-09 1.9592547454157693e-11 2.020995535000294e-09 -9.033942087374385e-12 2.6847185493805462e-06 5.314879929741508e-06 -7.894307986513815e-07 -9.940014054168851e-06 -5.066132907278736e-06 -1.9303406977785615e-06 2.071048469674135e-06 -3.0360882816825084e-06 5.606354272327067e-06 -3.01733563249933e-06 -5.912853902150834e-06 8.986852198069878e-06 -7.133632537618827e-06 -2.7400491216436466e-06 1.0879692794843964e-05 3.473293559117686e-06 5.381430830042911e-07 -3.0180204377916015e-06 3.660960144377129e-06 -1.5223893387925678e-05 1.7336892426999888e-09 1.6544029721769741e-09 -1.7506516521010628e-08 -1.370587734415128e-08
age -2.660158803289376e-06 3.6082784053581894e-07 5.73148453359627e-05 0.0008525335537311806 -5.6273527920600005e-05 -1.1295125267204804e-06 6.9464157506522145e-09 1.1164531673599071e-06 -6.875042491857302e-09 1.6598146930890526e-05 -4.920221832109491e-06 -2.3654498628668112e-06 -4.155166128295567e-05 -1.8037390629163185e-05 2.9479543831059846e-05 3.7971907258749884e-05 -7.150348693035472e-06 -1.7257785957147012e-05 3.765197041658463e-05 9.12374854603375e-06 3.735408668515619e-07 -2.286754960681631e-05 -2.723934118005114e-05 2.436896763716258e-05 1.7631330313810596e-05 -2.0478672970734805e-05 -3.785680121905128e-05 -4.910144318008257e-06 -1.5186799686906282e-05 8.502610998638262e-08 5.152830897275083e-07 8.65511029406553e-08 -9.893536232134722e-07
sex -5.3682542306798745e-06 1.3076820567872774e-06 0.0008525335537305285 0.024786877183658816 -0.0015715578608897864 -1.643839389256239e-05 9.927659420263793e-08 3.0390439814621235e-05 -1.8367698989468866e-07 -2.2636944557888046e-05 0.000388962198064041 0.00016534161163784625 0.0001161449641955315 -0.00022288960855915705 -1.8658354751825643e-05 0.0008013642448505984 -0.0003022332202724584 -0.00016081446735523075 0.0005558486277508109 3.3502246953459505e-05 -1.560090045045929e-05 -0.0005306181097588156 -0.00016254884411994654 6.106683869941816e-05 0.00027717110184200596 0.00032848970844019025 -0.0004098293612401035 -1.0913180531497502e-05 -0.0003961375374748413 -1.5910134947366327e-06 5.87476357417344e-06 5.927670194772407e-06 -1.1684543748060687e-05
age_sex 4.757805903853146e-07 -1.1789965956249545e-07 -5.627352792058223e-05 -0.0015715578608903637 0.00010336798944444211 1.1145895050365709e-06 -6.8673912609925986e-09 -2.049466007643964e-06 1.2619130033267395e-08 -1.4891425215221777e-08 -1.962046178793165e-05 -2.4294745050253444e-06 -2.7133256403166253e-06 1.1593576343524421e-05 -9.822878357863867e-06 -4.872304067137057e-05 1.7799405555155478e-05 1.6639172362889926e-05 -3.727050305649566e-05 9.568748283294804e-07 -1.098765969281594e-06 3.129711838928139e-05 1.468007329930409e-05 -4.5137450898243486e-07 -1.5493531274940015e-05 -2.2120764135034187e-05 3.057532502754809e-05 4.320237013665141e-06 2.6379835539608668e-05 3.764419496978818e-08 -4.117111554684925e-07 -4.045827896318516e-07 8.295282075578131e-07
age2 4.903396822122638e-08 -4.182828443935319e-09 -1.1295125267207425e-06 -1.6438393892580866e-05 1.1145895050372945e-06 2.279927557124796e-08 -1.427579398584747e-10 -2.2588433890438587e-08 1.4155613470540808e-10 -1.8722301233531157e-07 4.940491552780749e-07 1.824385407467687e-07 6.321172170959599e-07 3.583138769967559e-07 -6.984526324904099e-07 -7.35791455409554e-07 -2.7575190266966946e-08 5.821485772359269e-07 -9.510287313527019e-07 -4.178167843797952e-07 1.7588519443894074e-07 2.6204182632454045e-07 6.386029058548981e-07 -1.62858486673336e-07 -9.525183577423263e-08 4.6034842440057693e-07 6.826924396038424e-07 9.793814159474803e-08 -2.2992369179755032e-07 -2.8250331165496237e-09 -1.0624133962914553e-08 -2.0324730389808717e-09 1.9620175065513117e-08
age3 -2.749594417739142e-10 1.9592547454180357e-11 6.946415750655029e-09 9.927659420277964e-08 -6.867391260998865e-09 -1.4275793985849923e-10 9.074991392055805e-13 1.415670188603031e-10 -9.005161658515611e-13 2.932870347973906e-10 -4.160853973547658e-09 -1.8949019761029804e-09 -4.029525703416445e-09 -2.01294249682101e-09 4.2928427808240165e-09 4.49944510248139e-09 7.736109482892703e-10 -4.394489157245319e-09 6.3464629951595464e-09 3.419806164777686e-09 -1.4327584361465165e-09 -1.2131359647245014e-09 -4.9847740392651614e-09 8.122411543532098e-11 -5.910582021143926e-10 -3.192056546617351e-09 -4.239308226326883e-09 -3.1815774401782037e-10 3.417354833420939e-09 2.4857483543500252e-11 6.784598952021307e-11 1.1716208893679216e-11 -1.2220134353076373e-10
age2_sex -1.2052555418664503e-08 2.0209955350142697e-09 1.1164531673599446e-06 3.0390439814641164e-05 -2.0494660076445295e-06 -2.258843389043171e-08 1.4156701886022517e-10 4.144473803722679e-08 -2.593698167998006e-10 1.1784507164718993e-08 2.942186260268148e-07 -1.0110616822851651e-07 4.465981158553464e-09 -2.0521238385732444e-07 3.594840078536321e-07 8.980392231273476e-07 -3.1250003161473335e-07 -4.061074357182126e-07 8.013400756239656e-07 3.5509189476251926e-08 3.651812780643928e-08 -5.501162496914881e-07 -3.852750941542081e-07 -7.645300996513345e-08 2.9497719899144556e-07 4.0149569234430034e-07 -6.43597090291044e-07 -9.431547775982498e-08 -4.777623475965606e-07 7.424222833451283e-10 8.984986410931172e-09 7.81428795201189e-09 -1.7894185003613003e-08
age3_sex 8.794285141435228e-11 -9.033942087394844e-12 -6.875042491859405e-09 -1.8367698989485444e-07 1.2619130033273688e-08 1.4155613470540373e-10 -9.005161658513157e-13 -2.5936981679985636e-10 1.6467896591080771e-12 4.489650275890554e-11 -1.3121926805449678e-09 1.4803209525241842e-09 1.697632793177824e-10 1.2136353555870871e-09 -3.0434222308239096e-09 -5.064067692097936e-09 1.7096892857255343e-09 2.811723385292141e-09 -5.421501977364442e-09 -6.959443125654237e-10 -2.9225464062313303e-10 3.075590185400327e-09 2.892355681574771e-09 8.751450148073638e-10 -1.887666828856767e-09 -2.1768099678364613e-09 4.096430325188169e-09 2.2864335751823415e-10 2.656884126721644e-09 -1.3674019353853809e-11 -5.946537538618961e-11 -4.6585929087118694e-11 1.1761403504973403e-10
PC_3 2.7291595329111207e-05 2.684718549380828e-06 1.659814693098959e-05 -2.2636944554993247e-05 -1.4891425408033422e-08 -1.8722301233728807e-07 2.932870348096733e-10 1.1784507168583198e-08 4.4896502734887217e-11 0.03287041446517229 0.0006771460630061488 0.003249925237930031 -0.00046661693437281766 -0.006972592650925043 0.0019441336908919654 0.005705490583937722 -0.004311454392894245 0.0003734861586684424 -0.0014513111953867275 -0.00015414611902821667 0.007212317618600566 0.0028120629613484576 -0.001170413306207377 -0.012030299185553987 0.0030818453741919775 -0.0008765815891370027 0.00357139713813069 -0.0004014591374019482 0.006105925882930582 -5.494044270914227e-06 -7.511268279023321e-06 3.602441838778251e-05 3.042091536551808e-05
