 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.0253216953096616e-05 7.309834117323842e-08 5.4472797337282814e-08 -8.694939702507021e-07 1.381203837913331e-07 1.5752144632978078e-09 -7.301129898643402e-12 -4.896996283302605e-09 4.195616937407765e-11 1.5458063453988436e-06 -6.372637591050013e-07 4.146096199182814e-06 -4.2914241652142106e-05 4.691799400025374e-05 -6.825716998310701e-05 4.895910689680395e-05 -4.19380512674401e-05 -7.735186366327965e-06 -8.064890276479374e-05 -1.2770383219735933e-05 -1.6999807971129825e-05 -5.4236970044021136e-05 -1.0067108245919042e-06 -3.3509445332554064e-05 -5.846922374359836e-06 2.2844385599665153e-06 -4.3613050836692505e-05 -4.954249914373191e-05 5.932574267939795e-05 5.75857677578836e-08
yob 7.309834117324126e-08 9.984352118652098e-08 3.6427543152220076e-08 2.0300376151261263e-07 -3.551532441426184e-08 1.6048213169977992e-09 -1.4125001992291981e-11 4.703039010258636e-10 -4.3154324828623526e-13 4.188581440484853e-07 7.35493022722833e-06 5.954724942304899e-07 -6.475689346283752e-06 -1.159506713267108e-06 -3.4043469224308263e-06 -2.9487365008879412e-08 -2.6304959078016122e-06 4.60001343797562e-06 -1.59006815821741e-06 -4.055623465868529e-06 5.934309216833738e-06 -4.913031984456298e-06 -2.734231068827108e-06 8.743236074271865e-06 2.790892043496052e-06 4.3850816260814936e-07 -2.1189141395456267e-06 3.005248057510475e-06 -1.1486360829321357e-05 -5.6817400844482715e-09
age 5.447279732796256e-08 3.6427543152184474e-08 1.3712742321629689e-05 0.000171070802741941 -1.3526459574475227e-05 -3.0365681044723406e-07 2.0251677286543194e-09 3.0065441214901866e-07 -2.0067766658111634e-09 -4.20802268904951e-06 -3.657349458295796e-06 -1.4662480798002466e-05 -9.017289407687124e-06 1.661450875098567e-05 5.488903785510288e-06 1.7110194633311386e-06 4.1393865403587595e-06 -4.614524811258332e-06 1.4086556177785002e-05 1.529114950340341e-05 -1.6076225375555797e-05 2.728810273905721e-06 -1.5192007212174454e-05 -2.328421227865294e-06 5.47052852521808e-06 -1.2818698825381199e-05 -1.9434061685528387e-05 -1.3588110397270699e-05 3.3363399099603746e-05 5.5944319963593714e-08
sex -8.694939702963727e-07 2.030037615066074e-07 0.00017107080274198616 0.004502238515911135 -0.00031899451144738446 -3.593151245387141e-06 2.3111640999989852e-08 6.6761244906980915e-06 -4.284292389126046e-08 1.6040384410766025e-05 -3.3613005682594564e-05 -8.905442005185172e-05 3.108693647347556e-05 -2.867937069601072e-05 0.0001200462503002416 9.344991130491889e-05 0.00011920309880976934 -2.15595379021097e-05 6.814792816361646e-05 -7.196312887143365e-05 -0.00015940221613071817 -0.0002425608990107234 2.5531902631165554e-06 -9.515065324074257e-05 0.00017603056954792494 -3.454427613458564e-05 -0.00011217621305832694 -2.1030000800414138e-05 7.381006792252462e-05 7.435861523934713e-07
age_sex 1.381203837975979e-07 -3.551532441372566e-08 -1.3526459574476559e-05 -0.00031899451144733545 2.465994656609403e-05 2.9997464442698694e-07 -2.00212671422001e-09 -5.438028949484469e-07 3.616725753179001e-09 -2.685045691614801e-06 8.301139785846954e-06 1.3281125285786364e-05 4.8979895051119044e-09 2.0449820938965747e-06 -1.4820306881072424e-05 -4.885184751636139e-06 -1.235481217590219e-05 6.109712382592307e-06 -7.958090535000323e-06 3.5668059592602424e-06 1.0049162392371145e-05 1.5492885045837148e-05 2.4435004134571912e-06 1.0746988091602169e-05 -1.1057862947173676e-05 6.165311868740655e-07 1.1631182452648246e-05 2.241131364910131e-06 -9.241974004674895e-06 -9.977558694947706e-08
age2 1.575214463472724e-09 1.6048213170039367e-09 -3.0365681044720616e-07 -3.5931512453855646e-06 2.999746444269093e-07 7.043112213731848e-09 -4.83982901919137e-11 -6.9322634280343744e-09 4.7663290398208e-11 1.3834300745258168e-07 4.2922940960711797e-07 4.262608849481392e-07 8.779563314317062e-08 -2.5230529420505327e-07 -2.7708865428493616e-07 -6.439592339099283e-08 -2.580178449315598e-07 2.888518055662117e-07 -4.3462300913004716e-07 -4.83612587127875e-07 4.382987884733117e-07 -2.0517865023978636e-07 3.5451926815969993e-07 3.254625483829256e-07 4.640448466132324e-08 3.1048038779119324e-07 3.510541030039437e-07 2.988429194441679e-07 -1.0974908119734809e-06 -2.17199668140516e-09
age3 -7.301129898460376e-12 -1.4125001992336872e-11 2.0251677286540357e-09 2.31116409999769e-08 -2.002126714219315e-09 -4.8398290191911476e-11 3.4037212604570433e-13 4.760488647204795e-11 -3.3500199753243615e-13 -1.2896632472169883e-09 -3.6136261317249065e-09 -3.2384901088230456e-09 -8.688028357918758e-10 1.3824223918155865e-09 2.00173669668081e-09 5.580778783330793e-10 2.179290020385196e-09 -2.411263571523635e-09 3.1317063288098196e-09 3.573137755932829e-09 -2.8736452565728446e-09 1.559838399916113e-09 -2.87795216428749e-09 -2.824236763185555e-09 -9.433151727631309e-10 -2.2529763311748155e-09 -2.2168017047500563e-09 -1.6229757205260952e-09 8.317850016532055e-09 1.8976859246490466e-11
age2_sex -4.8969962832003005e-09 4.703039010154379e-10 3.0065441214902057e-07 6.676124490696226e-06 -5.438028949483893e-07 -6.93226342803543e-09 4.760488647205886e-11 1.2448904002634422e-08 -8.518875488224808e-11 7.025547151232943e-08 -2.5216155088709984e-07 -3.739455263484289e-07 -2.8246421004572577e-08 -6.046793329271567e-08 4.126679995737766e-07 8.528459809303188e-08 2.9855294642968057e-07 -1.8553641363879222e-07 2.5042065506897493e-07 1.8503771285245953e-08 -1.967137064330359e-07 -2.813716793858409e-07 -1.2599018934079542e-07 -3.1754933882137136e-07 2.3762053013989167e-07 -2.828293877217471e-08 -2.7859070848171937e-07 -2.883471700106626e-08 2.703998077341694e-07 2.810264934699975e-09
age3_sex 4.195616937254123e-11 -4.3154324819673143e-13 -2.0067766658110294e-09 -4.284292389124466e-08 3.616725753178357e-09 4.766329039821201e-11 -3.350019975324885e-13 -8.518875488224231e-11 5.968298661187099e-13 -3.817639114601546e-10 1.9908624995275457e-09 2.888598765658646e-09 3.0924469097369846e-10 5.341725513188629e-10 -3.172950079851784e-09 -3.894746501376464e-10 -2.050095115757096e-09 1.4084347703019077e-09 -2.139974145509567e-09 -6.672044542890833e-10 1.185215200141999e-09 1.6216675814295559e-09 1.242064667887668e-09 2.495206037127471e-09 -1.659250363766135e-09 3.5095472301900197e-10 1.9005570071369426e-09 -1.9097020697044014e-10 -2.0679220376283198e-09 -2.2230437292943087e-11
PC_3 1.5458063453992644e-06 4.1885814404846465e-07 -4.20802268904638e-06 1.6040384410800618e-05 -2.6850456916181773e-06 1.38343007452506e-07 -1.2896632472164672e-09 7.025547151241339e-08 -3.8176391146075043e-10 0.026494817649855125 0.0005678117116663738 0.00171940641833266 -0.00017641373213571002 -0.004162524627788067 0.0017151537389394895 0.0037599188409875163 -0.004054612361485746 -0.00036182833433773303 -0.0015231478239592876 0.0007820264493816681 0.004867825713384032 0.0027750415460302347 -0.0015260292503994969 -0.009527956926523562 0.0012093589417515656 -0.0011916021800118211 0.0030562050624684312 -0.0004466493513606825 0.004838657463737428 1.69834455724839e-05
