(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.0550033456027376 0.0339791109220776 -0.00330957617192509 0.00614185627867649 -0.000268542828458156 -0.00403290701921104 -0.000927181632639233 -0.00123918066479683 -0.00770645806406409 0.00120960059610604 -0.00145330884116381 0.00199756365343026 -0.00155262551222025
covarage 0.0339791109220776 0.0713273311816084 0.0672204866457375 -0.113118991860065 -0.000441441678904794 0.00206259618932412 0.000174733259134492 -0.000739510949092195 -0.000683958546341147 0.000633677239720884 -0.000198878052524284 0.00692997660475777 -0.00426972441771316
covarsex -0.00330957617192509 0.0672204866457375 0.164359026594082 -0.244805378305683 0.00124778530452475 0.000192678658365848 0.00129475236059373 -0.00219919414297026 -0.00116570266639923 -0.0099611149605859 0.0109889991548687 -0.00526664754411265 0.00866056906261219
covarage_sex 0.00614185627867649 -0.113118991860065 -0.244805378305683 0.399365258560281 -0.00201019048287515 0.000631067222816667 -0.00191377511209808 0.00337878344866723 0.000589285243324751 0.0130785440776661 -0.0160091829111591 0.00737753136509573 -0.0108639763149154
covarPC_3 -0.000268542828458156 -0.000441441678904794 0.00124778530452475 -0.00201019048287515 0.0147306714492495 -0.00299010277758469 -0.000201863899590053 0.00068404786639645 0.000572418972939372 -0.00311205217790357 0.00410705526831199 3.19649742066536e-05 0.000474542371482557
covarPC_4 -0.00403290701921104 0.00206259618932412 0.000192678658365848 0.000631067222816667 -0.00299010277758469 0.0133629984641323 -0.000263289192326702 0.000271831110121649 -0.000201788279802844 1.28375012476368e-05 -0.000206497254221118 0.00226956572118127 -0.000371739577152619
proband -0.000927181632639233 0.000174733259134492 0.00129475236059373 -0.00191377511209808 -0.000201863899590053 -0.000263289192326702 0.0287972837677777 -0.0139666062161491 -0.0126087206264355 0.00191309671132456 -0.00171232885857719 -1.09021443182687e-05 -0.00355299043178641
paternal -0.00123918066479683 -0.000739510949092195 -0.00219919414297026 0.00337878344866723 0.00068404786639645 0.000271831110121649 -0.0139666062161491 0.0874288423428265 0.00547408755641179 -0.0676261013490159 -0.0628582006245822 0.00201053364511655 -0.000689788854298527
maternal -0.00770645806406409 -0.000683958546341147 -0.00116570266639923 0.000589285243324751 0.000572418972939372 -0.000201788279802844 -0.0126087206264355 0.00547408755641179 0.0743179841393085 -0.00406075230011016 0.00558994309544063 -0.0607320524251052 -0.0470128454195681
gpp 0.00120960059610604 0.000633677239720884 -0.0099611149605859 0.0130785440776661 -0.00311205217790357 1.28375012476368e-05 0.00191309671132456 -0.0676261013490159 -0.00406075230011016 0.261897832511983 -0.130870784776385 -0.0156904767794198 0.025627126149506
gpm -0.00145330884116381 -0.000198878052524284 0.0109889991548687 -0.0160091829111591 0.00410705526831199 -0.000206497254221118 -0.00171232885857719 -0.0628582006245822 0.00558994309544063 -0.130870784776385 0.258255342689581 0.00876640963778809 -0.0196106085639063
gmp 0.00199756365343026 0.00692997660475777 -0.00526664754411265 0.00737753136509573 3.19649742066536e-05 0.00226956572118127 -1.09021443182687e-05 0.00201053364511655 -0.0607320524251052 -0.0156904767794198 0.00876640963778809 0.136875596417967 -0.0172921283696888
gmm -0.00155262551222025 -0.00426972441771316 0.00866056906261219 -0.0108639763149154 0.000474542371482557 -0.000371739577152619 -0.00355299043178641 -0.000689788854298527 -0.0470128454195681 0.025627126149506 -0.0196106085639063 -0.0172921283696888 0.119984665113365
