 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0009967517651534442 -2.3528319281315746e-06 0.0001715964651923182 -0.00012773847966581397 -4.598447541252996e-07 -5.879875296257391e-06 5.968361243907502e-08 3.203160165626238e-07 -5.14214818527096e-09 -0.0006077932707604907 8.615352281122697e-05 -0.00033562550350698533 0.0004605024838777285 0.0005124959051629456 -0.0005363171520158152 -0.00041553610991440065 -9.863926221376943e-06 -0.0005273564191693802 -0.0011049139957940758 -0.00033192480494782214 -0.0003502238058002882 -0.00032382400534738465 0.0002453366273871633 -0.000421064970185284 -0.0006162614532775117 -0.0001071382320828221 -0.0005006486718682223 0.0007944845018916686 0.0009144357274130261 2.8504104014127653e-06 -4.994849249820903e-06 1.3642869035323577e-05 -2.135273940697431e-06
yob -2.3528319281361397e-06 7.787387088758787e-07 6.886038296653293e-07 6.3474328413146105e-06 -7.460126238770905e-07 -2.473028966245643e-09 1.784481511501668e-11 1.8980543013123802e-08 -1.3906321136255306e-10 8.10297672185415e-06 0.00010511360077462302 2.6646382740168608e-05 -7.862042640401557e-05 2.4188483267070966e-05 -5.9760263985997765e-05 -9.772569092772856e-06 -3.7418387229928935e-05 6.806779801803952e-05 5.09723654269313e-06 -5.993379026966685e-05 5.365892546891627e-05 -7.124863240620198e-05 -1.1800676732141943e-05 7.101453995688088e-05 4.740798445849582e-05 4.0759716864633774e-06 -1.2690528779956913e-05 3.6694688404539426e-05 -0.00010146953981016242 -4.6778257371377655e-08 2.534981489219252e-07 -5.814974361471111e-07 -8.100733338320563e-08
age 0.00017159646519169686 6.886038296690079e-07 0.00020781424776104767 0.002272758270847518 -0.0002068868573249214 -5.6673945992606335e-06 4.7719815113539854e-08 5.656152592119516e-06 -4.761671195175038e-08 -2.752613448137645e-05 -6.819928410053036e-05 -0.00012592592459802196 -0.00010545544173027654 -0.00015197545463858827 -3.9244820258547065e-05 -5.368914536076527e-05 -0.00014895385223383912 -2.9834342258049195e-05 -0.0001993856300452848 -0.00015081110342658613 -4.474176298018169e-05 -3.566359540751593e-05 -6.907913287961545e-05 -0.0002523929006337866 -0.00024571179999738406 0.00012415322194384837 -7.228031557844362e-05 -1.601874098134854e-05 0.0002473930087647384 1.264029987808806e-06 3.322546496758924e-06 8.471221150457993e-06 -1.2536406222215269e-05
sex -0.00012773847968011737 6.347432841318266e-06 0.0022727582708398503 0.05037671703154838 -0.004246508368655347 -5.884427828315557e-05 4.762523351087653e-07 0.00011014099848432511 -8.926745974532132e-07 0.00047553568146680916 0.0005809516073502187 -0.0014007885153851278 7.561897428894315e-05 -0.00434262409918613 0.00017846034157101891 0.0012023192863496695 -0.0017355532949990906 -0.002025774472570617 -0.002564999814076272 -0.0022292696472698175 -0.0029330833662980244 -0.0037933252461496607 -0.001920023292566081 -0.0073529061806791125 -0.0019902881134098932 0.0016337705756941014 0.0012813949082705921 -0.000876310380267578 4.846839731510857e-06 -1.0950374438213452e-05 4.810820362634981e-05 6.036221531070518e-05 -0.0001294151495119826
age_sex -4.598447527475691e-07 -7.460126238760778e-07 -0.00020688685732416032 -0.004246508368654851 0.00038134299003204366 5.642212588789582e-06 -4.7514854706923876e-08 -1.0364294073133906e-05 8.705879284477507e-08 -4.5892959414061936e-05 -3.510697997212029e-05 0.0001182110429172486 -4.765499667894282e-06 0.0003763375660635844 -2.0437967215973225e-05 -8.702930814694967e-05 0.00013519853887292298 0.00018849853942094104 0.00021603951073786472 0.0002275705087006634 0.000150222850164689 0.00029324067199251866 0.00020010136015011663 0.0006600845151995548 0.00023199039994076462 5.626083787957304e-05 -5.5034239740106214e-05 0.00011039082106029903 -1.844218578024738e-05 2.496949890736104e-07 -4.8564431980235145e-06 -5.395280431415427e-06 1.2251829557889068e-05
age2 -5.879875296239171e-06 -2.4730289662571155e-09 -5.667394599259499e-06 -5.8844278283358726e-05 5.64221258880976e-06 1.6149242510392253e-07 -1.405438519218874e-09 -1.608338506121159e-07 1.3997834093601156e-09 9.068812817556813e-07 4.347779559101685e-06 3.9123874823473954e-06 1.8489481468236122e-07 5.982272768980755e-06 -4.774508370902563e-07 1.9007234918763825e-06 2.250109949623272e-06 3.4396807898855212e-06 5.349182622521479e-06 3.550931451234122e-06 1.2335259947773522e-06 -5.407680837822501e-07 9.132189894031323e-07 8.335289169324168e-06 8.719669057413176e-06 -3.3660616192628065e-07 1.3346174424475536e-06 -5.521363505697413e-07 -7.513633357214551e-06 -4.514752087990974e-08 -7.375218550085005e-08 -2.3470102784605306e-07 3.18128542170253e-07
age3 5.968361243890292e-08 1.7844815115880482e-11 4.77198151135219e-08 4.762523351104212e-07 -4.751485470708881e-08 -1.4054385192186341e-09 1.2572117403402208e-11 1.3997750086984605e-09 -1.252165876816159e-11 -9.777551627673088e-09 -3.0933450299985726e-08 -3.3251656290356874e-08 6.707571324549496e-09 -5.586274942654371e-08 1.6696670962404432e-09 -2.1200194880903767e-08 -1.1885583592099577e-08 -3.7708249539408685e-08 -5.0049800216241335e-08 -3.89784103096388e-08 -2.8723689148237397e-09 2.0785361226492596e-09 -5.867673660476095e-09 -6.619101376379497e-08 -8.54084085532908e-08 -2.0984490250040677e-08 -1.132507307571138e-08 1.7983241572598528e-08 4.92677384263074e-08 4.365796619953194e-10 5.209183236355079e-10 1.9222894508227703e-09 -2.482383801943459e-09
age2_sex 3.203160165203927e-07 1.8980543013466586e-08 5.656152592097259e-06 0.00011014099848429698 -1.0364294073132645e-05 -1.6083385061151886e-07 1.3997750086935673e-09 2.925684736739642e-07 -2.5336640358706175e-09 1.2688547033132228e-06 8.319573892281907e-07 -2.7866737910132745e-06 4.652768894596594e-07 -1.0437793229250478e-05 5.747159370209947e-07 2.422390206411821e-06 -3.180572038108565e-06 -5.6846219071427536e-06 -5.976177142146299e-06 -6.7623751131959014e-06 -1.9235900127301067e-06 -6.582326847444214e-06 -6.429677133426284e-06 -1.722331737489686e-05 -8.330164863559704e-06 -6.326114223733154e-06 7.704922432782301e-07 -4.124610623329532e-06 1.8246354480641564e-08 5.0948675800120245e-09 1.454291845410678e-07 1.3012171407939894e-07 -3.358651255938531e-07
age3_sex -5.1421481849333765e-09 -1.3906321136254262e-10 -4.761671195154898e-08 -8.926745974528708e-07 8.705879284475439e-08 1.3997834093547334e-09 -1.252165876811738e-11 -2.5336640358703396e-09 2.2517611632519715e-11 -1.0376701319066516e-08 -6.4628447599821665e-09 2.2081542017714796e-08 -1.0198280023147627e-08 9.257438885474664e-08 -3.2474512953955128e-09 -2.2796001290409125e-08 2.1132166722467412e-08 5.3405435653336084e-08 5.3908159062042956e-08 6.379884344303758e-08 2.537212911920367e-09 4.5294366598916416e-08 6.297012229166107e-08 1.3358702195063735e-07 9.21305633385165e-08 8.907507072467136e-08 -1.1155522479838453e-09 4.386317745368384e-08 8.610088584927541e-09 -1.0747979374311951e-10 -1.3070355018952224e-09 -9.37501065913594e-10 2.7995350097100293e-09
PC_3 -0.0006077932707606765 8.102976721853656e-06 -2.752613448160535e-05 0.0004755356814637279 -4.5892959413768104e-05 9.068812817623174e-07 -9.777551627731295e-09 1.2688547033048967e-06 -1.0376701318993683e-08 0.17145801797881807 -0.01048582580625852 0.002849614613221449 0.013348819575477932 -0.003970374021774518 0.016181146729847162 0.015611377789820566 -0.04112975618538792 -0.017952006699101318 -0.014106047147875994 0.02421994340855031 0.012818663461488602 0.0384705734565146 -0.013565004192581305 -0.08646882057833014 -0.019647230067485012 -0.011091279017689764 0.031913529102336045 -0.017359212152764387 0.054147229176180985 -6.631118456710465e-05 4.013714249091918e-05 -0.00011876991221831872 -0.00027684434102335294
