 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.0425248622920887e-05 3.0114498218198275e-08 -3.2687664638864593e-06 -1.726626166935518e-05 1.095085550671689e-06 6.381052682299532e-08 -3.774816065363017e-10 -2.2103567987522144e-08 1.3970352380869415e-10 4.164174491034941e-06 -2.031413711167764e-06 4.1745779620429345e-06 -3.8664558228558005e-05 4.8252487298948803e-05 -6.910502119460987e-05 4.697870328438916e-05 -4.1265842039529966e-05 -5.076587837880437e-06 -7.378616946968056e-05 -5.71493336401682e-06 -1.4570277941847109e-05 -4.91333884181235e-05 2.2942477547221763e-06 -3.5233464581663226e-05 -5.678224845806269e-06 4.933570970903536e-06 -3.884590612555253e-05 -4.5275719876363695e-05 6.355015648431785e-05 2.48800183243075e-07 -1.3628859418911574e-07 -3.4809164661464716e-07
yob 3.0114498218264324e-08 9.901192980947033e-08 1.5668900108373832e-07 3.9329319768413194e-07 -4.4951415574482745e-08 -6.916825890123581e-10 -3.102247475263221e-13 6.357579306288187e-10 -1.4122738245555104e-12 8.731440571342102e-07 7.038694024922547e-06 5.480649937533656e-07 -6.826572822956119e-06 -1.6427264755138824e-06 -3.074879456298646e-06 1.579972276227052e-07 -2.5065842817723275e-06 4.635133324415595e-06 -1.6297412003473115e-06 -4.260576783945708e-06 5.7447992255675736e-06 -5.465768032212328e-06 -2.725700655662527e-06 8.532534894893925e-06 2.6870246872807712e-06 -4.2033992399195274e-08 -2.329137050374955e-06 2.8860253175409985e-06 -1.1404743967351176e-05 3.016326477622672e-11 -2.2938490671058197e-08 -2.3591580888439037e-08
age -3.2687664638969003e-06 1.5668900108455216e-07 4.275184394306881e-05 0.0006364164062026123 -4.245765387182756e-05 -8.575020674100414e-07 5.35664639188861e-09 8.55050917867055e-07 -5.344390031426263e-09 1.158890355430188e-06 -2.365100606240331e-06 -6.0464611164197315e-06 -1.6950920143795944e-05 7.310169603512237e-06 1.4839602341077011e-05 1.0843470449929792e-05 2.7254060338097033e-06 3.0913522199070543e-06 1.3419215650268914e-05 -6.890829859471609e-06 -1.5866835291967904e-05 -1.0050627251622954e-05 -3.625455888526268e-05 9.308459257401632e-06 8.192900982229183e-06 -4.904424718016543e-06 -4.087297640831399e-05 -2.00809575725112e-05 1.1237394634756667e-05 -1.664516581891612e-07 8.879342204386943e-08 1.3597643055436665e-07
sex -1.72662616690424e-05 3.9329319769251084e-07 0.0006364164062008581 0.016571163081770566 -0.0010738431443718846 -1.2508417893449513e-05 7.680931216096848e-08 2.1221453049713554e-05 -1.3079608211687743e-07 2.075333236169699e-05 9.853573083125621e-05 -4.176103421132245e-05 0.00010671210146693222 -3.4369287048997096e-05 0.00017661286240555865 0.00020895936496665574 8.622346581138686e-05 0.0002607216569118549 0.00017962749046092374 -0.00040125228840713883 1.3653741425919472e-05 -3.539517745406114e-05 -9.641394060040236e-05 -7.272451965333998e-05 0.00030238689319954197 0.00031769444490862994 -0.00040774844467115584 -0.00021534506653702408 -4.803269036911993e-05 -2.3484071353518134e-06 -2.1023198536585174e-06 3.4662321151779986e-06
age_sex 1.0950855507056367e-06 -4.4951415575407295e-08 -4.24576538717201e-05 -0.001073843144372132 7.184163454523543e-05 8.5431715436393e-07 -5.341556625100074e-09 -1.452661189408968e-06 9.111688334072945e-09 -2.397889147104811e-06 1.2856407891689978e-07 9.887335880243388e-06 -5.300798041112701e-06 1.5409650398619874e-06 -1.7640836809580705e-05 -1.3183275087846532e-05 -8.416602048828479e-06 -1.2261324454304349e-05 -1.5083213024869714e-05 2.335591960301805e-05 -1.319175831241889e-06 1.9684973836856497e-06 8.756439332771703e-06 8.863321562356e-06 -1.692894704119096e-05 -2.2061128667396844e-05 2.9918471159766317e-05 1.544722094908258e-05 -1.149420991966151e-06 1.3805481322941033e-07 1.1271169494703718e-07 -1.9863426637532564e-07
age2 6.381052682315848e-08 -6.916825890202617e-10 -8.575020674102399e-07 -1.250841789348925e-05 8.543171543663857e-07 1.7605197625158174e-08 -1.1192361918019839e-10 -1.7554464232779542e-08 1.1160785106527415e-10 5.734476346409129e-08 3.847112644665496e-07 2.467367408755524e-07 2.1405096452331722e-07 -1.1471357997176894e-07 -4.281808111274859e-07 -2.421355422819631e-07 -1.9913579331971135e-07 1.3114851394248336e-07 -4.177721450643656e-07 -7.059737800393544e-08 4.346513787123907e-07 1.873872275236365e-08 7.594819326812855e-07 9.533647300718113e-08 1.3344443194520727e-08 1.283719166597421e-07 7.450824584060242e-07 4.341204245890194e-07 -6.58857139960191e-07 2.8594717739985345e-09 -2.205863599184571e-09 -2.3639952493581226e-09
age3 -3.774816065353811e-10 -3.102247474704009e-13 5.356646391890939e-09 7.68093121612399e-08 -5.3415566251169655e-09 -1.1192361918021997e-10 7.223723833631793e-13 1.1159052123228164e-10 -7.201406899878816e-13 -8.902018272182263e-10 -3.2699333666549904e-09 -2.1031395931068634e-09 -1.5202507161947584e-09 7.228816791773459e-10 2.7857930466592647e-09 1.6505297718313782e-09 1.6876378574478977e-09 -1.4369058102653396e-09 2.99396352438469e-09 1.1318005732671025e-09 -2.8501588272480056e-09 2.850852686590449e-10 -5.31290582246226e-09 -1.4024798270069414e-09 -8.583998213251575e-10 -1.0136222381874034e-09 -4.518460785398269e-09 -2.5380195798999542e-09 5.61539497292419e-09 -1.5701360274931262e-11 1.4424302717473169e-11 1.28151946236032e-11
age2_sex -2.210356798706037e-08 6.357579306313801e-10 8.550509178650568e-07 2.1221453049722858e-05 -1.4526611894092575e-06 -1.7554464232733507e-08 1.1159052123196256e-10 2.99497193791591e-08 -1.9096492730868415e-10 5.383217627954643e-08 -9.393496162060074e-08 -3.0492715489837317e-07 8.620128914089788e-08 -3.3509401090588636e-08 4.5102229233048703e-07 2.599806840919467e-07 1.9700472744034201e-07 1.766065229432793e-07 3.8211717309304514e-07 -3.5682787074919233e-07 3.600036727758902e-08 -1.2733040801941881e-08 -2.4474966696800203e-07 -2.651259574157548e-07 3.114565815438455e-07 4.187146481633018e-07 -6.223722956598726e-07 -3.025723982206346e-07 1.0894230880641767e-07 -2.4862717439066407e-09 -2.0050764858729806e-09 3.4054619722701466e-09
age3_sex 1.3970352381082854e-10 -1.4122738246700496e-12 -5.344390031414791e-09 -1.307960821169601e-07 9.11168833407638e-09 1.1160785106500581e-10 -7.201406899860073e-13 -1.9096492730871685e-10 1.2359213414687882e-12 -2.233594309799899e-10 1.024645442279986e-09 2.4623045902457517e-09 -4.4559364805986507e-10 2.733239771023534e-10 -3.3004225860965684e-09 -1.5162075062902777e-09 -1.3225953405408391e-09 -8.111057149759046e-10 -2.889108789444412e-09 1.575646780478659e-09 -3.0418852581942585e-10 -4.7939562420074643e-11 1.9349263026791475e-09 2.0526859745103072e-09 -1.876872816019382e-09 -2.406138262334507e-09 3.939348082939211e-09 1.592907935869921e-09 -1.08699202965164e-09 1.3281351694151137e-11 1.2128446086496797e-11 -1.77253690222279e-11
PC_3 4.164174491037739e-06 8.731440571341299e-07 1.1588903553863502e-06 2.0753332361026473e-05 -2.397889147058663e-06 5.73447634649889e-08 -8.902018272239298e-10 5.383217627859332e-08 -2.233594309739082e-10 0.026062985433868757 0.0008065021166632744 0.0018095373099319555 -0.0003639559909570819 -0.004454932577392888 0.0019208795326486078 0.0037109010320153226 -0.0040189321304640235 -0.0002439261359812342 -0.00120578422081205 0.0005549015103211507 0.004938939566855579 0.0025432088630590274 -0.001529653826266362 -0.00933805622433167 0.0010263246074795512 -0.0009905356498447419 0.0029777057577169467 -0.0007151706303303657 0.0046567680715727 2.8353114319679387e-06 -3.770279490674613e-05 -3.3241269419723946e-05
