 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 0.000664094022934604 -2.2878130018569957e-06 8.263701781341023e-05 -3.045934035072875e-06 3.2039053104907314e-08 -0.0008231637369345631 -0.00035988338608311656 -0.0009286176129877075 0.00019585007542440087 0.0014773729329072792 -0.0009710675245245024 -0.0012416527644287126 -0.0003879101584390544 -0.0011392623899580878 -0.0002881083268113262 -0.0006323095286174842 -0.0014456395087755608 -0.0006984749377804019 -0.000747692712143082 -0.0004888010372707769 -0.000850029597425517 -0.0003235045511953591 -0.0013659547823842207 -9.773812779751325e-05 0.001568167963230546 2.789337762454949e-07
yob -2.2878130018559535e-06 1.5414317789878848e-06 1.4138183024870721e-06 -1.1012354883140792e-08 1.1550759753577279e-10 8.371707059735703e-06 0.0002713841007074627 3.857124344948275e-05 -0.00012794302855300265 -4.497162117317137e-06 -0.0001201317328972761 -1.9177138117621028e-05 -2.3834558318852975e-05 0.0001689516333243074 -1.9415427936378183e-05 -0.00014430089573576313 8.509300091878952e-05 -9.412029686126788e-05 4.959438197756028e-06 0.00014209774633713824 0.00011701022742045033 -4.531803817345828e-05 -5.5710492070659833e-05 0.00010916480126938769 -0.00025557660365234597 -3.0016593947286294e-08
age 8.263701781341593e-05 1.413818302486606e-06 5.209355375326575e-05 -1.4963094527530072e-06 1.2845091679257705e-08 -7.30380217412213e-05 0.0001423582993934299 -0.00017738941766746663 -0.0001552261342233346 -0.00021760689753220192 -8.241408367225531e-05 -0.0001479800186887147 -0.00016123878096297215 -7.138470670239428e-05 -8.347102903312283e-05 -0.00018551506359660815 8.138935223967843e-05 -0.00030925324314435264 5.284229882911998e-05 -8.08182242819156e-06 0.0003165776042969692 -0.0003759946976026277 -0.0003613118621973372 -1.106956312432729e-06 0.00014480405977973477 6.522132885365505e-07
age2 -3.0459340350729984e-06 -1.1012354883125941e-08 -1.4963094527529822e-06 4.5808554670653186e-08 -4.0741212049279277e-10 1.8170256084808389e-06 1.10369053800854e-06 6.059783432568117e-06 1.0636873602186914e-06 8.876001282919515e-06 -2.142510784903795e-06 5.290936762904997e-06 3.749802728739954e-06 6.835849241549597e-06 -1.1245647501392078e-06 3.7480060530170654e-06 -1.8108283437903104e-06 8.157736400237279e-06 -1.6878685695794546e-06 1.4216549188935834e-06 -7.245505038502681e-06 1.0095760002478028e-05 7.92063429339518e-06 -1.9728526727299265e-06 -6.0615833601354595e-06 -1.9576555242427534e-08
age3 3.203905310490816e-08 1.1550759753564312e-10 1.284509167925739e-08 -4.0741212049279e-10 3.73205666152686e-12 -1.669000099034732e-08 3.727801413844817e-09 -5.2502801354658184e-08 -8.614672700341493e-09 -7.753048062450769e-08 1.839665863410395e-08 -6.060751036268968e-08 -3.290974105379852e-08 -6.364600429193467e-08 2.6681789377007598e-08 -4.257374673247274e-08 1.657720170282036e-08 -7.572720278421565e-08 8.618735321318005e-09 2.111093396911444e-09 6.235471462628545e-08 -8.80542692014265e-08 -6.574058671453534e-08 4.357021334713022e-08 3.0226805246794415e-08 1.5611420937569715e-10
PC_3 -0.0008231637369345629 8.371707059736381e-06 -7.30380217412176e-05 1.8170256084807683e-06 -1.6690000990346815e-08 0.3270202335666589 -0.022931071749255974 0.001187693834294976 0.07960438158929711 -0.010640468197968498 0.036361199204336246 -0.0005853611552342364 -0.04900552595450792 -0.06035700680712285 -0.027288271335681877 0.08537686048846234 0.024323385461316484 0.08490705355020575 -0.04458920272149566 -0.1681947005800458 -0.04178018173590691 -0.02810924237700339 0.05082352221798221 -0.04682907425084046 0.1600786692227374 -0.0002441802763324842
PC_4 -0.0003598833860829589 0.00027138410070746364 0.00014235829939350414 1.1036905380062658e-06 3.727801413865136e-09 -0.02293107174925606 1.063360140912525 -0.01052966297326957 0.16749654890004703 -0.10943840097517532 6.233060194819853e-05 -0.023635963066131072 0.03369200398850376 -0.06078451120653125 0.06965533433814387 0.1270377753180364 -0.09161787957885544 -0.06045209939497878 0.1273933097208995 -0.010926193605277733 -0.03147162711586467 0.02065251835636326 -0.06172447663911558 -0.0651378849022562 0.1787260131332805 -4.7685571012273125e-05
PC_5 -0.0009286176129877022 3.8571243449484923e-05 -0.0001773894176674545 6.059783432567842e-06 -5.250280135465604e-08 0.0011876938342950533 -0.010529662973269275 1.3820475813988928 -0.04800885413790317 -0.1523578726659191 -0.09327775929600614 0.12627459397609067 -0.010801272012690951 -0.08862821668090924 -0.022901359543994124 0.06623343667980049 -0.11897094226953853 0.002947052080456956 0.01711028226998637 -0.1378672685358855 -0.10104443153006758 -0.029537004428593618 -0.009376288064478091 -0.12460471662071226 0.18230906428252622 -9.343660148028732e-05
PC_6 0.00019585007542431053 -0.00012794302855300267 -0.0001552261342233715 1.063687360219863e-06 -8.614672700352112e-09 0.07960438158929733 0.167496548900047 -0.04800885413790302 1.8400069104529941 0.007538393937486343 0.23327324340072278 -0.11842129667067565 0.0656580335696461 0.10915081297764971 -0.11608545747822052 -0.0704861375749773 0.21507950957920016 -0.223808140382183 0.05895112797819158 0.14321662909703142 0.018907734077940837 -0.03154313846803661 -0.09604772390104495 0.05165518589841653 -0.1536965711164355 -0.00021622643040017375
PC_7 0.0014773729329073172 -4.497162117314439e-06 -0.00021760689753217073 8.876001282918708e-06 -7.753048062450135e-08 -0.010640468197968898 -0.10943840097517493 -0.1523578726659193 0.0075383939374860185 2.317179652706987 0.10089011669572452 0.26252185700839387 -0.14302704175354206 0.21430529051882852 -0.013305295956656592 0.012204206673684126 0.03268450381201603 -0.269237657420491 -0.24892999860677972 0.2576543580466954 0.09788501425926475 0.027707350008291966 0.011203972686210414 0.21466265904024182 -0.3451198314614958 0.00026239823377880524
PC_8 -0.0009710675245246194 -0.00012013173289727696 -8.241408367231002e-05 -2.1425107849021206e-06 1.8396658634088963e-08 0.0363611992043363 6.233060194817453e-05 -0.0932777592960059 0.23327324340072284 0.10089011669572491 2.6515238276420408 0.33001552633184217 -0.1117997569181463 -0.003766021193732491 0.09557920884455465 -0.11440784296337589 0.015383939731444488 0.11883282369038937 -0.19529164485929898 0.13241910685730937 0.24601156580442507 0.004664229966401039 0.062072971667193076 0.1281695799625318 -0.1432705994895631 -9.377724703701402e-05
PC_9 -0.0012416527644287304 -1.9177138117619327e-05 -0.0001479800186887143 5.2909367629050875e-06 -6.060751036269083e-08 -0.0005853611552342092 -0.023635963066130774 0.12627459397609067 -0.11842129667067584 0.2625218570083939 0.3300155263318419 3.437136899184045 0.12968609399575637 -0.07956926353376151 -0.2809720873961243 0.2164547822208939 -0.0879831662892668 -0.013732729316065456 -0.26804439240271877 0.0900446391285956 -0.23093759061558997 -0.1342906249341584 0.1334298224246034 -0.061733400086812384 0.23919243557364564 -0.00010719034384087048
