 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.0418744006812252e-05 2.982230562951259e-08 -3.2673728265077655e-06 -1.7237251932889207e-05 1.0933403880577235e-06 6.378469133110096e-08 -3.7733220554605855e-10 -2.2073363479004902e-08 1.3954964304825615e-10 3.6629416285321717e-06 -2.2917363759048878e-06 4.105921591818057e-06 -3.859831555290721e-05 4.84265010247055e-05 -6.915851214842602e-05 4.707465279387487e-05 -4.10134728286184e-05 -5.012841270166544e-06 -7.390781214768004e-05 -5.608847847651668e-06 -1.4647670661874979e-05 -4.926003656215449e-05 2.1028519516627187e-06 -3.530917244320412e-05 -5.245359479155762e-06 4.7363227373944375e-06 -3.877753846286421e-05 -4.5021467202068734e-05 6.369898426548665e-05 1.500502741593878e-08
yob 2.9822305629501514e-08 9.895482361828966e-08 1.568023527678403e-07 3.919968969611838e-07 -4.481602150402244e-08 -6.929452052883521e-10 -3.1110354074250456e-13 6.31805297718377e-10 -1.3794711222449482e-12 7.78364769937188e-07 6.9742927607249775e-06 5.630019679780984e-07 -6.818900230530814e-06 -1.6667840622819909e-06 -3.0980279170559776e-06 1.6519740802627506e-07 -2.4998682019314306e-06 4.576524259482148e-06 -1.6962565737591318e-06 -4.282340218650597e-06 5.807106016186414e-06 -5.400391601253704e-06 -2.7106538835942832e-06 8.535259906026594e-06 2.5805017581556897e-06 3.297356598207489e-07 -2.2107435292625524e-06 2.866558712109274e-06 -1.135814549358843e-05 -1.568283339531717e-08
age -3.267372826517278e-06 1.5680235276774617e-07 4.276003049733058e-05 0.0006365344834897716 -4.246540985506493e-05 -8.576635398898237e-07 5.357633298685024e-09 8.552057819760635e-07 -5.345354488255716e-09 1.3162982502963385e-06 -2.369096189379265e-06 -5.96406765809545e-06 -1.6981502079746396e-05 7.1178651082027595e-06 1.4858697455621447e-05 1.0806427129994796e-05 2.552110038039395e-06 2.8834972505304527e-06 1.33633384648129e-05 -7.041850906065411e-06 -1.563183388221094e-05 -9.832356295021549e-06 -3.6096609977121115e-05 9.326805456336797e-06 7.601613039586472e-06 -3.824198005192525e-06 -4.0666533764129216e-05 -2.0322347956867817e-05 1.1309255033118331e-05 -5.317693589067444e-08
sex -1.7237251933357152e-05 3.9199689695851353e-07 0.0006365344834900282 0.0165739819336063 -0.00107402678033264 -1.2510749799491047e-05 7.68233841801611e-08 2.1225087499629417e-05 -1.3081848883643286e-07 1.857702549905477e-05 9.644858003231245e-05 -4.047415299853833e-05 0.0001065015492237001 -3.795080355632925e-05 0.00017511253855862443 0.00020908410512943273 8.434546614959354e-05 0.0002570029391177924 0.0001755013288408763 -0.00040365604383629534 1.717684554081538e-05 -2.8627387856589777e-05 -9.387182918555546e-05 -7.114012672966876e-05 0.0002917511681988049 0.00034295158459644187 -0.0004006496391980326 -0.00021949762063922475 -4.825668621800411e-05 -1.0884372618567897e-06
age_sex 1.0933403880711016e-06 -4.481602150438391e-08 -4.246540985508515e-05 -0.0010740267803326427 7.185428641408538e-05 8.544800981433253e-07 -5.342593559049595e-09 -1.452921893736986e-06 9.113349044208917e-09 -2.198092499705277e-06 2.153811816496911e-07 9.878105119087735e-06 -5.303456841707347e-06 1.6086792185826775e-06 -1.7515729426346497e-05 -1.315680963754636e-05 -8.396377835766095e-06 -1.2159686118911469e-05 -1.48684055156258e-05 2.3387292119357656e-05 -1.3914683600220099e-06 1.695875567145385e-06 8.665324428440424e-06 8.69852432360607e-06 -1.667573593126764e-05 -2.2839066826672162e-05 2.9599580564979777e-05 1.5542053035755893e-05 -1.0225762845392063e-06 1.9930299805027657e-08
age2 6.378469133107221e-08 -6.929452052882284e-10 -8.576635398898796e-07 -1.2510749799486361e-05 8.544800981429606e-07 1.7608600363344908e-08 -1.1194565584536126e-10 -1.7557879581824134e-08 1.1163002825337668e-10 5.5027646995757726e-08 3.832715604850774e-07 2.4696116697544794e-07 2.1430989137182112e-07 -1.1481909296287162e-07 -4.280301202870024e-07 -2.40647201728512e-07 -1.9808321113848953e-07 1.3148689715364824e-07 -4.183013894180628e-07 -7.071351826814357e-08 4.3427350767782525e-07 1.8603130034633152e-08 7.582767771819021e-07 9.356203011653195e-08 1.4102693877581815e-08 1.2982156115154624e-07 7.451845885439858e-07 4.346966158014045e-07 -6.572969075620004e-07 -2.396879083122187e-10
age3 -3.773322055458381e-10 -3.1110354078027573e-13 5.3576332986856436e-09 7.682338418013446e-08 -5.342593559047492e-09 -1.1194565584536727e-10 7.225216720854109e-13 1.1161310950851972e-10 -7.202920858964572e-13 -8.855169685875768e-10 -3.255176606063803e-09 -2.11456120573249e-09 -1.5197278197336486e-09 7.449499633020197e-10 2.7800727933024596e-09 1.637158366589246e-09 1.6951230611741494e-09 -1.419858544856237e-09 3.0026703989814136e-09 1.1494231192960356e-09 -2.869702352293312e-09 2.6569135388908173e-10 -5.315523949064668e-09 -1.3823420684780726e-09 -8.052502238538237e-10 -1.1356754085752738e-09 -4.536970395896928e-09 -2.518504363207762e-09 5.589686091567112e-09 8.215487679469362e-12
age2_sex -2.2073363478360737e-08 6.318052977175855e-10 8.552057819765111e-07 2.1225087499629257e-05 -1.452921893736977e-06 -1.7557879581832343e-08 1.1161310950856758e-10 2.995525799738776e-08 -1.9100110916477376e-10 4.838247436839235e-08 -9.519453934753223e-08 -3.059170734169724e-07 8.657597921322985e-08 -3.224525979426648e-08 4.4795653337518903e-07 2.5892605279637114e-07 1.9834193448606892e-07 1.76636255985786e-07 3.783837438302818e-07 -3.5546950929138517e-07 3.5109871116573005e-08 -9.729115586869497e-09 -2.4411013975854326e-07 -2.6081408391741186e-07 3.131867352312464e-07 4.216631338180066e-07 -6.17812170059635e-07 -3.0162400414189754e-07 1.0478204262571491e-07 3.701004746181246e-10
age3_sex 1.3954964304962624e-10 -1.3794711221942288e-12 -5.345354488258657e-09 -1.3081848883643122e-07 9.113349044208788e-09 1.1163002825343246e-10 -7.202920858967846e-13 -1.910011091647721e-10 1.2361627830814775e-12 -1.7972937063634086e-10 1.0304242596856813e-09 2.4752529719115308e-09 -4.4983519096326816e-10 2.5046288302187543e-10 -3.2778548084853954e-09 -1.5069883100346766e-09 -1.341301395458555e-09 -8.232407518808783e-10 -2.868415447131027e-09 1.5557936970027334e-09 -2.850347452441264e-10 -5.3005814943195977e-11 1.9380793819643374e-09 2.0200836397364297e-09 -1.926824064983884e-09 -2.3533578000683792e-09 3.92084258569929e-09 1.570421456400337e-09 -1.0517380265043257e-09 -6.6542532113593e-12
PC_3 3.6629416285326557e-06 7.783647699371804e-07 1.316298250285532e-06 1.8577025498889457e-05 -2.19809249969435e-06 5.502764699597524e-08 -8.855169685889357e-10 4.8382474368174525e-08 -1.7972937063499478e-10 0.025911241636929497 0.0007127441738256709 0.0018247564038025082 -0.00034718220749193013 -0.004478756759466377 0.0018845041680812793 0.003721109253676069 -0.003999389575535512 -0.0003172408040190699 -0.0012994457345319808 0.0005365462972553714 0.0050120702157605435 0.0026325700305119223 -0.0015149647748461674 -0.009331183727672998 0.0009059789893101598 -0.0005211702111930269 0.003140239198634963 -0.0007310120933419214 0.004715838319196849 -1.8697369087979818e-05
PC_4 -2.2917363759062096e-06 6.974292760724895e-06 -2.3690961894083e-06 9.644858003189343e-05 2.1538118167721339e-07 3.8327156048565027e-07 -3.2551766060673235e-09 -9.519453934807798e-08 1.0304242596890403e-09 0.0007127441738256655 0.08754384823890529 -0.0024211206511193565 0.005212816404897722 -0.0032819447978219146 -0.0005910304379675897 -0.003257680630742074 -0.0006850384635397102 -0.0060656791532424465 0.0016104560242268038 0.004400099755756549 -0.008486266091341567 -0.005964497539765141 0.006266321721899309 0.005149215512760354 -0.002731363361530194 0.0022056211397547014 -0.0039684967557710536 -0.0003008048800945046 0.003213800355810831 6.4237798397978445e-06
PC_5 4.105921591818441e-06 5.630019679782088e-07 -5.964067658107032e-06 -4.047415299855044e-05 9.878105119088085e-06 2.4696116697567314e-07 -2.1145612057338495e-09 -3.05917073416973e-07 2.475252971911508e-09 0.0018247564038025084 -0.0024211206511193595 0.1153232151912087 -0.002886201692475924 -0.004506727276593066 -0.0010068776182136502 0.004956543928271834 -0.00836329097799405 -0.0013900577296532646 -0.008899851729176417 -0.006561411300232125 -0.0004324985715351672 -0.008018365572941007 0.006908169574796336 -0.01416145107251662 0.004986327728240326 0.0034035736164318487 -0.0013444309644483048 -0.0014893103058140106 0.008602658437202754 -1.3879129010868546e-05
PC_6 -3.8598315552907004e-05 -6.818900230530947e-06 -1.6981502079757075e-05 0.00010650154922338101 -5.303456841688107e-06 2.1430989137200556e-07 -1.5197278197346306e-09 8.657597921288374e-08 -4.4983519096135473e-10 -0.0003471822074919331 0.005212816404897714 -0.0028862016924759313 0.14562166542243674 0.003011705345886346 0.004577035946667163 -0.006578028863056943 -0.004503543410638315 0.0029089273047904225 -0.006672779502434468 0.0010988861245317218 0.0002732107499021342 -0.01172471519366691 0.007354630079757637 0.0132830082041729 -0.0039029696333589274 -0.0006210862005769124 -0.00642200019240254 -0.001884841292955452 -0.004953386477142415 3.433814659139906e-06
