 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.0034980140229079982 -2.5460701248091847e-06 0.0008046967896466395 0.0008222983449704375 -0.00010766670776798624 -2.4889486410977074e-05 2.4005108994601157e-07 3.973573081464994e-06 -4.287660133807446e-08 -0.0006889221318807792 0.00036593600747694905 -0.0006392009171125592 0.0003594464805092304 0.00015286470807643118 -7.347507098718142e-05 0.0009735979943102408 0.00017506076758890308 0.0010426112293520392 0.00012824856559848853 -0.0009990206376740652 -0.002741904774494632 0.00044169981976405496 -0.00039091967196846285 -0.0006300338047517285 -0.0011978401838098267 -0.0010681549958653307 -5.349319605360733e-05 0.0023018413097168023 0.0021785816833440773 -1.0272945956683542e-05 1.5282743707622345e-05 1.436683606037828e-05 6.509042831515275e-06 -5.652714677346602e-06 -1.0640394616330032e-05 -8.662760398230194e-06
yob -2.5460701248000354e-06 6.816781821290311e-07 6.490229825102534e-09 -2.2426066757888033e-06 3.373209325884486e-08 1.542783255135724e-08 -1.5961077377164516e-10 -2.1578263135055373e-09 4.328558577295963e-11 3.345447516656738e-06 0.00011350295112315682 1.501360006619181e-05 -8.448744476731837e-05 4.4797122129473504e-05 -9.66207269368993e-05 -1.3385730214601657e-05 -3.904850002764034e-05 8.894701077164937e-05 -3.1360408432331146e-05 -6.340084081971965e-05 5.424016530947165e-05 -4.252416160279703e-05 -8.12126875451308e-06 5.2110202257818466e-05 3.854367083189168e-05 -1.5167969056853468e-05 -2.217974076627664e-05 1.2132942020127887e-05 -9.301394252238826e-05 -6.083081276624299e-08 -2.00448432328945e-07 1.0104242820362535e-07 4.766649081963583e-07 -1.1011234147228062e-07 2.189137888914837e-07 -2.2525633836269305e-07
age 0.0008046967896368431 6.490229838724438e-09 0.000665952828250796 0.007407766652021363 -0.0006659370064295847 -1.8554656208140085e-05 1.6198590514573573e-07 1.8555455659645297e-05 -1.6200272790521806e-07 4.0267228604262133e-05 0.0002833940595083136 -3.511545808410616e-07 8.653890292539362e-06 -0.00019285153297284269 0.0002531787034716571 0.00017632168396648835 -0.0005448926747704648 0.00022823556525451686 0.0011920100984774086 -0.00010915904078859366 -0.00036947782498444903 0.0004251898163318401 0.0005660976958089055 -0.0006469051869895732 0.00014811047590794954 -0.000748991216195099 -0.00028993010165376053 0.00017246702416142271 0.0006641408101769836 1.369593480419124e-06 2.382843677650443e-06 4.86423691165809e-06 4.7868377429905605e-06 -7.611787027474009e-06 -1.3224142360598788e-05 5.760179628975825e-06
sex 0.0008222983447444759 -2.2426066756141917e-06 0.007407766651928025 0.15858464679274648 -0.013797864867941424 -0.00020256529451539128 1.7408140433608684e-06 0.0003742167329863174 -3.194839387461501e-06 0.001377762062990043 0.00567863168040297 0.0028325113122579125 0.0003677390915585528 -0.0017688380142351619 0.0029817463759260034 0.008953278244165908 -0.010624763677858336 -0.0061104523544949375 0.014710462522707149 0.0009695304615330299 0.0033206558935509607 -0.00577187588048616 -0.003822226637976154 -0.018484112849141532 -0.003152105586683713 -0.005741704135969342 0.002082162026065292 0.0006691784317828915 0.002012118367045957 5.687193429253467e-05 -2.9436930275973266e-05 -3.7703591404098546e-05 0.00017705781641339088 -0.00019575248280768236 -0.00017475360827201965 0.0002381875843609676
age_sex -0.0001076667077472028 3.37320932342049e-08 -0.0006659370064208273 -0.013797864867936084 0.0012258106932913607 1.856139514075716e-05 -1.6209455208788463e-07 -3.3847140831817226e-05 2.933661941773349e-07 -0.00013152931414468186 -0.0005284283371550631 -0.0003511006482475639 7.007897917489237e-05 0.00020029229684615895 -0.000245819318095561 -0.0008970404275650371 0.0009355907315896972 0.0005835105776041719 -0.0012766917576555918 -0.0001239804948385635 -0.0003830593561674748 0.00046141121026078047 0.00034641780080182114 0.0016967865012830572 0.0003542075871152749 0.0008270145099858848 -7.420855676799868e-05 -0.00014033462350331562 -0.00025805348368609265 -6.335259681840642e-06 1.3487367078552252e-06 4.968745036920047e-06 -1.496944170875644e-05 1.877696350237864e-05 1.550409624881577e-05 -2.118620584678628e-05
age2 -2.488948641068741e-05 1.542783255124088e-08 -1.8554656208129704e-05 -0.00020256529451786852 1.8561395140989875e-05 5.269687143376049e-07 -4.676770548732019e-09 -5.268446259147021e-07 4.675843431999233e-09 -1.164866495763327e-06 -6.0966526593939575e-06 -7.602093087244523e-07 -1.4973491603527827e-06 8.429023665079045e-06 -8.329518146730926e-06 -8.367964239338118e-06 1.2177976257773412e-05 -5.060026805423596e-06 -3.447907133615449e-05 1.6650071007892952e-06 1.1320463712845945e-05 -1.2907400513387589e-05 -1.2997281903267066e-05 1.9783049785855367e-05 2.2771392831813985e-06 2.5120225397176485e-05 5.6233521964899e-06 -1.0093502185397858e-05 -2.0046561108090635e-05 -6.309796124800289e-08 -9.599557637011163e-08 -9.93732495871175e-08 -1.4230292520986305e-07 2.790299794518534e-07 3.484517481102051e-07 -1.6362295113882625e-07
age3 2.400510899435074e-07 -1.5961077377652516e-10 1.619859051455612e-07 1.7408140433814447e-06 -1.620945520898226e-07 -4.676770548729644e-09 4.214390509850464e-11 4.6764348128639535e-09 -4.214122395022696e-11 9.634454615320071e-09 6.261929662238374e-08 1.2100383870301813e-08 8.376212225588399e-09 -8.452306379077621e-08 6.419255009013702e-08 9.943378583020824e-08 -8.867479587278189e-08 5.35050006098364e-08 2.9925947636709275e-07 -1.4016055058359871e-08 -1.0182506221093771e-07 1.1223126714475053e-07 8.181492627253147e-08 -1.8379306901080432e-07 -6.154852357545513e-08 -2.5288815577999263e-07 -3.283876640803826e-08 1.2898506423397732e-07 1.797251620075217e-07 6.86702058234751e-10 9.8026267326569e-10 6.123408961727997e-10 1.3230846289797948e-09 -2.777290969368158e-09 -2.8330016187139834e-09 1.3849613719644984e-09
age2_sex 3.973573080886557e-06 -2.1578263137142367e-09 1.855545565938929e-05 0.0003742167329860092 -3.384714083180293e-05 -5.268446259078832e-07 4.676434812807016e-09 9.508247918709307e-07 -8.369303005372053e-09 3.931255641774811e-06 1.5224179377425011e-05 1.2086746176183529e-05 -3.928310571876624e-06 -7.11397658426655e-06 6.182207442215316e-06 2.7618341499461822e-05 -2.5155004857546107e-05 -1.6077652066719758e-05 3.49760083665834e-05 4.751783635314604e-06 1.232424992022809e-05 -1.0298094064724336e-05 -1.009629573920055e-05 -4.8158191348099165e-05 -1.2748344675939327e-05 -3.081517218575128e-05 5.414593795400152e-07 5.843799193670358e-06 9.664908101818624e-06 2.0870289891676762e-07 -2.7018445557164042e-08 -1.8302944053944492e-07 3.9557539590009e-07 -5.305666729233422e-07 -3.967173208606297e-07 5.755587718984356e-07
age3_sex -4.287660133292719e-08 4.3285585778156097e-11 -1.6200272790288168e-07 -3.1948393874574856e-06 2.9336619417709087e-07 4.675843431936943e-09 -4.2141223949705743e-11 -8.369303005368736e-09 7.475662680942293e-11 -3.838035160057757e-08 -1.345581972240495e-07 -1.2001451550958502e-07 4.404829606465737e-08 7.87002660249509e-08 -4.757691683189666e-08 -2.588996575386372e-07 2.0883573634119985e-07 1.3089072608002692e-07 -3.018507525276377e-07 -5.3461291339679755e-08 -1.197463476294036e-07 6.80729960465128e-08 9.539832039595479e-08 4.2883318573133515e-07 1.3484097787551669e-07 3.2255478378577015e-07 -3.115429792658753e-11 -6.823841930848743e-08 -1.1096753211895229e-07 -2.0919679861737074e-09 2.518751803353705e-10 1.9845197505559924e-09 -3.2946111925054252e-09 4.589046787773327e-09 3.10270744379598e-09 -4.882875414957986e-09
PC_3 -0.0006889221318830865 3.345447516659357e-06 4.0267228603852624e-05 0.0013777620630017185 -0.00013152931414577877 -1.1648664957530987e-06 9.634454615240765e-09 3.931255641806752e-06 -3.838035160086748e-08 0.15335434626672256 -0.026863819360210393 0.009169252880169473 0.02401513529221834 0.014409016502196816 0.004493278421800664 0.012331432500361773 -0.02741235961765407 -0.018370211753421788 -0.011417904038107031 0.03681240996072603 0.003844286867351188 0.04801404261587623 0.014227908958353309 -0.09136036752283819 -0.023002424262148234 -0.014787746189697757 0.021925017505322088 -0.029694080492341717 0.0623787279804493 3.07156950912618e-05 -0.00011974983764453317 -0.0002701913972877319 0.00014570186646098088 -0.00020263225190008383 0.00020537612907021077 6.245375259142628e-05
PC_4 0.0003659360074684859 0.00011350295112315784 0.0002833940595051781 0.005678631680411674 -0.0005284283371560972 -6.096652659312331e-06 6.261929662171848e-08 1.5224179377461334e-05 -1.345581972244281e-07 -0.026863819360210588 0.4527238457895746 -0.0027518548999437378 0.1008885383970483 -0.0394193856015223 -0.044284404484857466 -0.02153730696436937 0.014974482187550498 0.010538943597398388 0.03898463913634739 0.05328198948139166 -0.0288603231240988 -0.05002893157370754 0.05341676171895719 0.02732263841353678 -0.031413371249366426 0.015144706387653263 -0.02379761200619429 0.01667237111819032 0.06252920095756048 -0.00025825239653751224 7.070727737726172e-05 0.00020874764281623493 0.0005016355281037127 -0.0005722969341148659 -2.9866933851566702e-05 -7.493694488566243e-05
PC_5 -0.0006392009171210984 1.5013600066184118e-05 -3.511545883875834e-07 0.002832511312169637 -0.0003511006482396991 -7.602093085146035e-07 1.2100383868473937e-08 1.2086746175966107e-05 -1.200145155076989e-07 0.009169252880168266 -0.0027518548999476873 0.595373058093149 -0.03323139470306735 -0.08282577140469788 -0.08828233331403186 0.07575023587609539 -0.043442205600379126 -0.08625692161946227 -0.05297742987188373 0.025436328433691098 -0.0402864012825096 -0.026375753192090984 0.038034757632962796 -0.12345747088931579 -0.030106656874750382 -0.013240539512373134 -0.022789064529592482 -0.03891087501979628 0.10694839473225508 -9.106196198798336e-05 -0.00011161868771348688 -0.00019270029127140296 0.0001608974744672012 -4.386745414397517e-05 2.0278531771009352e-05 5.026191072165195e-05
PC_6 0.0003594464805126623 -8.448744476731755e-05 8.653890298874027e-06 0.00036773909166735476 7.007897916504789e-05 -1.4973491605321017e-06 8.37621222717658e-09 -3.928310571599786e-06 4.404829606221763e-08 0.024015135292219634 0.10088853839705274 -0.03323139470306454 0.79977447328897 0.048235316802948486 0.070285389482252 -0.06456614074350335 0.07439004518880163 0.02447707859544021 -0.029885312400878238 0.04145915898452151 0.14914018432946655 -0.12991680993233362 0.053869675047656815 0.11378133442949208 -0.013673275257589717 0.01038921594067288 -0.06025863248586945 0.053336330324286516 -0.09735674338009835 7.15164038573269e-05 -0.0001182966155393005 -4.279648713658712e-05 0.00010947335159907211 2.138201094976211e-05 5.599485162785702e-05 -0.00027305407664804696
