 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.008119740872951574 -5.204351279523851e-06 0.0006965186822947821 0.0007583273252308534 -0.00014376254056397235 -2.9299229653660738e-05 3.49322478021744e-07 6.966266326424443e-06 -8.965216275867327e-08 -0.001858845832912587 0.002581025113679742 -0.0013142104666977188 0.00036728317898766533 9.027877934185794e-05 -0.0024029520213106276 0.001219128414333372 -0.00016822535425752458 0.00020624989986863163 -0.003426569814147419 -0.0010031533470189534 -0.00427846165047589 -0.0033623494851211374 -0.006096627337389819 -0.0017396149926233791 -0.003574667455972274 -0.004242251773788184 -9.829714461993886e-06 0.00736758257290944 0.004165018051131332 -2.881120162216996e-06 1.914676538022648e-05 1.5418227423090665e-05 2.3716795024794304e-05 -3.06199005052391e-05 -6.162824479292034e-06 -2.647301703360605e-05
yob -5.204351279515992e-06 2.3157259663998386e-06 1.2898348891709329e-06 6.097697670603674e-06 -7.996536791417018e-07 1.4435997470098898e-08 -1.986038909715624e-10 1.1941816440184095e-08 1.778572618375409e-11 2.16601894458365e-05 0.000294793622649781 3.296912156164923e-05 -0.00023611577754715368 9.611694810427239e-05 -0.00024380744931762804 -3.637902883291202e-05 -9.571100210189558e-05 0.00025421553298408576 -8.604363339821334e-05 -0.0002126668359516022 0.00018652050305679248 -0.00013646613359761807 -5.8241007059348786e-05 0.0001290992482655567 0.00016323661694495992 -3.9232725829764917e-05 -8.96976078654118e-05 6.109449644712998e-05 -0.0003068578479995544 -2.1442485154247754e-07 -1.9929618419601085e-07 1.0362029371878215e-07 1.6665901652173936e-07 4.494945624428023e-08 6.11941351516438e-07 -5.895854299405346e-07
age 0.000696518682297611 1.2898348891685932e-06 0.0002416197282133227 0.0018248082593379123 -0.00023856799858683865 -8.49551746630369e-06 8.718621958970821e-08 8.423129601109852e-06 -8.647775602523416e-08 -0.00013817307004053436 0.0004399819172785898 -0.00018816518524804635 8.621445847130191e-05 -0.00042523268926857575 -0.00016951880012465185 -0.0004239891123551011 -0.00017822441592935754 -0.0003517892897576914 0.00014678522544391728 -7.739071005324378e-05 -0.000551774115988578 -6.212829597040195e-05 -0.0005818000841354656 -0.000294281030749882 0.00023723346896575894 -0.0010226799935072676 -0.0005175946836916466 0.0014537037269685897 0.000575052051462006 5.719124183105647e-06 4.100091459963247e-06 -2.7366421073005867e-06 5.91118718189657e-06 -1.2529378057035642e-05 4.8613482038072326e-06 -4.877916221419039e-06
sex 0.0007583273252729581 6.097697670537142e-06 0.001824808259343166 0.029087685903192786 -0.00336473868259528 -6.088349248784548e-05 6.03201495988115e-07 0.00011042799819015258 -1.0799375278452196e-06 -4.302998789895425e-05 0.0014805988401690856 0.0016216173386707292 -0.002012343056650898 -0.006249628081535283 0.0006249887818121897 -0.0006025981289830043 -0.0019749082382456993 -0.010791105372703138 -0.0006980483546907624 -0.0023436008626948304 -0.003421141944332474 -0.00453815386984732 -0.006443974985927569 -0.014558076443005327 0.004047241799509399 -0.009641423173728661 -0.002337397138189848 0.009302335439541037 -0.0003309100516989794 5.835450025100507e-05 4.25416924150708e-05 6.887086973837801e-06 -3.200159444085191e-05 -1.8548698003930564e-05 -4.118577983163043e-05 1.875014763397467e-06
age_sex -0.0001437625405693529 -7.99653679137285e-07 -0.00023856799858741398 -0.003364738682593801 0.0004288803093226769 8.415881814860825e-06 -8.647978039007154e-08 -1.4903405665463475e-05 1.5135097363143998e-07 -4.3727375867338586e-05 -0.0002841164509056008 -0.00030495677706783147 0.0002701618823816223 0.0006617861978809575 -0.00019694873589189168 3.6633644876495885e-05 0.0003940163321405689 0.0012600733934233807 -6.642295196845847e-05 0.0002866535119335343 0.0002815811166224889 0.00033659023631093496 0.0006482320708194391 0.001658856963096924 -0.00031735068669490416 0.001287120747658001 0.0004160096701461673 -0.0010368676081486817 -0.00013766655634595544 -7.670610601044105e-06 -5.590455186161904e-06 -6.297287309034441e-07 4.632001771349227e-06 3.3341785826599964e-06 4.433056009585743e-06 1.5062123776596936e-06
age2 -2.9299229653762538e-05 1.4435997470285924e-08 -8.495517466300484e-06 -6.088349248761588e-05 8.415881814834841e-06 3.142046458377291e-07 -3.336094023393021e-09 -3.1121711266625924e-07 3.3072092735614924e-09 3.33421480605116e-06 -1.156844165224127e-05 4.628348261740133e-06 -7.128802306841169e-06 2.1412135868901414e-05 -1.3172594764025423e-06 1.0417929675349869e-05 6.795593288190665e-07 1.5299659611742116e-05 -8.703746065308998e-06 -3.1361361354774544e-07 2.1869229115653167e-05 1.6437701665161768e-06 2.0237696884481893e-05 1.2499299364209373e-05 3.462507552078994e-06 4.003323981278667e-05 1.1136985582600758e-05 -5.437404986170853e-05 -2.099810521535796e-05 -2.1854794830014758e-07 -1.3728425483345482e-07 6.277000843549295e-08 -1.5678584041463791e-07 3.9864168805898087e-07 -1.1765733754013353e-07 1.6406006309848523e-07
age3 3.4932247802277126e-07 -1.986038909730883e-10 8.718621958964795e-08 6.03201495985386e-07 -8.647978038975633e-08 -3.336094023392064e-09 3.641516016848543e-11 3.306715915392105e-09 -3.6120993586722794e-11 -2.6406314920659495e-08 1.5745420360104505e-07 -3.8422574661082404e-08 5.820938335493465e-08 -2.2901383760538846e-07 1.3890263745775502e-08 -7.670432436171439e-08 1.2991752737679257e-08 -1.1645764787392987e-07 7.972693613852265e-08 -1.4014429924482068e-08 -2.1210627158702103e-07 -3.6533088621208645e-08 -2.4430114229815316e-07 -1.3540884477622992e-07 -8.725970260266722e-08 -4.468624061299875e-07 -8.082694761291835e-08 5.86351960804275e-07 2.046596917845595e-07 2.247212466825201e-09 1.2781304481736503e-09 -4.872606851620677e-10 1.2457019802238287e-09 -3.5957444328837658e-09 1.0018443952860165e-09 -1.7157026551153199e-09
age2_sex 6.966266326613723e-06 1.1941816439889253e-08 8.423129601126393e-06 0.00011042799819005177 -1.4903405665457155e-05 -3.112171126670438e-07 3.3067159154018663e-09 5.415537623016709e-07 -5.686903787985557e-09 2.2676473729247885e-06 1.2591754762467066e-05 1.1990524554672079e-05 -8.003751496178079e-06 -2.2128785958107582e-05 9.94997707584669e-06 7.08399187074211e-07 -1.3983544652309113e-05 -3.820581995546086e-05 4.716144003699009e-06 -8.44709798460831e-06 -7.322432789095664e-06 -4.959039813437143e-06 -1.9760297793973756e-05 -5.1800522778937156e-05 5.838116728327435e-06 -4.884898130274937e-05 -1.5170485170200407e-05 3.309474643827027e-05 1.0668420238705513e-05 2.7898111615020557e-07 1.7118445501848153e-07 -1.029275152966354e-08 -1.8039813082020833e-07 -1.0101430764712955e-07 -9.070004275967173e-08 -7.469318283687355e-08
age3_sex -8.965216276060407e-08 1.778572618974511e-11 -8.647775602536998e-08 -1.079937527843773e-06 1.5135097363132057e-07 3.3072092735683972e-09 -3.6120993586811153e-11 -5.686903787983625e-09 6.140835326923032e-11 -3.276973133471762e-08 -1.4557780406446539e-07 -1.202068679330931e-07 5.678856370412191e-08 2.3186154414579515e-07 -1.2381554579702197e-07 -1.6298027457784303e-08 1.2833296237356655e-07 3.294098309496886e-07 -5.9404692286159694e-08 7.725284345533e-08 5.6822147047271236e-08 1.0797937566507242e-09 1.8887690263980816e-07 4.903013255924388e-07 -2.0397193468374223e-08 5.148049473952342e-07 1.4586360750680037e-07 -3.3372525428603704e-07 -1.7936142934190697e-07 -2.9652054043624568e-09 -1.475750242654026e-09 5.145391152075888e-10 1.9656641832769563e-09 7.825633290949945e-10 3.266407142140506e-10 8.000241433281709e-10
PC_3 -0.0018588458329121295 2.166018944583557e-05 -0.00013817307004026174 -4.3029987895874376e-05 -4.3727375867758084e-05 3.334214806041112e-06 -2.6406314920552217e-08 2.267647372939987e-06 -3.276973133487771e-08 0.4461336417553623 -0.06907799290751249 0.04140546261099055 0.07154123615101998 0.010212771628570963 0.012742754677140214 0.04259867230203614 -0.07280539093739166 -0.056124989792233064 -0.021823286974525277 0.0810558393416453 0.007232204857024516 0.12783044863782936 0.03707268339161499 -0.21861016369489034 -0.0598025451812946 -0.024986265450452964 0.04867019278800443 -0.07143098224836357 0.17414514178361212 1.9434521260063962e-05 -0.00019020745059320876 -0.00044895574453435096 0.00013257304095922568 -0.00040492967836613497 -7.509384095999132e-05 0.00046152995447169126
