 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
intercept 0.007771310190636057 -5.526425703342312e-07 0.0006177906696141077 -2.5023982960673903e-05 2.9230583412965023e-07 -0.002737134992687615 0.0003062535196726579 -0.0018212481510853547 0.0007298157512990406 0.0026202767850143933 -0.003432270365054868 -0.00017978831871037085 0.0027684961166335683 0.0014825587997644276 -0.004712263271430509 0.002841083814167909 -0.0043195091830235 -0.0035859107794578952 -0.006316798825262789 -0.0024677255709430962 -0.005440252441897061 -0.00032806862790463203 6.751674195246095e-05 0.004550608605021073 -0.000982602713807077 -3.255612877090794e-05 2.8442691916388537e-05 2.297765714816346e-05 4.487632238231466e-05 -3.1512621663294856e-05 1.1411423096972078e-05 -6.464540238932065e-06
yob -5.526425703393492e-07 2.3544100704846097e-06 1.112999284940534e-06 7.222660421953509e-09 3.3570534553160136e-12 2.5134267960312356e-05 0.00031777304175984226 2.9598323469274e-05 -0.00024986559796267855 0.0001078214963472476 -0.00026401835957582336 -4.93581383984804e-05 -0.00016575400207429635 0.0002652680595268663 -1.651740539295461e-05 -0.00023607054248489092 0.00019722431566282373 -0.0001386638463133128 -2.8023912714576158e-05 0.00012180408407619504 0.0001265031204438522 -0.00013127801744214031 -6.959019212040193e-05 6.176757865018131e-05 -0.0003509821393781349 -2.182168108423381e-07 -3.053089226385178e-07 6.225458967711283e-07 -7.595419987393491e-08 3.664628783021546e-07 -4.948525859731542e-07 -2.1414230966881737e-07
age 0.0006177906696141283 1.1129992849413112e-06 0.00011826952978618644 -3.97543795568065e-06 3.959437622825136e-08 -0.0001260046581369823 -1.0664688337841971e-05 -0.0004614908954811761 0.0002674832380343942 0.00029535631143934245 -0.0005145796167331327 -0.0004379480170015877 0.00018790357103753 0.0009573296758681916 -0.0001307793284683375 0.00037989537492413123 -0.00020035528777606688 0.0002443806844161587 -0.0001873381976870227 0.0010238412429661994 -0.00015784409295753636 4.825733835825545e-05 5.308452401897495e-05 0.0008352839751681971 4.92905315298762e-05 -1.5798330723664788e-06 1.7318705374723393e-06 -2.4282252127626353e-06 8.279390909297006e-06 -7.074340641077276e-06 8.866106751308088e-06 -1.1008256488787704e-06
age2 -2.502398296067491e-05 7.222660421922251e-09 -3.975437955680683e-06 1.4094128058629122e-07 -1.4521218527402313e-09 3.948518604783893e-06 6.772992078471263e-06 1.593481583624546e-05 -1.392542781029363e-05 -1.3530140761171021e-06 1.1859421719413071e-05 1.3491989510013571e-05 -1.6077556600909672e-05 -2.5141990064000878e-05 3.0387339745592027e-06 -1.666906952190703e-05 1.2421213472176219e-05 -4.464267684423162e-06 9.102251441278951e-06 -2.681143609682156e-05 1.338156732109891e-05 -3.622394801983262e-06 -8.604429261295811e-06 -3.378459460866029e-05 2.0977924006922034e-06 5.3605426983793814e-08 -6.781967228037629e-08 5.688185243627837e-08 -3.0238544315614733e-07 2.6712220083971587e-07 -2.667890063141868e-07 6.002918770777482e-09
age3 2.923058341296598e-07 3.3570534556204403e-12 3.9594376228251534e-08 -1.4521218527402257e-09 1.5406709240637547e-11 -4.546090733605583e-08 -4.2466146834438724e-08 -1.560883531887509e-07 1.1422957685721908e-07 4.557127584509575e-09 -1.3091332306161112e-07 -1.2774871577109235e-07 1.9236263615928832e-07 2.431563511614533e-07 -3.769827356940163e-08 1.6115667809898053e-07 -1.3492153204823786e-07 -1.071820552552034e-08 -1.406981860120096e-07 2.1278508441993813e-07 -1.6769669240684114e-07 2.0355598149617562e-08 1.0470045380691684e-07 3.5957438581993695e-07 -9.388558884244428e-08 -7.054549871030651e-10 7.805673158320002e-10 -1.724648983830282e-10 3.0144958027056476e-09 -2.644981873399867e-09 2.2337723924260342e-09 2.1981925896277427e-11
PC_3 -0.0027371349926874574 2.513426796031114e-05 -0.00012600465813695838 3.948518604783021e-06 -4.546090733604659e-08 0.5101472905399209 -0.08566328341169095 0.026884745649659782 0.07080699277178412 0.03609057804508245 0.04014567755895444 0.021200152266231235 -0.08982626422942544 -0.05598144867090702 -0.03402134698322811 0.09708876194457414 0.030670495524491744 0.1548105673151769 0.004611347358694702 -0.20462345752696876 -0.05492483735133513 0.004986895628482654 0.05593130471869546 -0.13063826344082263 0.1793723338518055 -0.00011828330426417376 2.2681606962059692e-05 -0.00028027188146105444 0.000363810804939552 -0.0008952127003729343 0.00018349438680181603 0.000264024606889845
PC_4 0.00030625351967148 0.0003177730417598414 -1.0664688338008049e-05 6.772992078477231e-06 -4.246614683450139e-08 -0.08566328341169054 1.5049051860589577 -0.011538682231048647 0.3321417203781727 -0.13191297704593088 -0.12499706763828466 -0.012034334538206723 0.0479950902443896 0.06623452231897786 0.10445843983409946 0.16561681091321004 -0.07118291008233504 -0.19215436397866012 0.1332746237319989 0.06991803899656908 -0.09011214731573061 0.05764118970583405 -0.09459029584540676 0.07546328758729141 0.23424541189627812 -0.00015848677525404927 -0.00015428420683842364 0.0004494433496846834 0.00029668112700155606 -0.000279324876828033 -0.00047612572457558837 -0.00052078072339567
PC_5 -0.0018212481510856214 2.9598323469270622e-05 -0.0004614908954812083 1.593481583624649e-05 -1.5608835318876185e-07 0.026884745649659775 -0.01153868223104917 2.0700566809689858 -0.1016135193647239 -0.2683043469651826 -0.22510256138489904 0.2791504200462168 -0.1450877319805329 -0.35322325796981413 -0.1509005242174628 0.006579678089678617 -0.15743861435555304 -0.09115643790888374 0.07091971916197631 -0.4268866874569426 -0.1446611494950066 -0.06268797841108069 -0.04133971518454863 -0.11719681353937751 0.29754783896259257 -0.0004201464997011804 -8.159435178832142e-05 -0.0011012508925004052 0.001226140342620157 -0.0010670215185633206 0.0008214651647101224 0.0007076932377672453
PC_6 0.0007298157512999782 -0.0002498655979626762 0.00026748323803453555 -1.3925427810298232e-05 1.1422957685726709e-07 0.07080699277178414 0.33214172037817313 -0.10161351936472485 2.7093278593680803 0.16449482812183444 0.2523300095504342 -0.13733280351182467 0.25104968261856125 0.13126784933706007 -0.11102564052894096 0.14173937361657749 0.392206661934757 -0.4443760163620419 0.12223392141995978 0.3200267867879047 -0.07521163796893715 0.022054056331963463 -0.27204496787729443 0.18435212159053777 -0.219953837836475 0.0003873094777563878 -3.086295024941153e-05 -0.0006172672963220779 0.0015329825418181787 -0.0018539580319794078 -0.0001288656687938423 -0.00036681944710271233
PC_7 0.00262027678501337 0.00010782149634724809 0.00029535631143920703 -1.3530140761124142e-06 4.557127584456873e-09 0.036090578045082526 -0.1319129770459309 -0.2683043469651816 0.16449482812183364 3.742471864552078 -0.03164297745976077 0.42770167724662617 -0.19209904983807174 0.3862583903429767 0.2711622967772424 0.20456921918003215 0.06637668914525159 -0.4149063186853887 -0.22214842886403044 0.6310500397921216 0.212300536629302 0.03936627370730014 -0.5048399856545145 0.08006258147165905 -0.5963197489200337 -0.00032454306342399045 0.0017202344315279526 0.0006884368747632873 0.0003790279120183318 0.00032398356440344885 0.0007648184481876081 -0.0012157517002033633
