(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00108490220191638 0.000990220270129938 0.000282013518755581 -0.000445084065843707 -7.63253850453507e-05 4.35717265127009e-05 -2.57759258107479e-05 2.087848316282e-05 1.90768969582091e-05 -2.05781842829365e-05
covarage 0.000990220270129938 0.00258798548709943 0.00279492980263884 -0.00414056117650185 -3.12853857441615e-05 9.25872715335371e-05 -4.65829944472889e-06 2.7569898445615e-05 3.15400470046238e-05 -5.94344404639098e-05
covarsex 0.000282013518755581 0.00279492980263884 0.00530910750646618 -0.00735317472680791 -7.89239568017311e-09 4.63985542657395e-05 8.05577215231662e-07 -5.53957202112817e-05 0.000133170032055476 -4.06069158407413e-05
covarage_sex -0.000445084065843707 -0.00414056117650185 -0.00735317472680791 0.0110398520967388 1.16843299168661e-05 -3.95377283759252e-05 -1.14313449984831e-05 6.10501725157463e-05 -0.000171618465583977 6.97929028253912e-05
covarPC_3 -7.63253850453507e-05 -3.12853857441615e-05 -7.89239568017311e-09 1.16843299168661e-05 0.000420739939675927 -1.9248746000477e-05 -1.06768881399885e-05 -1.10195855481653e-05 9.09181310250844e-06 -2.77730828267023e-05
covarPC_4 4.35717265127009e-05 9.25872715335371e-05 4.63985542657395e-05 -3.95377283759252e-05 -1.9248746000477e-05 0.000443970817669683 -4.59977410813691e-08 5.16213830426565e-06 3.73859260132787e-05 -3.71181104472023e-05
proband -2.57759258107479e-05 -4.65829944472889e-06 8.05577215231662e-07 -1.14313449984831e-05 -1.06768881399885e-05 -4.59977410813691e-08 0.000529992355804953 -0.000273719617348047 -3.59903512799029e-05 3.78507141554433e-05
paternal 2.087848316282e-05 2.7569898445615e-05 -5.53957202112817e-05 6.10501725157463e-05 -1.10195855481653e-05 5.16213830426565e-06 -0.000273719617348047 0.00295409999479211 -0.00246561118640752 -0.00227529180957815
gpp 1.90768969582091e-05 3.15400470046238e-05 0.000133170032055476 -0.000171618465583977 9.09181310250844e-06 3.73859260132787e-05 -3.59903512799029e-05 -0.00246561118640752 0.0101330933278959 -0.00527127059187546
gmp -2.05781842829365e-05 -5.94344404639098e-05 -4.06069158407413e-05 6.97929028253912e-05 -2.77730828267023e-05 -3.71181104472023e-05 3.78507141554433e-05 -0.00227529180957815 -0.00527127059187546 0.00972697370753947
