 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 0.0032046429044001266 3.6021663290740473e-06 -0.004739187538066927 -0.08789966027742925 0.003808245521614502 6.878187978330498e-05 -3.2865775543148106e-07 -5.439611612519681e-05 2.562237368460854e-07 -0.0002024522498126042 0.0002934151765946321 0.0001965957860658324 -0.00043363037385101 0.0002558400188091696 -0.00039686060069966164 0.00023273824950265307 -0.0003802993764838195 0.00027571714776697794 -0.0004955974227269347 -0.00037036300195366533 0.00048082362704114504 -0.0005185972130813592 -0.00032337624429950185 -1.064744987566771e-05 0.00047397157245992604 0.00013414676112366445 -7.990646622313703e-05 2.644330834969208e-05 -0.00038904699312216164 -2.9752078352444233e-06 -1.4655897650245722e-06 6.786869770543232e-07
yob 3.602166329005771e-06 1.9180761036048188e-07 -5.144537688405857e-06 -0.0001463123367667174 6.022228947361018e-06 7.091336079990069e-08 -3.145512817785332e-10 -8.21970610072206e-08 3.7198075470656677e-10 5.474185274833461e-06 9.857653541762251e-06 -1.7351023344417689e-06 -1.9810062260061393e-05 -9.094944801750993e-06 -4.857034056276467e-07 3.0263078477911084e-06 -4.25820046914948e-06 9.706889299634075e-06 -5.346619555037056e-06 -1.3374731839986029e-05 1.7477424922591507e-05 -1.3173463908721871e-05 -3.148999804095765e-06 1.7209829082791672e-05 6.784807949526331e-06 5.570937110243313e-07 -5.582251768646815e-06 8.140837734205968e-06 -2.4973169950851995e-05 2.4173792937818736e-09 -3.112374682677208e-08 -7.751488421993329e-08
age -0.004739187538031446 -5.144537688493227e-06 0.009065221942765073 0.20384436803502706 -0.009062124606911118 -0.00013279176156419785 6.403754794340616e-07 0.00013269093201294737 -6.39950910360729e-07 0.00018496185887002047 -0.0004682609297762882 -0.0002910557528717862 0.0004615095457071448 -6.7139397365287615e-06 0.00033065049173593316 -0.00017259435237397495 0.00033079574902618314 -0.00028424749466685517 0.0005304369128410265 0.0005525937536591215 -0.0008855536308540781 0.0005990136056917059 0.0003688582881571794 -5.6707010575749326e-05 -0.0010858354033910797 -2.0297943360688647e-05 -0.00014410825647869627 -0.0003280321759924741 0.0006599929803019963 4.718365571787397e-06 6.085067133441693e-07 6.624459076492464e-07
sex -0.08789966027599783 -0.00014631233677102036 0.20384436803371228 5.239793339110481 -0.23431582492926561 -0.0029761541853083424 1.4304760826587547e-05 0.0034494846094308778 -1.671738625630099e-05 0.0011647494303453625 -0.015904978933227905 -0.01022971007365083 0.011323492642346375 0.007636956386976719 0.0047997444601816696 -0.0019024504770010686 0.005027287575127655 -0.005214956543974619 0.009639149073745678 0.0136585168098956 -0.02252775997633005 0.015582942379607966 0.005052644393229572 -0.007890766666211536 -0.030601618214513744 0.0036482665657463307 -0.004065198012465874 -0.015270643963297467 0.018823598273161508 9.418413995634944e-05 -2.3011069757366848e-06 0.00010346976135128896
age_sex 0.003808245521550879 6.022228947482896e-06 -0.009062124606852913 -0.23431582492928743 0.01051854640234896 0.00013269821205081305 -6.396832265616189e-07 -0.00015543610726880406 7.560812903216282e-07 -3.7569207467044804e-05 0.0006556930598158702 0.0004170350835190963 -0.0004501147756684399 -0.000325706609764809 -0.00019438197599832858 6.773867000194789e-05 -0.00019981030493569857 0.00017663872773259623 -0.0003977561971904716 -0.0005580940015275641 0.0009370150182277346 -0.0006287394046736789 -0.00020636017392420612 0.00030116227271120404 0.001319657441227862 -0.0001829837905573363 0.00020815113001963103 0.0006508716084930354 -0.0007539322116768672 -3.871693783007682e-06 4.227724527364615e-07 -4.856642587871983e-06
age2 6.878187978280767e-05 7.091336080306704e-08 -0.0001327917615642392 -0.002976154185328776 0.0001326982120517196 1.9510003461855297e-06 -9.43676076333252e-09 -1.9487863602850367e-06 9.426566045265463e-09 -2.455426655547673e-06 6.14228083875643e-06 3.5075877959959036e-06 -6.300364282160278e-06 4.5740753747189267e-07 -4.712046852307357e-06 2.3624703547199167e-06 -4.739760410649339e-06 3.838763872984608e-06 -7.79638871793713e-06 -7.726797455710153e-06 1.2503087614214885e-05 -8.126488644636191e-06 -5.182277529311641e-06 1.3766189035670752e-07 1.5438601632305085e-05 3.831520821118681e-07 2.377605208788566e-06 4.057481725201892e-06 -8.909349051706219e-06 -6.59875214035642e-08 -7.555097915079973e-09 -9.05588756832769e-09
age3 -3.286577554291142e-07 -3.1455128179364327e-10 6.403754794344592e-07 1.4304760826691894e-05 -6.396832265662549e-07 -9.436760763335448e-09 4.578465056233731e-11 9.422452128692915e-09 -4.571580253548244e-11 1.0539724213461453e-08 -2.602451778215389e-08 -1.3756225483860939e-08 2.7119869082600607e-08 -3.8482463827466245e-09 2.1894800408841245e-08 -1.0248868299648715e-08 2.2369618516899158e-08 -1.6973368460334952e-08 3.7555570617787534e-08 3.530909008812682e-08 -5.761607998088361e-08 3.578894203562874e-08 2.333935895711921e-08 3.074497947498828e-09 -7.254736444386549e-08 -2.4635006626341836e-09 -1.3148459747126722e-08 -1.5706873276844168e-08 3.93558220901011e-08 3.071245188547852e-10 3.07370845653203e-11 3.899848906132564e-11
age2_sex -5.4396116124268335e-05 -8.219706101025472e-08 0.00013269093201210153 0.003449484609431669 -0.00015543610726882485 -1.948786360271856e-06 9.422452128625406e-09 2.305664092839084e-06 -1.1257551285102624e-08 3.517528035434573e-07 -8.930619973068025e-06 -5.646029338440136e-06 5.887019592675404e-06 4.566131273204661e-06 2.6321507542245423e-06 -7.226851748286137e-07 2.607370448943886e-06 -1.8571476600388588e-06 5.474065237630781e-06 7.5930905656059e-06 -1.2854987736460537e-05 8.361994970619851e-06 2.7098312329073807e-06 -3.764555914823944e-06 -1.873344154329641e-05 2.9490161552652415e-06 -3.444093537510112e-06 -9.157670074675058e-06 9.95895372512541e-06 5.25152615092058e-08 -9.615472349461192e-09 7.389456057825859e-08
age3_sex 2.562237368415747e-07 3.719807547208409e-10 -6.399509103567139e-07 -1.6717386256307683e-05 7.560812903218582e-07 9.426566045202791e-09 -4.571580253516085e-11 -1.1257551285104535e-08 5.517383229893645e-11 -6.635959223701733e-10 4.0233210242672055e-08 2.547521797650018e-08 -2.5319347770595124e-08 -2.1020057349998435e-08 -1.1962519543975365e-08 2.2067975762337328e-09 -1.1195775294189118e-08 5.795540638695044e-09 -2.5184717558567482e-08 -3.43595997755311e-08 5.812328828484753e-08 -3.6643846722732964e-08 -1.148623622529479e-08 1.5287481632723693e-08 8.756886069222204e-08 -1.5375836930289942e-08 1.8465611712844035e-08 4.2266890310205106e-08 -4.340865808434029e-08 -2.365568952076067e-10 5.842909890589659e-11 -3.6624744152265393e-10
PC_3 -0.00020245224981687117 5.474185274827e-06 0.00018496185888001293 0.001164749430598832 -3.756920747840588e-05 -2.4554266556942956e-06 1.0539724214169715e-08 3.5175280371104166e-07 -6.635959231837357e-10 0.04192619644169543 0.0008783860287169648 0.0018044066530366605 -0.0037269157083853767 -0.007603004477342474 0.005018225134449354 0.0038303612027253717 -0.006997363831668178 -0.00010418683087851616 -0.0011051530774948684 0.0007923906119071163 0.009211795667343963 0.004366464761004219 -0.0035653686347281196 -0.014463485998900651 0.002986346530616808 -0.0013106631118393211 0.0048813880072593316 -0.001188685612456917 0.006266539161085274 8.582014691354258e-06 0.00012184937977713477 8.505962716616306e-05
