(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.0425310749763653 -0.000695218133463712 -0.000974381305418915 -0.000200470693535955 -0.00154053989320898 -0.00234050129058061 0.00153135107841062 0.0018573648243978 -0.00423210195393043 -0.00263244818099812
covarage -0.000695218133463712 0.00299973315183957 0.00384296710048536 -0.00446506651379304 -2.51420905048333e-05 8.89070175442772e-05 -5.14382865581952e-05 -2.57438622967601e-05 9.40271347686548e-05 3.96773698907662e-06
covarsex -0.000974381305418915 0.00384296710048536 0.00882825627223248 -0.00916847929279381 4.2236551715058e-05 9.87255570245942e-05 -0.000105326506046379 -3.75092224950542e-05 0.000164125204883345 8.98958128480807e-05
covarage_sex -0.000200470693535955 -0.00446506651379304 -0.00916847929279381 0.0105953823488324 1.64271448913117e-05 -2.30469828276222e-05 7.24398918801714e-05 2.20886305945452e-06 -7.46518892888188e-05 -3.73029041329424e-05
covarPC_3 -0.00154053989320898 -2.51420905048333e-05 4.2236551715058e-05 1.64271448913117e-05 0.000995189808690038 5.24965413638972e-05 -4.96908758248178e-05 -6.55469902372709e-05 0.000286622721454614 0.000210016508428234
covarPC_4 -0.00234050129058061 8.89070175442772e-05 9.87255570245942e-05 -2.30469828276222e-05 5.24965413638972e-05 0.00101415275064769 -0.000104660175457663 -0.000125554072566553 0.000295021644592449 0.000194941853411534
proband 0.00153135107841062 -5.14382865581952e-05 -0.000105326506046379 7.24398918801714e-05 -4.96908758248178e-05 -0.000104660175457663 0.00280501516911691 0.00161934718139003 -0.00291362452377286 -0.00270625339457535
sibling 0.0018573648243978 -2.57438622967601e-05 -3.75092224950542e-05 2.20886305945452e-06 -6.55469902372709e-05 -0.000125554072566553 0.00161934718139003 0.00336892860648826 -0.00330787804868817 -0.00304026175591723
paternal -0.00423210195393043 9.40271347686548e-05 0.000164125204883345 -7.46518892888188e-05 0.000286622721454614 0.000295021644592449 -0.00291362452377286 -0.00330787804868817 0.0087437852664088 0.000564529781119863
maternal -0.00263244818099812 3.96773698907662e-06 8.98958128480807e-05 -3.73029041329424e-05 0.000210016508428234 0.000194941853411534 -0.00270625339457535 -0.00304026175591723 0.000564529781119863 0.00798189778689476
