(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000476197284769386 2.18553300049786e-05 -5.01902767456284e-05 3.24528966366777e-06 1.23406506183433e-05 -7.34648706357302e-06 -1.88267437477017e-05 1.17588365639829e-05 -9.61533584887146e-06 -2.02822230974111e-05
covarage 2.18553300049786e-05 0.000398686566525662 0.000569618312738215 -0.000621612130449989 -6.52162628591468e-06 1.3869136193231e-05 -6.20030486854502e-07 1.79884670105594e-06 -1.08110818026687e-05 3.34441109663689e-06
covarsex -5.01902767456284e-05 0.000569618312738215 0.00143625276309226 -0.00141550604081913 -5.58442710601899e-06 2.02054776757929e-06 2.74302159153974e-06 -3.450589387567e-07 -9.53508745074527e-06 1.18173493610237e-05
covarage_sex 3.24528966366777e-06 -0.000621612130449989 -0.00141550604081913 0.00155689955423672 8.57987172885938e-06 -1.12180939485847e-06 -6.43993322711154e-07 1.77942103432457e-06 7.44830533071864e-06 -1.28214782126257e-05
covarPC_3 1.23406506183433e-05 -6.52162628591468e-06 -5.58442710601899e-06 8.57987172885938e-06 0.000144351192045366 3.52300706290504e-06 6.75939204091732e-07 9.80694719684737e-07 1.90629220369413e-05 1.6532977766172e-05
covarPC_4 -7.34648706357302e-06 1.3869136193231e-05 2.02054776757929e-06 -1.12180939485847e-06 3.52300706290504e-06 0.000147131397757107 -2.02816813538353e-06 -2.92237045554425e-06 4.64438068542497e-06 6.10752992256167e-06
proband -1.88267437477017e-05 -6.20030486854502e-07 2.74302159153974e-06 -6.43993322711154e-07 6.75939204091732e-07 -2.02816813538353e-06 0.000447635762511615 0.000201393703121177 -0.000405976220422661 -0.000396809541835969
sibling 1.17588365639829e-05 1.79884670105594e-06 -3.450589387567e-07 1.77942103432457e-06 9.80694719684737e-07 -2.92237045554425e-06 0.000201393703121177 0.000530156095984565 -0.000459674865738754 -0.000448494521649672
paternal -9.61533584887146e-06 -1.08110818026687e-05 -9.53508745074527e-06 7.44830533071864e-06 1.90629220369413e-05 4.64438068542497e-06 -0.000405976220422661 -0.000459674865738754 0.00119365230957257 6.32455498181378e-05
maternal -2.02822230974111e-05 3.34441109663689e-06 1.18173493610237e-05 -1.28214782126257e-05 1.6532977766172e-05 6.10752992256167e-06 -0.000396809541835969 -0.000448494521649672 6.32455498181378e-05 0.0011718314052954
