 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.2829467767489594e-05 4.540854811286401e-08 -3.6810442526524034e-06 -2.8417139734994662e-05 1.8212023690475239e-06 7.450051639542392e-08 -4.464148893751693e-10 -3.740022440730426e-08 2.369860834217805e-10 7.77203481110046e-07 5.521784807326786e-06 3.701617058820834e-06 -3.564494120612408e-05 5.5750394059786775e-05 -8.114441704015483e-05 4.343169274967777e-05 -4.580431010020567e-05 -1.547031731225982e-05 -9.16650177749012e-05 -1.1690510525332697e-05 -2.8893573046062096e-05 -6.170996541372607e-05 8.629123752926062e-06 -5.29949556527446e-05 -1.472938896262432e-05 1.3229404042265636e-05 -5.1242738386128616e-05 -5.155396938114165e-05 7.66978328598869e-05 -7.243004521600746e-08
yob 4.540854811286596e-08 1.1840933452349073e-07 1.686777352941819e-07 8.790221862086878e-07 -7.046930533057753e-08 -2.7456837765578197e-10 -4.546217305768973e-12 9.183278892346593e-10 -1.8781593262337635e-12 8.857490067898405e-07 8.853198716584577e-06 6.361774681284395e-07 -7.544650324291342e-06 -1.8979298026960391e-06 -4.183203074828751e-06 1.8352797988571382e-08 -3.1950256901842603e-06 5.893407438767516e-06 -2.4305910711352593e-06 -5.966399620685813e-06 7.332144874561486e-06 -6.215680684141215e-06 -2.7561849988224855e-06 9.946263738499955e-06 3.4386961236458154e-06 1.6197323504044336e-07 -2.448704136019358e-06 4.225744186374916e-06 -1.4490687772607634e-05 -1.0167310720251538e-08
age -3.6810442526602253e-06 1.6867773529448994e-07 4.814636265543075e-05 0.0007066770036556696 -4.7798700988189084e-05 -9.758274079448376e-07 6.14370394751143e-09 9.725646791485345e-07 -6.126437392200148e-09 -3.507136105777269e-06 -5.445457616537525e-06 -1.4437907336636354e-05 -3.4604271095503064e-05 3.8059003854078666e-06 1.1341988695489273e-05 2.361703393261095e-05 1.1063176562849162e-05 4.33376340516904e-06 1.564936202091963e-05 -4.123768556981316e-06 -1.6840798994725082e-05 6.443219447025473e-06 -3.5559420247454494e-05 1.5348780537774543e-05 1.5612012548505782e-05 -2.5965935078157343e-05 -5.781295369819791e-06 -2.381515890953538e-05 -5.915541328848072e-06 6.296709737114333e-08
sex -2.8417139735129384e-05 8.790221862049676e-07 0.000706677003655374 0.0169607241264564 -0.0011139127588559903 -1.4008045026884011e-05 8.659735263865203e-08 2.223948798698455e-05 -1.3816267813797178e-07 -6.306398510154807e-06 4.065489450005845e-05 -0.0001369054996681915 -0.00018060508282229294 -0.00011681354685650923 0.00024375402159213552 0.0004185130192400799 0.00021443015692410925 0.0003363704995068428 8.511389011646163e-05 -0.00037780355285032223 -0.0001165368910805593 9.832211456937143e-05 -0.00015523716945372527 2.9332612302174353e-05 0.0005458678956921213 3.7185995443231246e-05 -9.013602986730005e-05 -0.00024702533529178744 -0.0006186669731224516 1.5442860638196868e-06
age_sex 1.8212023690467603e-06 -7.046930533093519e-08 -4.77987009881708e-05 -0.0011139127588560337 7.574502692002326e-05 9.71434457348385e-07 -6.121170733728181e-09 -1.5506274506541234e-06 9.819622517544986e-09 -2.2345470667756257e-07 5.530392888981337e-06 1.801379371329423e-05 1.3243759251955666e-05 6.740889743114618e-06 -2.240357015786068e-05 -2.806146366752232e-05 -1.905793097544417e-05 -1.4928683646170819e-05 -8.563259271727962e-06 2.075114146699735e-05 8.862327150535272e-06 -6.654910025264207e-06 1.261413584193541e-05 3.810497126799448e-06 -3.1001795070545266e-05 -4.326874758383144e-06 1.0312948579749665e-05 1.946019810741155e-05 3.458442678157463e-05 -6.927650481631466e-08
age2 7.450051639551231e-08 -2.745683776596723e-10 -9.758274079448416e-07 -1.4008045026890216e-05 9.714344573487826e-07 2.0284318508927028e-08 -1.3014898869197938e-10 -2.0199285470377595e-08 1.2960452302248102e-10 1.706553609864044e-07 5.50216150537547e-07 4.35893565702563e-07 5.668348370347109e-07 -2.05275298546254e-08 -3.7906060519202526e-07 -5.339832701457918e-07 -4.0371863441196934e-07 1.6761558592992125e-07 -4.892922542360847e-07 -2.0960242567226658e-07 4.886606372033221e-07 -3.5773427960871496e-07 7.950270178139177e-07 3.042808432317761e-08 -9.084650326128493e-08 5.483619076665538e-07 4.682331263720659e-08 5.819590764920716e-07 -4.449640311693175e-07 -1.0104767181754402e-09
age3 -4.464148893772029e-10 -4.5462173057535546e-12 6.143703947511444e-09 8.659735263869313e-08 -6.1211707337308054e-09 -1.3014898869197962e-10 8.487480903712577e-13 1.2956355329513555e-10 -8.447951533776413e-13 -1.7365952693835066e-09 -4.648294277524346e-09 -3.325074469434172e-09 -3.854479337011608e-09 -1.7659910505586394e-11 2.4391583925235855e-09 3.656071185192369e-09 3.0515802984252086e-09 -1.889108045877461e-09 3.4631264692364246e-09 2.2286973969067316e-09 -3.2060402967947714e-09 2.8459625416614714e-09 -5.865727440609227e-09 -1.155339140538087e-09 -4.702640611173745e-10 -3.5283165242378124e-09 -2.7770736986652695e-10 -3.6555650250918755e-09 4.76447355643868e-09 4.398620347037108e-12
age2_sex -3.7400224407324714e-08 9.183278892408107e-10 9.725646791481847e-07 2.2239487986986314e-05 -1.5506274506541829e-06 -2.0199285470369988e-08 1.2956355329508528e-10 3.243094906979928e-08 -2.0911644365226598e-10 3.4358749378329296e-09 -2.3271058571427613e-07 -4.810175582288763e-07 -2.9323479754503904e-07 -1.480841545670091e-07 5.499503572710266e-07 5.817422459251569e-07 4.2617503011210713e-07 2.0926155432387952e-07 2.5188876290202696e-07 -2.76953304436575e-07 -1.6991919747128037e-07 1.6963622781662425e-07 -3.45845139296741e-07 -1.7021597210719117e-07 5.419151035297817e-07 1.020823625798141e-07 -2.624454366081589e-07 -4.141654049430933e-07 -5.536632978927497e-07 1.0713319406736698e-09
age3_sex 2.3698608342260013e-10 -1.8781593263071737e-12 -6.126437392198104e-09 -1.381626781379877e-07 9.819622517545713e-09 1.2960452302243624e-10 -8.447951533773454e-13 -2.0911644365227342e-10 1.3706583362662133e-12 1.4322941339597154e-10 2.0528634694523136e-09 3.570458078227345e-09 2.01120899350385e-09 1.143814464023393e-09 -3.92814929854392e-09 -3.6640955392335938e-09 -2.8112025967856597e-09 -9.391129093885791e-10 -2.1059468997554436e-09 9.704115323421006e-10 8.274009490610776e-10 -1.285561040321325e-09 2.716171099683276e-09 1.404730741134736e-09 -2.9691201822161775e-09 -7.192238669043262e-10 1.923815157795933e-09 2.3608560412400246e-09 2.7263778283819436e-09 -5.570820143192686e-12
PC_3 7.772034811092498e-07 8.857490067898341e-07 -3.5071361057741244e-06 -6.306398510127685e-06 -2.2345470667933602e-07 1.7065536098634096e-07 -1.7365952693831108e-09 3.435874937869587e-09 1.432294133957355e-10 0.03197882147466798 0.00045014986918058493 0.0016651480566237567 -0.00020224866363895375 -0.004975026664116607 0.00230187227111636 0.003792008449587678 -0.0044817897651424615 -0.0007632478023585634 -0.0015101187152027364 0.000797298216804396 0.005498444193466373 0.003697079514367931 -0.001837601733890784 -0.011260478720238002 0.0008954239555902554 -0.0008954854667622463 0.003881966568487904 -0.00048135590659225937 0.006086348500749436 -4.795990190813491e-05
PC_4 5.521784807325124e-06 8.85319871658454e-06 -5.445457616537195e-06 4.065489449996288e-05 5.530392888987195e-06 5.502161505375361e-07 -4.64829427752425e-09 -2.3271058571438084e-07 2.0528634694528815e-09 0.0004501498691805884 0.10662965847777608 -0.0031830392540370773 0.006341185100658661 -0.0033827050816641127 -0.0009219522296954762 -0.0033826858233222123 -0.0005302267318452092 -0.006317828381743703 0.0018675218889558703 0.005678107415754752 -0.009933846867147 -0.006970272652063158 0.006950914728614069 0.006172518522829868 -0.00473786735307534 0.0029697223660930436 -0.005186996733453457 -0.0009418852542624147 0.004770625574090356 3.1521231327439916e-05
PC_5 3.701617058822848e-06 6.361774681284311e-07 -1.443790733663124e-05 -0.00013690549966826978 1.8013793713298802e-05 4.358935657024561e-07 -3.3250744694334754e-09 -4.810175582289546e-07 3.570458078227742e-09 0.0016651480566237582 -0.0031830392540370765 0.1409041721139834 -0.003618778776382563 -0.005316731738686489 -0.001573286482389867 0.00624623159769711 -0.009248301245752296 -0.0026751950479846783 -0.009947715945906117 -0.007315284921529522 -0.001691706633143399 -0.009232151229667366 0.007849579589121847 -0.017043650264010595 0.004895061454616519 0.0030012735412399925 -0.0012172785785128386 -0.001782356453632051 0.01082967838040999 1.804177171732236e-05
